company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,report_positive_count,report_negative_count,report_net_tone,report_uncertainty_count,report_uncertainty_ratio,report_weak_modal_count,report_weak_modal_ratio,report_strong_modal_count,report_strong_modal_ratio,report_litigious_count,report_litigious_ratio,report_constraining_count,report_constraining_ratio,report_positive_ratio,report_negative_ratio,report_net_tone_by_words,report_sentiment_word_coverage,report_total_lm_matched_word_count,report_total_eligible_word_count,lm_report_status
P2025-001,0001754301,FOXA|FOX,Fox Corporation (Class A)|Fox Corporation (Class B),0001628280-25-038077,2025,2025-08-06,1.0.3,0.3.0,227,853,-0.5796296296296296,726,0.01691755604231719,357,0.008318963508412174,90,0.002097217691196346,572,0.013328983548492334,338,0.007876217551381834,0.005289649065573007,0.019876963228783146,-0.01458731416321014,0.025166612294356155,2611,42914,success
P2025-002,0001973266,TKO,TKO Group Holdings,0001193125-26-071651,2025,2026-02-25,1.0.3,0.3.0,422,2036,-0.6566314076484947,1591,0.014280457046431681,813,0.007297304574952204,260,0.002333701340083116,1490,0.01337390383355324,883,0.007925608781897658,0.0037877767904425956,0.01827467664772778,-0.014486899857285187,0.022062453438170378,6131,111411,success
P2025-003,0001335258,LYV,Live Nation Entertainment,0001335258-26-000009,2025,2026-02-19,1.0.3,0.3.0,300,940,-0.5161290322580645,831,0.01776058475282652,407,0.0086986257453675,141,0.003013528820876702,501,0.010707644959285303,442,0.009446664814379448,0.006411763448673833,0.020090192139178013,-0.013678428690504178,0.026501955587851844,2911,46789,success
P2025-004,0001744489,DIS,Walt Disney Company (The),0001744489-25-000155,2025,2025-11-13,1.0.3,0.3.0,218,786,-0.5657370517928287,680,0.013370298275624767,235,0.004620617786429147,89,0.0017499360978391239,602,0.01183664641459722,367,0.0072160286281680724,0.004286360329538528,0.01545449183035451,-0.011168131500815982,0.019740852159893036,2499,50859,success
P2025-005,0001065088,EBAY,eBay Inc.,0001065088-26-000027,2025,2026-02-19,1.0.3,0.3.0,332,1181,-0.5611368142762723,938,0.019524989071834475,491,0.010220436710309944,88,0.001831768697570825,648,0.013488478591203347,416,0.008659270206698445,0.006910763722653567,0.02458316854353573,-0.017672404820882164,0.031493932266189295,3415,48041,success
P2025-006,0000815097,CCL,Carnival Corporation,0000815097-26-000007,2025,2026-01-27,1.0.3,0.3.0,313,575,-0.29504504504504503,551,0.01481302255558244,247,0.006640320455950748,90,0.0024195499637067507,378,0.010162109847568353,334,0.008979218754200607,0.008414657096002367,0.015458235879237572,-0.007043578783235207,0.023872892975239937,2140,37197,success
P2025-007,0001121788,GRMN,Garmin,0001193125-26-056028,2025,2026-02-18,1.0.3,0.3.0,270,998,-0.5741324921135647,916,0.01859709674144757,391,0.007938280377626637,94,0.0019084356918079382,443,0.0089940107603289,401,0.008141305451223227,0.005481676987107908,0.0202619023449396,-0.014780225357831692,0.025743579332047507,2943,49255,success
P2025-008,0001403568,ULTA,Ulta Beauty,0001558370-25-003810,2025,2025-03-27,1.0.3,0.3.0,285,553,-0.3198090692124105,546,0.015937883122190438,279,0.008144083133866543,52,0.0015178936306848036,253,0.007385136318524141,247,0.007209994745752817,0.008319224706637866,0.016142214957090315,-0.007822990250452449,0.02446143966372818,1838,34258,success
P2025-009,0001286681,DPZ,Domino's,0001193125-26-062321,2025,2026-02-23,1.0.3,0.3.0,366,835,-0.39050791007493757,1065,0.0174905567416653,448,0.007357529972080801,130,0.002134997536541304,411,0.0067498768270651995,515,0.008457874856298243,0.006010839218262441,0.01371325340778453,-0.007702414189522089,0.01972409262604697,3152,60890,success
P2025-010,0000109198,TJX,TJX Companies,0000109198-25-000010,2025,2025-04-02,1.0.3,0.3.0,179,675,-0.5807962529274004,681,0.020074283692960736,327,0.009639193491333568,53,0.001562315764650395,288,0.008489564909798374,205,0.006042919467043981,0.005276500412687183,0.019897417757339938,-0.014620917344652753,0.02517391817002712,1997,33924,success
P2025-011,0000906163,NVR,"NVR, Inc.",0000906163-26-000018,2025,2026-02-11,1.0.3,0.3.0,105,497,-0.6511627906976745,485,0.01843475616709111,180,0.0068417651754152575,56,0.0021285491656847467,288,0.010946824280664411,289,0.010984834087194497,0.0039910296856589,0.018890873845452127,-0.014899844159793226,0.022881903531111025,1609,26309,success
P2025-012,0001792789,DASH,DoorDash,0001792789-26-000013,2025,2026-02-18,1.0.3,0.3.0,466,1863,-0.5998282524688707,1564,0.023172086821246017,944,0.013986221201570486,182,0.0026964960367434625,1019,0.01509741462330543,581,0.00860804504037336,0.006904215127046448,0.02760204459589599,-0.020697829468849543,0.03450625972294244,5345,67495,success
P2025-013,0001513761,NCLH,Norwegian Cruise Line Holdings,0001104659-26-022067,2025,2026-03-02,1.0.3,0.3.0,343,1074,-0.515878616796048,1014,0.01705807146221654,530,0.008915954511809434,161,0.0027084314649081487,687,0.011557095753986946,570,0.009588856739115807,0.005770136599152143,0.018067424803176097,-0.012297288204023956,0.02383756140232824,3658,59444,success
P2025-014,0000037996,F,Ford Motor Company,0000037996-26-000015,2025,2026-02-11,1.0.3,0.3.0,387,1638,-0.6177777777777778,1354,0.017823059405810266,607,0.007990101225499875,148,0.0019481630665139729,795,0.010464794850531138,727,0.009569692901051745,0.00509418315365478,0.021561426371283023,-0.016467243217628245,0.026655609524937805,4771,75969,success
P2025-015,0000313927,CHD,Church & Dwight,0001193125-26-048139,2025,2026-02-12,1.0.3,0.3.0,336,1270,-0.5815691158156912,1097,0.017278855846774195,500,0.007875504032258064,115,0.0018113659274193547,587,0.009245841733870967,551,0.008678805443548387,0.005292338709677419,0.020003780241935484,-0.014711441532258064,0.025296118951612902,3718,63488,success
P2025-016,0000040704,GIS,General Mills,0001193125-25-147079,2025,2025-06-26,1.0.3,0.3.0,157,496,-0.5191424196018377,573,0.020689655172413793,312,0.011265571402780285,21,0.0007582596136486731,184,0.006643798519588373,231,0.008340855750135403,0.005668893302040079,0.01790936992236866,-0.012240476620328579,0.023578263224408737,1552,27695,success
