pilot_id,cik,symbol,fiscal_year_end,form,filing_date,report_date,accession_number,primary_document,metadata_fragment,report_date_in_2025,filed_in_2025,filed_in_2026,review_conclusion
P2025-059,0000217346,TXT,0102,10-K,2026-02-11,2026-01-03,0000217346-26-000006,txt-20260103.htm,recent,False,False,True,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2025-02-06,2024-12-28,0000217346-25-000017,txt-20241228.htm,recent,False,True,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2024-02-12,2023-12-30,0000217346-24-000017,txt-20231230.htm,recent,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2023-02-16,2022-12-31,0000217346-23-000006,txt-20221231.htm,recent,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2022-02-17,2022-01-01,0000217346-22-000005,txt-20220101.htm,recent,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2021-02-19,2021-01-02,0000217346-21-000019,txt-20210102.htm,recent,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2020-02-25,2020-01-04,0001104659-20-024773,txt-20200104x10k00cfc1.htm,recent,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2019-02-14,2018-12-29,0001104659-19-008151,a19-30052_110k.htm,recent,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2018-02-15,2017-12-30,0001104659-18-009905,a18-1018_110k.htm,recent,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2017-02-22,2016-12-31,0001104659-17-010809,a17-1034_110k.htm,recent,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2016-02-24,2016-01-02,0001104659-16-099562,a15-23451_110k.htm,recent,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2015-02-25,2015-01-03,0001104659-15-013784,a14-26298_110k.htm,recent,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2014-02-14,2013-12-28,0001104659-14-009908,a13-26941_110k.htm,recent,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2013-02-15,2012-12-29,0001104659-13-011048,a12-30151_410k.htm,recent,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2012-02-23,2011-12-31,0001193125-12-074981,d276253d10k.htm,CIK0000217346-submissions-001.json,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2011-03-01,2011-01-01,0000950123-11-020392,b83538e10vk.htm,CIK0000217346-submissions-001.json,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2010-02-25,2010-01-02,0000950123-10-016801,b77277e10vk.htm,CIK0000217346-submissions-001.json,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2009-02-26,2009-01-03,0000950135-09-001252,b74351tie10vk.htm,CIK0000217346-submissions-001.json,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2008-02-20,2007-12-29,0001104659-08-011718,a08-2392_110k.htm,CIK0000217346-submissions-001.json,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2007-02-21,2006-12-30,0001104659-07-012740,a07-4686_110k.htm,CIK0000217346-submissions-001.json,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2006-02-24,2005-12-31,0001104659-06-011793,a06-1864_110k.htm,CIK0000217346-submissions-001.json,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2005-02-24,2005-01-01,0001104659-05-008155,a05-3904_110k.htm,CIK0000217346-submissions-001.json,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K/A,2004-03-04,2004-01-03,0000217346-04-000033,tenk.htm,CIK0000217346-submissions-001.json,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2004-02-27,2004-01-03,0000950135-04-000995,b49049tie10vk.htm,CIK0000217346-submissions-001.json,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K/A,2003-03-10,2002-12-28,0000950135-03-001670,b45662a1e10vkza.txt,CIK0000217346-submissions-001.json,False,False,False,not eligible under unchanged reportDate rule
P2025-059,0000217346,TXT,0102,10-K,2003-02-27,2002-12-28,0000950135-03-001463,b45662tie10vk.txt,CIK0000217346-submissions-001.json,False,False,False,not eligible under unchanged reportDate rule
