pilot_id,_company_key,cik,symbol,security,sec_entity_name,sec_tickers,sec_exchanges,sic,sic_description,state_of_incorporation,fiscal_year_end,metadata_source,metadata_status,historical_fragment_count,retrieved_at,selection_status,replacement_status,replacement_for,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,sampling_seed,reserve_order,within_sector_random_order,analysis_included,final_sample_status
P2025-050,cik:0000010456,0000010456,BAX,Baxter International,BAXTER INTERNATIONAL INC,BAX,NYSE,3841,Surgical & Medical Instruments & Apparatus,DE,1231,https://data.sec.gov/submissions/CIK0000010456.json,success,0,2026-07-29T10:25:49.704491+00:00,,not_replaced,,,,P2025-050,,20250729,,,1,included
P2025-051,cik:0000842023,0000842023,TECH,Bio-Techne,BIO-TECHNE Corp,TECH,Nasdaq,2836,"Biological Products, (No Diagnostic Substances)",MN,0630,https://data.sec.gov/submissions/CIK0000842023.json,success,0,2026-07-29T10:25:49.726861+00:00,,not_replaced,,,,P2025-051,,20250729,,,1,included
P2025-052,cik:0001093557,0001093557,DXCM,Dexcom,DEXCOM INC,DXCM,Nasdaq,3841,Surgical & Medical Instruments & Apparatus,DE,1231,https://data.sec.gov/submissions/CIK0001093557.json,success,0,2026-07-29T10:25:49.753227+00:00,,not_replaced,,,,P2025-052,,20250729,,,1,included
P2025-053,cik:0000936468,0000936468,LMT,Lockheed Martin,LOCKHEED MARTIN CORP,LMT,NYSE,3760,Guided Missiles & Space Vehicles & Parts,MD,1231,https://data.sec.gov/submissions/CIK0000936468.json,success,0,2026-07-29T10:25:49.774433+00:00,,not_replaced,,,,P2025-053,,20250729,,,1,included
P2025-054,cik:0000702165,0000702165,NSC,Norfolk Southern,NORFOLK SOUTHERN CORP,NSC,NYSE,4011,"Railroads, Line-Haul Operating",VA,1231,https://data.sec.gov/submissions/CIK0000702165.json,success,0,2026-07-29T10:25:49.798457+00:00,,not_replaced,,,,P2025-054,,20250729,,,1,included
P2025-055,cik:0000052988,0000052988,J,Jacobs Solutions,JACOBS SOLUTIONS INC.,J,NYSE,1600,Heavy Construction Other Than Bldg Const - Contractors,DE,1002,https://data.sec.gov/submissions/CIK0000052988.json,success,0,2026-07-29T10:25:49.820837+00:00,,not_replaced,,,,P2025-055,,20250729,,,1,included
P2025-056,cik:0000105634,0000105634,EME,Emcor,"EMCOR Group, Inc.",EME,NYSE,1731,Electrical Work,DE,1231,https://data.sec.gov/submissions/CIK0000105634.json,success,0,2026-07-29T10:25:49.848896+00:00,,not_replaced,,,,P2025-056,,20250729,,,1,included
P2025-057,cik:0000076334,0000076334,PH,Parker Hannifin,Parker-Hannifin Corp,PH,NYSE,3490,Miscellaneous Fabricated Metal Products,OH,0630,https://data.sec.gov/submissions/CIK0000076334.json,success,0,2026-07-29T10:25:49.876013+00:00,,not_replaced,,,,P2025-057,,20250729,,,1,included
P2025-058,cik:0000900075,0000900075,CPRT,Copart,COPART INC,CPRT,Nasdaq,5500,Retail-Auto Dealers & Gasoline Stations,DE,0731,https://data.sec.gov/submissions/CIK0000900075.json,success,0,2026-07-29T10:25:49.898892+00:00,,not_replaced,,,,P2025-058,,20250729,,,1,included
P2025-059,cik:0000217346,0000217346,TXT,Textron,TEXTRON INC,TXT,NYSE,3720,Aircraft & Parts,DE,0102,https://data.sec.gov/submissions/CIK0000217346.json,success,0,2026-07-29T10:25:49.921777+00:00,excluded_after_filing_validation,replaced,,P2025-R001,no_eligible_2025_report_date_10k,P2025-059,,,,,0,excluded
P2025-060,cik:0001090727,0001090727,UPS,United Parcel Service,UNITED PARCEL SERVICE INC,UPS,NYSE,4210,Trucking & Courier Services (No Air),DE,1231,https://data.sec.gov/submissions/CIK0001090727.json,success,0,2026-07-29T10:25:49.946852+00:00,,not_replaced,,,,P2025-060,,20250729,,,1,included
P2025-061,cik:0001048911,0001048911,FDX,FedEx,FEDEX CORP,FDX,NYSE,4513,Air Courier Services,DE,0531,https://data.sec.gov/submissions/CIK0001048911.json,success,0,2026-07-29T10:25:49.971177+00:00,,not_replaced,,,,P2025-061,,20250729,,,1,included
P2025-062,cik:0001067701,0001067701,URI,United Rentals,"UNITED RENTALS, INC.",URI,NYSE,7359,"Services-Equipment Rental & Leasing, NEC",DE,1231,https://data.sec.gov/submissions/CIK0001067701.json,success,0,2026-07-29T10:25:50.033835+00:00,,not_replaced,,,,P2025-062,,20250729,,,1,included
P2025-063,cik:0001316835,0001316835,BLDR,Builders FirstSource,"Builders FirstSource, Inc.",BLDR,NYSE,5211,Retail-Lumber & Other Building Materials Dealers,DE,1231,https://data.sec.gov/submissions/CIK0001316835.json,success,0,2026-07-29T10:25:50.070387+00:00,,not_replaced,,,,P2025-063,,20250729,,,1,included
P2025-064,cik:0000040545,0000040545,GE,GE Aerospace,GENERAL ELECTRIC CO,GE,NYSE,3600,Electronic & Other Electrical Equipment (No Computer Equip),NY,1231,https://data.sec.gov/submissions/CIK0000040545.json,identity_review,0,2026-07-29T10:25:50.093293+00:00,,not_replaced,,,,P2025-064,,20250729,,,1,included
P2025-065,cik:0001035983,0001035983,FIX,Comfort Systems USA,COMFORT SYSTEMS USA INC,FIX,NYSE,1731,Electrical Work,,1231,https://data.sec.gov/submissions/CIK0001035983.json,success,0,2026-07-29T10:25:50.121641+00:00,,not_replaced,,,,P2025-065,,20250729,,,1,included
P2025-066,cik:0000062996,0000062996,MAS,Masco,MASCO CORP /DE/,MAS,NYSE,3430,"Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures",DE,1231,https://data.sec.gov/submissions/CIK0000062996.json,success,0,2026-07-29T10:25:50.145760+00:00,,not_replaced,,,,P2025-066,,20250729,,,1,included
P2025-067,cik:0001474735,0001474735,GNRC,Generac,GENERAC HOLDINGS INC.,GNRC,NYSE,3621,Motors & Generators,DE,1231,https://data.sec.gov/submissions/CIK0001474735.json,success,0,2026-07-29T10:25:50.169711+00:00,,not_replaced,,,,P2025-067,,20250729,,,1,included
P2025-068,cik:0000092380,0000092380,LUV,Southwest Airlines,SOUTHWEST AIRLINES CO,LUV,NYSE,4512,"Air Transportation, Scheduled",TX,1231,https://data.sec.gov/submissions/CIK0000092380.json,success,0,2026-07-29T10:25:50.194675+00:00,,not_replaced,,,,P2025-068,,20250729,,,1,included
P2025-069,cik:0001535527,0001535527,CRWD,CrowdStrike,"CrowdStrike Holdings, Inc.",CRWD,Nasdaq,7372,Services-Prepackaged Software,DE,0131,https://data.sec.gov/submissions/CIK0001535527.json,success,0,2026-07-29T10:25:50.226632+00:00,,not_replaced,,,,P2025-069,,20250729,,,1,included
P2025-070,cik:0000864749,0000864749,TRMB,Trimble Inc.,TRIMBLE INC.,TRMB,Nasdaq,3829,"Measuring & Controlling Devices, NEC",DE,0102,https://data.sec.gov/submissions/CIK0000864749.json,success,0,2026-07-29T10:25:50.252197+00:00,,not_replaced,,,,P2025-070,,20250729,,,1,included
P2025-071,cik:0000050863,0000050863,INTC,Intel,INTEL CORP,INTC,Nasdaq,3674,Semiconductors & Related Devices,DE,1227,https://data.sec.gov/submissions/CIK0000050863.json,success,0,2026-07-29T10:25:50.274543+00:00,,not_replaced,,,,P2025-071,,20250729,,,1,included
P2025-072,cik:0001561550,0001561550,DDOG,Datadog,"Datadog, Inc.",DDOG,Nasdaq,7372,Services-Prepackaged Software,NV,1231,https://data.sec.gov/submissions/CIK0001561550.json,success,0,2026-07-29T10:25:50.296837+00:00,,not_replaced,,,,P2025-072,,20250729,,,1,included
P2025-073,cik:0000820313,0000820313,APH,Amphenol,AMPHENOL CORP /DE/,APH,NYSE,3678,Electronic Connectors,DE,1231,https://data.sec.gov/submissions/CIK0000820313.json,success,0,2026-07-29T10:25:50.319052+00:00,,not_replaced,,,,P2025-073,,20250729,,,1,included
P2025-074,cik:0001645590,0001645590,HPE,Hewlett Packard Enterprise,Hewlett Packard Enterprise Co,HPE|HPE-PC,NYSE|NYSE,3570,Computer & office Equipment,DE,1031,https://data.sec.gov/submissions/CIK0001645590.json,success,0,2026-07-29T10:25:50.346499+00:00,,not_replaced,,,,P2025-074,,20250729,,,1,included
P2025-075,cik:0000319201,0000319201,KLAC,KLA Corporation,KLA CORP,KLAC,Nasdaq,3827,Optical Instruments & Lenses,DE,0630,https://data.sec.gov/submissions/CIK0000319201.json,success,0,2026-07-29T10:25:50.371471+00:00,,not_replaced,,,,P2025-075,,20250729,,,1,included
P2025-076,cik:0000068505,0000068505,MSI,Motorola Solutions,"Motorola Solutions, Inc.",MSI,NYSE,3663,Radio & Tv Broadcasting & Communications Equipment,DE,1231,https://data.sec.gov/submissions/CIK0000068505.json,success,0,2026-07-29T10:25:50.396472+00:00,,not_replaced,,,,P2025-076,,20250729,,,1,included
P2025-077,cik:0001045810,0001045810,NVDA,Nvidia,NVIDIA CORP,NVDA,Nasdaq,3674,Semiconductors & Related Devices,DE,0131,https://data.sec.gov/submissions/CIK0001045810.json,success,0,2026-07-29T10:25:50.420956+00:00,,not_replaced,,,,P2025-077,,20250729,,,1,included
P2025-078,cik:0001601046,0001601046,KEYS,Keysight Technologies,"Keysight Technologies, Inc.",KEYS,NYSE,3823,"Industrial Instruments For Measurement, Display, and Control",DE,1031,https://data.sec.gov/submissions/CIK0001601046.json,success,0,2026-07-29T10:25:50.448062+00:00,,not_replaced,,,,P2025-078,,20250729,,,1,included
P2025-079,cik:0001327811,0001327811,WDAY,"Workday, Inc.","Workday, Inc.",WDAY,Nasdaq,7374,Services-Computer Processing & Data Preparation,DE,0131,https://data.sec.gov/submissions/CIK0001327811.json,success,0,2026-07-29T10:25:50.467906+00:00,,not_replaced,,,,P2025-079,,20250729,,,1,included
P2025-080,cik:0001137789,0001137789,STX,Seagate Technology,Seagate Technology Holdings plc,STX,Nasdaq,3572,Computer Storage Devices,,0627,https://data.sec.gov/submissions/CIK0001137789.json,success,0,2026-07-29T10:25:50.494006+00:00,,not_replaced,,,,P2025-080,,20250729,,,1,included
P2025-081,cik:0001262039,0001262039,FTNT,Fortinet,"Fortinet, Inc.",FTNT,Nasdaq,3577,"Computer Peripheral Equipment, NEC",DE,1231,https://data.sec.gov/submissions/CIK0001262039.json,success,0,2026-07-29T10:25:50.518710+00:00,,not_replaced,,,,P2025-081,,20250729,,,1,included
