pilot_id,_company_key,cik,symbol,security,form,filing_date,report_date,acceptance_datetime,accession_number,primary_document,primary_doc_description,file_number,film_number,is_xbrl,is_inline_xbrl,metadata_fragment,eligible_2025_10k,selection_status,selection_reason,amendment_exists,amendment_accession_numbers,amendment_filing_dates,amendment_report_dates,amendment_link_status,manual_review_required,replacement_status,replacement_for,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,sampling_seed,reserve_order,within_sector_random_order,analysis_included,final_sample_status
P2025-067,cik:0001474735,0001474735,GNRC,Generac,10-K,2026-02-18,2025-12-31,2026-02-18T21:53:33.000Z,0001437749-26-004568,gnrc20251231_10k.htm,FORM 10-K,001-34627,26649611,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-067,,20250729,,,1,included
P2025-068,cik:0000092380,0000092380,LUV,Southwest Airlines,10-K,2026-02-05,2025-12-31,2026-02-05T21:07:52.000Z,0000092380-26-000004,luv-20251231.htm,FORM 10-K,001-07259,26602935,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,True,0000092380-26-000006,2026-02-06,2025-12-31,linked_by_report_date,False,not_replaced,,,,P2025-068,,20250729,,,1,included
P2025-069,cik:0001535527,0001535527,CRWD,CrowdStrike,10-K,2025-03-10,2025-01-31,2025-03-10T12:44:44.000Z,0001535527-25-000009,crwd-20250131.htm,10-K,001-38933,25722316,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-069,,20250729,,,1,included
P2025-070,cik:0000864749,0000864749,TRMB,Trimble Inc.,10-K,2025-04-25,2025-01-03,2025-04-25T19:04:22.000Z,0000864749-25-000090,trmb-20250103.htm,10-K,001-14845,25873128,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-070,,20250729,,,1,included
P2025-071,cik:0000050863,0000050863,INTC,Intel,10-K,2026-01-23,2025-12-27,2026-01-22T23:43:06.000Z,0000050863-26-000011,intc-20251227.htm,10-K,000-06217,26552858,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-071,,20250729,,,1,included
P2025-072,cik:0001561550,0001561550,DDOG,Datadog,10-K,2026-02-18,2025-12-31,2026-02-18T14:09:12.000Z,0001628280-26-008819,ddog-20251231.htm,10-K,001-39051,26645669,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-072,,20250729,,,1,included
P2025-073,cik:0000820313,0000820313,APH,Amphenol,10-K,2026-02-11,2025-12-31,2026-02-11T22:28:12.000Z,0001104659-26-013549,aph-20251231x10k.htm,10-K,001-10879,26622172,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-073,,20250729,,,1,included
P2025-074,cik:0001645590,0001645590,HPE,Hewlett Packard Enterprise,10-K,2025-12-18,2025-10-31,2025-12-18T13:23:22.000Z,0001645590-25-000130,hpe-20251031.htm,10-K,001-37483,251581362,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-074,,20250729,,,1,included
P2025-075,cik:0000319201,0000319201,KLAC,KLA Corporation,10-K,2025-08-08,2025-06-30,2025-08-08T20:10:51.000Z,0000319201-25-000024,klac-20250630.htm,10-K,000-09992,251198517,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-075,,20250729,,,1,included
P2025-076,cik:0000068505,0000068505,MSI,Motorola Solutions,10-K,2026-02-12,2025-12-31,2026-02-12T21:32:07.000Z,0000068505-26-000010,msi-20251231.htm,10-K,001-07221,26626814,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-076,,20250729,,,1,included
P2025-077,cik:0001045810,0001045810,NVDA,Nvidia,10-K,2025-02-26,2025-01-26,2025-02-26T21:48:33.000Z,0001045810-25-000023,nvda-20250126.htm,10-K,000-23985,25670928,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-077,,20250729,,,1,included
P2025-078,cik:0001601046,0001601046,KEYS,Keysight Technologies,10-K,2025-12-17,2025-10-31,2025-12-17T21:08:40.000Z,0001601046-25-000127,keys-20251031.htm,10-K,001-36334,251579350,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-078,,20250729,,,1,included
P2025-079,cik:0001327811,0001327811,WDAY,"Workday, Inc.",10-K,2025-03-11,2025-01-31,2025-03-11T20:09:14.000Z,0001327811-25-000056,wday-20250131.htm,10-K,001-35680,25727645,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-079,,20250729,,,1,included
P2025-080,cik:0001137789,0001137789,STX,Seagate Technology,10-K,2025-08-01,2025-06-27,2025-08-01T20:14:38.000Z,0001137789-25-000157,stx-20250627.htm,10-K,001-31560,251176356,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-080,,20250729,,,1,included
P2025-081,cik:0001262039,0001262039,FTNT,Fortinet,10-K,2026-02-25,2025-12-31,2026-02-25T00:25:18.000Z,0001262039-26-000007,ftnt-20251231.htm,FORM 10-K,001-34511,26673686,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-081,,20250729,,,1,included
P2025-082,cik:0001467373,0001467373,ACN,Accenture,10-K,2025-10-10,2025-08-31,2025-10-10T10:53:53.000Z,0001467373-25-000217,acn-20250831.htm,10-K,001-34448,251386264,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-082,,20250729,,,1,included
P2025-083,cik:0000916076,0000916076,MLM,Martin Marietta Materials,10-K,2026-02-19,2025-12-31,2026-02-19T20:16:57.000Z,0001193125-26-059193,mlm-20251231.htm,10-K,001-12744,26653906,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-083,,20250729,,,1,included
P2025-084,cik:0000079879,0000079879,PPG,PPG Industries,10-K,2026-02-19,2025-12-31,2026-02-19T18:16:29.000Z,0000079879-26-000046,ppg-20251231.htm,10-K,001-01687,26653216,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-084,,20250729,,,1,included
P2025-085,cik:0001396009,0001396009,VMC,Vulcan Materials Company,10-K,2026-02-19,2025-12-31,2026-02-19T16:58:02.000Z,0001628280-26-009546,vmc-20251231.htm,10-K,001-33841,26652915,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-085,,20250729,,,1,included
P2025-086,cik:0000009389,0000009389,BALL,Ball Corporation,10-K,2026-02-19,2025-12-31,2026-02-19T17:04:56.000Z,0001104659-26-017410,ball-20251231x10k.htm,10-K,001-07349,26652932,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-086,,20250729,,,1,included
P2025-087,cik:0000849395,0000849395,CRH,CRH plc,10-K,2026-02-18,2025-12-31,2026-02-18T21:14:07.000Z,0001628280-26-009043,crh-20251231.htm,10-K,001-32846,26648428,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-087,,20250729,,,1,included
P2025-088,cik:0000034903,0000034903,FRT,Federal Realty Investment Trust,10-K,2026-02-12,2025-12-31,2026-02-12T21:12:08.000Z,0000034903-26-000017,frt-20251231.htm,10-K,001-07533,26626317,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-088,,20250729,,,1,included
P2025-089,cik:0001289490,0001289490,EXR,Extra Space Storage,10-K,2026-02-20,2025-12-31,2026-02-20T21:54:59.000Z,0001289490-26-000011,exr-20251231.htm,10-K,001-32269,26660966,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-089,,20250729,,,1,included
P2025-090,cik:0001297996,0001297996,DLR,Digital Realty,10-K,2026-02-13,2025-12-31,2026-02-13T22:18:21.000Z,0001104659-26-015365,dlr-20251231x10k.htm,10-K,001-32336,26634608,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-090,,20250729,,,1,included
P2025-091,cik:0000920522,0000920522,ESS,Essex Property Trust,10-K,2026-02-20,2025-12-31,2026-02-20T21:08:52.000Z,0000920522-26-000003,ess-20251231.htm,10-K,001-13106,26659923,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-091,,20250729,,,1,included
P2025-092,cik:0001705696,0001705696,VICI,Vici Properties,10-K,2026-02-25,2025-12-31,2026-02-25T21:18:12.000Z,0001705696-26-000034,vici-20251231.htm,10-K,001-38372,26678891,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-092,,20250729,,,1,included
P2025-093,cik:0000074208,0000074208,UDR,"UDR, Inc.",10-K,2026-02-17,2025-12-31,2026-02-17T20:06:14.000Z,0000074208-26-000013,udr-20251231x10k.htm,10-K,001-10524,26640065,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-093,,20250729,,,1,included
P2025-094,cik:0001687229,0001687229,INVH,Invitation Homes,10-K,2026-02-19,2025-12-31,2026-02-19T19:47:03.000Z,0001687229-26-000016,invh-20251231.htm,10-K,001-38004,26653725,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-094,,20250729,,,1,included
P2025-095,cik:0001004980,0001004980,PCG,PG&E Corporation,10-K,2026-02-12,2025-12-31,2026-02-12T02:01:13.000Z,0001004980-26-000009,pcg-20251231.htm,10-K,001-12609,26622920,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-095,,20250729,,,1,included
P2025-096,cik:0000715957,0000715957,D,Dominion Energy,10-K,2026-02-23,2025-12-31,2026-02-23T17:00:57.000Z,0001193125-26-063120,d-20251231.htm,10-K,001-08489,26663085,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-096,,20250729,,,1,included
P2025-097,cik:0000764622,0000764622,PNW,Pinnacle West Capital,10-K,2026-02-25,2025-12-31,2026-02-25T13:26:27.000Z,0000764622-26-000011,pnw-20251231.htm,10-K,001-08962,26674318,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-097,,20250729,,,1,included
P2025-098,cik:0000065984,0000065984,ETR,Entergy,10-K,2026-02-19,2025-12-31,2026-02-19T20:37:55.000Z,0000065984-26-000174,etr-20251231.htm,10-K,001-11299,26654012,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-098,,20250729,,,1,included
P2025-099,cik:0001013871,0001013871,NRG,NRG Energy,10-K,2026-02-24,2025-12-31,2026-02-24T21:09:25.000Z,0001013871-26-000004,nrg-20251231.htm,10-K,001-15891,26671617,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-099,,20250729,,,1,included
P2025-100,cik:0000788784,0000788784,PEG,Public Service Enterprise Group,10-K,2026-02-26,2025-12-31,2026-02-26T22:27:05.000Z,0001193125-26-077446,peg-20251231.htm,10-K,001-09120,26690665,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-100,,20250729,,,1,included
P2025-R001,cik:0000049826,0000049826,ITW,Illinois Tool Works,10-K,2026-02-13,2025-12-31,,0000049826-26-000008,itw-20251231.htm,10-K,,,,,,True,selected_replacement,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,replacement,P2025-059,,no_eligible_2025_report_date_10k,P2025-059,P2025-R001,20250729,1,17,1,included
