pilot_id,_company_key,cik,symbol,security,form,filing_date,report_date,acceptance_datetime,accession_number,primary_document,primary_doc_description,file_number,film_number,is_xbrl,is_inline_xbrl,metadata_fragment,eligible_2025_10k,selection_status,selection_reason,amendment_exists,amendment_accession_numbers,amendment_filing_dates,amendment_report_dates,amendment_link_status,manual_review_required,replacement_status,replacement_for,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,sampling_seed,reserve_order,within_sector_random_order,analysis_included,final_sample_status
P2025-014,cik:0000037996,0000037996,F,Ford Motor Company,10-K,2026-02-11,2025-12-31,2026-02-11T00:08:37.000Z,0000037996-26-000015,f-20251231.htm,10-K,001-03950,26617787,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-014,,20250729,,,1,included
P2025-015,cik:0000313927,0000313927,CHD,Church & Dwight,10-K,2026-02-12,2025-12-31,2026-02-12T17:37:19.000Z,0001193125-26-048139,chd-20251231.htm,10-K,001-10585,26624820,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-015,,20250729,,,1,included
P2025-016,cik:0000040704,0000040704,GIS,General Mills,10-K,2025-06-26,2025-05-25,2025-06-25T22:05:55.000Z,0001193125-25-147079,d938443d10k.htm,10-K,001-01185,251074674,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-016,,20250729,,,1,included
P2025-017,cik:0000021665,0000021665,CL,Colgate-Palmolive,10-K,2026-02-23,2025-12-31,2026-02-23T21:03:31.000Z,0000021665-26-000006,cl-20251231.htm,10-K,001-00644,26665034,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-017,,20250729,,,1,included
P2025-018,cik:0000016918,0000016918,STZ,Constellation Brands,10-K,2025-04-23,2025-02-28,2025-04-23T17:26:00.000Z,0000016918-25-000022,stz-20250228.htm,10-K,001-08495,25860600,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-018,,20250729,,,1,included
P2025-019,cik:0000091419,0000091419,SJM,J.M. Smucker Company (The),10-K,2025-06-18,2025-04-30,2025-06-18T20:15:54.000Z,0000091419-25-000056,sjm-20250430.htm,10-K,001-05111,251057165,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-019,,20250729,,,1,included
P2025-020,cik:0000100493,0000100493,TSN,Tyson Foods,10-K,2025-11-10,2025-09-27,2025-11-10T12:35:05.000Z,0000100493-25-000095,tsn-20250927.htm,10-K,001-14704,251464365,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-020,,20250729,,,1,included
P2025-021,cik:0000104169,0000104169,WMT,Walmart,10-K,2025-03-14,2025-01-31,2025-03-14T20:40:52.000Z,0000104169-25-000021,wmt-20250131.htm,10-K,001-06991,25740861,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-021,,20250729,,,1,included
P2025-022,cik:0000034088,0000034088,XOM,ExxonMobil,10-K,2026-02-18,2025-12-31,2026-02-18T21:06:52.000Z,0000034088-26-000045,xom-20251231.htm,FORM 10-K,001-02256,26648262,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-022,,20250729,,,1,included
P2025-023,cik:0001539838,0001539838,FANG,Diamondback Energy,10-K,2026-02-25,2025-12-31,2026-02-25T21:13:39.000Z,0001539838-26-000010,fang-20251231.htm,10-K,001-35700,26678707,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-023,,20250729,,,1,included
P2025-024,cik:0000045012,0000045012,HAL,Halliburton,10-K,2026-02-06,2025-12-31,2026-02-06T18:48:18.000Z,0000045012-26-000015,hal-20251231.htm,10-K,001-03492,26606738,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-024,,20250729,,,1,included
P2025-025,cik:0000093410,0000093410,CVX,Chevron Corporation,10-K,2026-02-24,2025-12-31,2026-02-24T20:03:12.000Z,0000093410-26-000078,cvx-20251231.htm,10-K,001-00368,26671005,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-025,,20250729,,,1,included
P2025-026,cik:0001140536,0001140536,WTW,Willis Towers Watson,10-K,2026-02-25,2025-12-31,2026-02-25T15:30:48.000Z,0001193125-26-069307,wtw-20251231.htm,10-K,001-16503,26675249,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-026,,20250729,,,1,included
