variable,report_year,mean_value,year_over_year_absolute_change,year_over_year_change_rate,change_from_2020
ai_disclosure_all,2020,0.2757847533632287,,,0.0
ai_disclosure_all,2021,0.3116883116883117,0.0359035583250829,0.1301868862844471,0.0359035583250829
ai_disclosure_all,2022,0.3545647558386411,0.0428764441503294,0.1375619249823071,0.0787800024754124
ai_disclosure_all,2023,0.6826722338204593,0.3281074779818181,0.9253809708349482,0.4068874804572305
ai_disclosure_all,2024,0.8850102669404517,0.2023380331199924,0.2963911861298972,0.609225513577223
ai_disclosure_all,2025,0.9669421487603306,0.0819318818198788,0.0925773235412552,0.6911573953971019
ai_disclosure_disclosers,2020,1.0,,,0.0
ai_disclosure_disclosers,2021,1.0,0.0,0.0,0.0
ai_disclosure_disclosers,2022,1.0,0.0,0.0,0.0
ai_disclosure_disclosers,2023,1.0,0.0,0.0,0.0
ai_disclosure_disclosers,2024,1.0,0.0,0.0,0.0
ai_disclosure_disclosers,2025,1.0,0.0,0.0,0.0
ai_sentence_count_all,2020,1.3789237668161436,,,0.0
ai_sentence_count_all,2021,1.5952380952380951,0.2163143284219517,0.15687185443283,0.2163143284219517
ai_sentence_count_all,2022,1.872611464968153,0.2773733697300575,0.1738758437113793,0.4936876981520093
ai_sentence_count_all,2023,6.225469728601253,4.3528582636331,2.324485535341485,4.846545961785109
ai_sentence_count_all,2024,11.706365503080082,5.48089577447883,0.8803987511654459,10.32744173626394
ai_sentence_count_all,2025,17.892561983471076,6.1861964803909935,0.5284472348623774,16.513638216654932
ai_sentence_count_disclosers,2020,5.0,,,0.0
ai_sentence_count_disclosers,2021,5.118055555555555,0.1180555555555553,0.023611111111111,0.1180555555555553
ai_sentence_count_disclosers,2022,5.281437125748503,0.1633815701929473,0.031922586306356,0.2814371257485026
ai_sentence_count_disclosers,2023,9.119266055045872,3.837828929297369,0.72666375418669,4.119266055045872
ai_sentence_count_disclosers,2024,13.22737819025522,4.10811213520935,0.450487145611488,8.227378190255221
ai_sentence_count_disclosers,2025,18.504273504273502,5.276895314018285,0.3989373584181513,13.504273504273506
whole_report_concreteness_all,2020,2.9040343928026906,,,0.0
whole_report_concreteness_all,2021,2.9030481245238096,-0.000986268278881,-0.0003396200407699,-0.000986268278881
whole_report_concreteness_all,2022,2.902210867983015,-0.0008372565407945,-0.0002884060149474,-0.0018235248196756
whole_report_concreteness_all,2023,2.8987624537787053,-0.0034484142043096,-0.0011882024984305,-0.0052719390239852
whole_report_concreteness_all,2024,2.89629148412731,-0.0024709696513953,-0.0008524222632228,-0.0077429086753806
whole_report_concreteness_all,2025,2.892020710640496,-0.0042707734868145,-0.0014745661858345,-0.0120136821621952
ai_concreteness_all,2020,2.9943537375609752,,,0.0
ai_concreteness_all,2021,2.984715715069445,-0.0096380224915306,-0.0032187320992279,-0.0096380224915306
ai_concreteness_all,2022,2.9506996165662653,-0.0340160985031792,-0.0113967632935479,-0.0436541209947098
ai_concreteness_all,2023,2.792480911284404,-0.158218705281862,-0.0536207428209793,-0.2018728262765718
ai_concreteness_all,2024,2.7411476831322505,-0.0513332281521528,-0.0183826603593655,-0.2532060544287247
ai_concreteness_all,2025,2.7356576442521368,-0.0054900388801137,-0.0020028249166934,-0.2586960933088384
ai_concreteness_disclosers,2020,2.994353737560976,,,0.0
ai_concreteness_disclosers,2021,2.984715715069445,-0.0096380224915311,-0.003218732099228,-0.0096380224915311
ai_concreteness_disclosers,2022,2.9506996165662653,-0.0340160985031792,-0.0113967632935479,-0.0436541209947103
ai_concreteness_disclosers,2023,2.792480911284404,-0.1582187052818615,-0.0536207428209791,-0.2018728262765718
ai_concreteness_disclosers,2024,2.7411476831322505,-0.0513332281521532,-0.0183826603593657,-0.2532060544287251
ai_concreteness_disclosers,2025,2.7356576442521368,-0.0054900388801137,-0.0020028249166934,-0.2586960933088389
past_tense_share_all,2020,0.2482586002618229,,,0.0
past_tense_share_all,2021,0.2389298130012546,-0.0093287872605682,-0.0375768946200847,-0.0093287872605682
past_tense_share_all,2022,0.2331491175972518,-0.0057806954040028,-0.0241941151310929,-0.0151094826645711
past_tense_share_all,2023,0.2230673386847842,-0.0100817789124675,-0.0432417631100929,-0.0251912615770386
past_tense_share_all,2024,0.217387116806511,-0.0056802218782732,-0.0254641576474805,-0.0308714834553119
past_tense_share_all,2025,0.2141465360650065,-0.0032405807415044,-0.0149069585590428,-0.0341120641968164
present_tense_share_all,2020,0.7181197356464725,,,0.0
present_tense_share_all,2021,0.72786505666608,0.0097453210196075,0.0135706074291838,0.0097453210196075
present_tense_share_all,2022,0.7340804672846265,0.0062154106185464,0.0085392347958227,0.015960731638154
present_tense_share_all,2023,0.7448144985729604,0.0107340312883339,0.0146224177957482,0.0266947629264879
present_tense_share_all,2024,0.7503539683716886,0.0055394697987281,0.0074373818035786,0.032234232725216
present_tense_share_all,2025,0.7533904280103063,0.0030364596386177,0.0040467029783384,0.0352706923638338
future_tense_share_all,2020,0.0336216640917044,,,0.0
future_tense_share_all,2021,0.0332051303326652,-0.0004165337590392,-0.0123888501741951,-0.0004165337590392
future_tense_share_all,2022,0.0327704151181216,-0.0004347152145435,-0.013091808711136,-0.0008512489735828
