variable,report_year,paired_firm_count,mean_within_firm_change,median_within_firm_change,standard_deviation,p25,p75
whole_report_concreteness,2021,434,-0.0005968604147465,-0.0002223649999997,0.0106954524320391,-0.0061120974999999,0.0054111300000002
whole_report_concreteness,2022,452,-0.0002133648451327,0.0001683700000001,0.0106992666228239,-0.0045633449999998,0.0051727675000001
whole_report_concreteness,2023,458,-0.002664527510917,-0.0024492849999999,0.0086182298318924,-0.0073397149999999,0.0026453874999998
whole_report_concreteness,2024,465,-0.0029445221505376,-0.0024322300000001,0.0082324647695734,-0.0070055300000002,0.0017701099999998
whole_report_concreteness,2025,462,-0.003204336038961,-0.0025085849999999,0.008159019679623,-0.0072208299999999,0.0015969799999999
past_tense_share,2021,434,-0.0097613213012233,-0.0085102775918805,0.0200199539426154,-0.0215513885932623,0.0022277174071959
past_tense_share,2022,452,-0.0055863230302395,-0.0055419773413229,0.0178635018038006,-0.0153518444516477,0.0032664010580942
past_tense_share,2023,458,-0.0084076821300398,-0.0078507579103716,0.0165839735996673,-0.0189692739264849,0.0011939991435118
past_tense_share,2024,465,-0.0054416787922125,-0.0055511631435908,0.0161840009654337,-0.0148119168234056,0.0040267371619802
past_tense_share,2025,462,-0.0022012945898061,-0.0020625974487523,0.0161179224745972,-0.0108930772603288,0.0068575349995065
present_tense_share,2021,434,0.0104506861100699,0.0093230541682042,0.0196426006339472,-0.0013788908322131,0.0216372672649211
present_tense_share,2022,452,0.0062435139115956,0.0065684581928374,0.0173246566670956,-0.0036222464052458,0.0166875596583143
present_tense_share,2023,458,0.0091476702888177,0.0091072171992879,0.0162477065321855,-0.0001254873252629,0.0184634286404908
present_tense_share,2024,465,0.0054224064420594,0.0054197143852317,0.015717625498693,-0.0032342284739982,0.0143111277827983
present_tense_share,2025,462,0.0021452903295904,0.0021070101855076,0.0156867411953439,-0.0069888835812603,0.0117511991774632
future_tense_share,2021,434,-0.0006893648088466,-0.0004644079694758,0.0043069807313119,-0.0031751668793844,0.0018928732445488
future_tense_share,2022,452,-0.000657190881356,-0.0006278341620995,0.0045892985182243,-0.0030085231915226,0.0018012327653152
future_tense_share,2023,458,-0.0007399881587779,-0.0006833969529437,0.0042178801660603,-0.0029811863942549,0.0016175808653345
future_tense_share,2024,465,1.9272350153143064e-05,-0.0002354480052321,0.0042369468160114,-0.0021985057862623,0.0021342629679192
future_tense_share,2025,462,5.60042602156562e-05,-0.0001509858227295,0.0047235077606117,-0.002504026219784,0.002095862077007
lm_uncertainty_share,2021,434,0.0002432179493087,0.000231625,0.0008590631038629,-0.0002204725,0.0007399999999999
lm_uncertainty_share,2022,452,8.991103982300895e-05,8.329000000000149e-05,0.0008130569275594,-0.0003259975,0.000547715
lm_uncertainty_share,2023,458,0.000265397532751,0.0002401599999999,0.0007434405067533,-0.0001379099999999,0.00067364
lm_uncertainty_share,2024,465,0.000225635376344,0.00019939,0.0006781537664652,-0.0001669,0.00059642
lm_uncertainty_share,2025,462,0.0002577441341991,0.000218155,0.000638043344757,-0.0001115049999999,0.000563495
passive_voice_sentence_share,2021,434,-0.0018381699665764,-0.0019608800954691,0.0112070197362338,-0.0080958777511054,0.0046067386144644
passive_voice_sentence_share,2022,452,0.0003787538655199,-0.0002816048616504,0.0107870430026541,-0.0061468230894803,0.0051627665665117
passive_voice_sentence_share,2023,458,-0.001282652157116,-0.0008040781823893,0.0108324811754585,-0.0070854918506079,0.0053638494331034
passive_voice_sentence_share,2024,465,3.574664393953688e-05,0.0002086096701438,0.009480683090662,-0.0053629526560846,0.0057991689608838
passive_voice_sentence_share,2025,462,-0.0009001900543713,-0.0007273105662354,0.0084422001661697,-0.0060713551641512,0.0044425109855596
fog_index,2021,434,0.059576748156682,0.0458844000000002,0.402585163719744,-0.0701749074999993,0.1727060275000003
fog_index,2022,452,0.0536445943362832,0.0467338499999989,0.6167821769811833,-0.0650580699999991,0.1700335349999981
fog_index,2023,458,0.0687528195851528,0.0671782150000002,0.2243535198631696,-0.0368528374999996,0.1726035599999997
fog_index,2024,465,0.0637075345161291,0.0798832699999998,0.3082491915144338,-0.0166991700000025,0.1684745899999988
fog_index,2025,462,-0.0074571338744589,0.0547304200000002,0.5997303514726323,-0.0508652000000005,0.1635045024999994
ai_sentence_count,2021,434,0.2304147465437788,0.0,2.8075115860220574,0.0,0.0
ai_sentence_count,2022,452,0.3407079646017699,0.0,1.852385633546319,0.0,0.0
ai_sentence_count,2023,458,4.131004366812227,1.0,8.102750935999099,0.0,4.75
ai_sentence_count,2024,465,5.178494623655914,3.0,7.020626161139429,1.0,8.0
ai_sentence_count,2025,462,5.909090909090909,4.0,7.678488109581496,1.0,8.0
ai_net_tone,2021,84,0.0083317544047619,0.0,0.349583739756455,0.0,0.0318186849999999
ai_net_tone,2022,107,-0.0912374269158878,0.0,0.3728898035255862,-0.055072465,0.0
ai_net_tone,2023,123,-0.2972960942276422,0.0,0.646607143585226,-0.680555555,0.06904762
ai_net_tone,2024,287,-0.150295761358885,0.0,0.4927007670058513,-0.28916667,0.076817705
ai_net_tone,2025,391,-0.0239721616879795,0.0,0.4056385699202046,-0.1188502699999999,0.13986706
