report_year,ai_disclosure_rate,mean_ai_sentence_count_all,whole_report_concreteness,ai_concreteness,past_tense_share,present_tense_share,future_tense_share,lm_uncertainty_share,passive_voice_sentence_share,fog_index,ai_lm_positive_share,ai_lm_negative_share,ai_lm_uncertainty_share,report_word_count,mean_ai_sentence_count_disclosers
2020,0.2757847533632287,1.3789237668161436,2.9040343928026906,2.9943537375609752,0.2482586002618229,0.7181197356464725,0.0336216640917044,0.0170672157174887,0.2975994750109305,20.636855925852014,0.0200059574796747,0.0101144177235772,0.0097596756910569,58001.64349775785,5.0
2021,0.3116883116883117,1.5952380952380951,2.9030481245238096,2.984715715069445,0.2389298130012547,0.72786505666608,0.0332051303326652,0.0173614975757575,0.2960937170657882,20.69061202794372,0.0204567575,0.0105281116666666,0.0093654719444444,56964.49350649351,5.118055555555555
2022,0.3545647558386411,1.872611464968153,2.902210867983015,2.9506996165662653,0.2331491175972518,0.7340804672846265,0.0327704151181216,0.0174523022929936,0.2961628214097758,20.755175857324843,0.0191766290419161,0.0122128747904191,0.0122841904191616,58009.49681528663,5.281437125748503
2023,0.6826722338204593,6.225469728601253,2.8987624537787053,2.792480911284404,0.2230673386847842,0.7448144985729604,0.0321181627422552,0.017768376012526,0.2951054179173314,20.831561455553235,0.0156073929051987,0.0296239074006116,0.0257930607645259,58149.19832985386,9.119266055045872
2024,0.8850102669404517,11.706365503080082,2.8962914841273104,2.7411476831322505,0.217387116806511,0.7503539683716884,0.0322589148218005,0.0179907001232032,0.2955604311664751,20.878191541540044,0.0133287811600928,0.0357157935962877,0.0295592080046403,58819.90759753594,13.22737819025522
2025,0.9669421487603306,17.892561983471076,2.892020710640496,2.7356576442521368,0.2141465360650065,0.7533904280103063,0.032463035924687,0.0183017165082644,0.2949232708456318,20.88251637801653,0.0139194044017094,0.0371927984401709,0.0297319358333333,59030.57231404959,18.504273504273502
