sample,method,variable_1,variable_2,correlation,pairwise_N,pvalue
full_sample,pearson,log1p_ai_sentence_count,past_tense_share,-0.35388568929279113,2829,3.0884781372166023e-84
full_sample,pearson,log1p_ai_sentence_count,present_tense_share,0.35736992837107107,2829,5.5456633774837926e-86
full_sample,pearson,log1p_ai_sentence_count,future_tense_share,-0.01543824043497488,2829,0.4117485361154917
full_sample,pearson,log1p_ai_sentence_count,ai_past_tense_share,-0.07732387889646307,1593,0.002012482313699129
full_sample,pearson,log1p_ai_sentence_count,ai_present_tense_share,0.05611969657919679,1593,0.02509877424170243
full_sample,pearson,log1p_ai_sentence_count,ai_future_tense_share,0.025420721537535912,1593,0.31059729122492075
full_sample,pearson,log1p_ai_sentence_count,lm_positive_share,0.24125538685193423,2829,9.532403580887257e-39
full_sample,pearson,log1p_ai_sentence_count,lm_negative_share,0.32200434201397166,2829,2.944278927581969e-69
full_sample,pearson,log1p_ai_sentence_count,lm_uncertainty_share,0.3063815614598509,2829,1.5049460237074433e-62
full_sample,pearson,log1p_ai_sentence_count,passive_voice_sentence_share,-0.1587833828333065,2829,1.9684177521656598e-17
full_sample,pearson,log1p_ai_sentence_count,fog_index,0.13144581112706355,2829,2.2383309964150743e-12
full_sample,pearson,log1p_ai_sentence_count,ai_lm_positive_share,-0.0937652467283252,1660,0.00013032687367288046
full_sample,pearson,log1p_ai_sentence_count,ai_lm_negative_share,0.08955662618715211,1660,0.00025878170468343544
full_sample,pearson,log1p_ai_sentence_count,ai_lm_uncertainty_share,0.05273015403125445,1660,0.03169262456752282
full_sample,pearson,log1p_ai_sentence_count,ai_passive_voice_sentence_share,0.04705117566270476,1660,0.05528519398991542
full_sample,pearson,log1p_ai_sentence_count,ai_fog_index,-0.16571084344608755,1660,1.0944043001781449e-11
full_sample,pearson,log1p_ai_sentence_count,log_report_word_count,0.11317396555113476,2829,1.577098993697304e-09
full_sample,pearson,log1p_ai_sentence_count,report_word_count,0.08210285517419019,2829,1.229060228843965e-05
full_sample,pearson,log1p_ai_sentence_count,numeric_token_share,-0.3253138901414332,2829,9.898103984205336e-71
full_sample,pearson,log1p_ai_sentence_count,average_word_length,0.1746055187622724,2829,8.374123572241615e-21
full_sample,pearson,log1p_ai_sentence_count,lexical_density,-0.01064434167015525,2829,0.5714476647264601
full_sample,pearson,log1p_ai_sentence_count,root_type_token_ratio,0.14554370366109118,2829,7.294818587652214e-15
full_sample,pearson,whole_report_concreteness,whole_report_concreteness,1.0,2829,0.0
full_sample,pearson,whole_report_concreteness,ai_concreteness,0.10698671081877423,1659,1.2601600746811585e-05
full_sample,pearson,whole_report_concreteness,past_tense_share,0.30184330059579395,2829,1.1249084136821697e-60
full_sample,pearson,whole_report_concreteness,present_tense_share,-0.2907754178019364,2829,3.0293692456083233e-56
full_sample,pearson,whole_report_concreteness,future_tense_share,-0.05309841545283939,2829,0.004728628557510873
full_sample,pearson,whole_report_concreteness,ai_past_tense_share,0.08313496419851649,1593,0.0008961129338115128
full_sample,pearson,whole_report_concreteness,ai_present_tense_share,-0.08077726255907453,1593,0.0012520132295355142
full_sample,pearson,whole_report_concreteness,ai_future_tense_share,0.012271207389861703,1593,0.6245533277450381
full_sample,pearson,whole_report_concreteness,lm_positive_share,-0.08654633155665,2829,4.029146044505944e-06
full_sample,pearson,whole_report_concreteness,lm_negative_share,-0.428442163474401,2829,1.1132868887188264e-126
full_sample,pearson,whole_report_concreteness,lm_uncertainty_share,-0.5363794482049228,2829,1.523874438805706e-210
full_sample,pearson,whole_report_concreteness,passive_voice_sentence_share,-0.1053304643020722,2829,1.9599058929727233e-08
full_sample,pearson,whole_report_concreteness,fog_index,-0.2938140914597043,2829,1.9254292687590823e-57
full_sample,pearson,whole_report_concreteness,ai_lm_positive_share,0.07069944583626947,1660,0.003952207537631248
full_sample,pearson,whole_report_concreteness,ai_lm_negative_share,0.03340549863506952,1660,0.17370403569758164
full_sample,pearson,whole_report_concreteness,ai_lm_uncertainty_share,-0.026489136564220733,1660,0.28075459060127755
full_sample,pearson,whole_report_concreteness,ai_passive_voice_sentence_share,-0.007529047655174204,1660,0.759201144764894
full_sample,pearson,whole_report_concreteness,ai_fog_index,0.05251216576442022,1660,0.03240549070558337
full_sample,pearson,whole_report_concreteness,log_report_word_count,-0.2117039921700291,2829,4.996533878892359e-30
full_sample,pearson,whole_report_concreteness,report_word_count,-0.19571209703918882,2829,8.040579803866343e-26
full_sample,pearson,whole_report_concreteness,numeric_token_share,0.3148885295130687,2829,3.755963499048295e-66
full_sample,pearson,whole_report_concreteness,average_word_length,-0.18821534385025596,2829,5.7072654590622e-24
full_sample,pearson,whole_report_concreteness,lexical_density,0.1824468177441805,2829,1.345715469760395e-22
full_sample,pearson,whole_report_concreteness,root_type_token_ratio,0.14781818033304553,2829,2.74077425667079e-15
full_sample,pearson,ai_concreteness,ai_concreteness,1.0,1659,0.0
full_sample,pearson,ai_concreteness,past_tense_share,0.003312405797607488,1659,0.892757595694961
full_sample,pearson,ai_concreteness,present_tense_share,-0.01955736545527985,1659,0.42599522740075524
full_sample,pearson,ai_concreteness,future_tense_share,0.07235456722644802,1659,0.0031910821520524327
full_sample,pearson,ai_concreteness,ai_past_tense_share,0.23812071442390778,1593,5.665260166963615e-22
full_sample,pearson,ai_concreteness,ai_present_tense_share,-0.19798659814780264,1593,1.5239638408814386e-15
full_sample,pearson,ai_concreteness,ai_future_tense_share,-0.029527415398288098,1593,0.23885965954360433
full_sample,pearson,ai_concreteness,lm_positive_share,0.14496793149911105,1659,3.000487213704604e-09
full_sample,pearson,ai_concreteness,lm_negative_share,-0.031125283079341107,1659,0.20511600871965482
full_sample,pearson,ai_concreteness,lm_uncertainty_share,-0.006728492713139118,1659,0.7841971414486475
full_sample,pearson,ai_concreteness,passive_voice_sentence_share,-0.10283427227299502,1659,2.71075105251997e-05
full_sample,pearson,ai_concreteness,fog_index,-0.077482123349205,1659,0.0015870264019393274
full_sample,pearson,ai_concreteness,ai_lm_positive_share,0.06959131913184112,1659,0.004570909146615166
full_sample,pearson,ai_concreteness,ai_lm_negative_share,-0.47925294365143956,1659,5.203093978923652e-96
full_sample,pearson,ai_concreteness,ai_lm_uncertainty_share,-0.553970461331077,1659,4.531308175094905e-134
full_sample,pearson,ai_concreteness,ai_passive_voice_sentence_share,-0.03181449598900278,1659,0.19525753154604933
full_sample,pearson,ai_concreteness,ai_fog_index,-0.018193405280288795,1659,0.4589753501110002
full_sample,pearson,ai_concreteness,log_report_word_count,-0.12090213969568936,1659,7.858110623208622e-07
full_sample,pearson,ai_concreteness,report_word_count,-0.12068692059851938,1659,8.222870862783051e-07
full_sample,pearson,ai_concreteness,numeric_token_share,-0.06025132691442233,1659,0.014109380893520193
full_sample,pearson,ai_concreteness,average_word_length,-0.058906071341636,1659,0.016414422202124548
full_sample,pearson,ai_concreteness,lexical_density,-0.13928636165715835,1659,1.2210431462146634e-08
full_sample,pearson,ai_concreteness,root_type_token_ratio,0.15624690438907232,1659,1.5680338210236494e-10
full_sample,pearson,past_tense_share,past_tense_share,1.0,2829,0.0
full_sample,pearson,past_tense_share,present_tense_share,-0.9775696184610573,2829,0.0
full_sample,pearson,past_tense_share,future_tense_share,-0.10871519712033291,2829,6.750584124499236e-09
full_sample,pearson,past_tense_share,ai_past_tense_share,0.06633472380588193,1593,0.0080869609454501
full_sample,pearson,past_tense_share,ai_present_tense_share,-0.07242381610874452,1593,0.003826297571892506
full_sample,pearson,past_tense_share,ai_future_tense_share,0.02523385189063107,1593,0.31416867805732684
full_sample,pearson,past_tense_share,lm_positive_share,-0.1863044058687348,2829,1.6446812073186285e-23
full_sample,pearson,past_tense_share,lm_negative_share,-0.18215924876671294,2829,1.5710916987894265e-22
full_sample,pearson,past_tense_share,lm_uncertainty_share,-0.4051099634955804,2829,3.331838907044852e-112
full_sample,pearson,past_tense_share,passive_voice_sentence_share,0.04452875508817788,2829,0.017858503524304688
full_sample,pearson,past_tense_share,fog_index,-0.07847085742588472,2829,2.936516340461012e-05
full_sample,pearson,past_tense_share,ai_lm_positive_share,0.0562879428775393,1660,0.021822916096570222
full_sample,pearson,past_tense_share,ai_lm_negative_share,0.008908550572231961,1660,0.7168321880232812
full_sample,pearson,past_tense_share,ai_lm_uncertainty_share,0.00039723341669230917,1660,0.9870969107307186
full_sample,pearson,past_tense_share,ai_passive_voice_sentence_share,0.00571921160912001,1660,0.8158819434254772
full_sample,pearson,past_tense_share,ai_fog_index,0.11085166345658472,1660,5.982808960410125e-06
full_sample,pearson,past_tense_share,log_report_word_count,0.1106452068659548,2829,3.6227163439773978e-09
full_sample,pearson,past_tense_share,report_word_count,0.10177347007212541,2829,5.7999773670688947e-08
full_sample,pearson,past_tense_share,numeric_token_share,0.5426508412011237,2829,2.079915761125368e-216
full_sample,pearson,past_tense_share,average_word_length,-0.04118529878431236,2829,0.028485158257841522
full_sample,pearson,past_tense_share,lexical_density,0.11556039236636496,2829,7.074591262737272e-10
full_sample,pearson,past_tense_share,root_type_token_ratio,-0.18709449489592353,2829,1.0632471382020246e-23
full_sample,pearson,present_tense_share,present_tense_share,1.0,2829,0.0
full_sample,pearson,present_tense_share,future_tense_share,-0.1030875504055709,2829,3.900941949227884e-08
full_sample,pearson,present_tense_share,ai_past_tense_share,-0.062438824165184606,1593,0.012682602496550474
full_sample,pearson,present_tense_share,ai_present_tense_share,0.07635602279225741,1593,0.002291363997773365
full_sample,pearson,present_tense_share,ai_future_tense_share,-0.03961160725553251,1593,0.11402131149729262
full_sample,pearson,present_tense_share,lm_positive_share,0.17892215858247915,2829,8.821366756786453e-22
full_sample,pearson,present_tense_share,lm_negative_share,0.18132280440715431,2829,2.4613471335782543e-22
full_sample,pearson,present_tense_share,lm_uncertainty_share,0.3899691302236604,2829,2.0745810762337863e-103
full_sample,pearson,present_tense_share,passive_voice_sentence_share,-0.040816594704172086,2829,0.029937801574685695
full_sample,pearson,present_tense_share,fog_index,0.04298947481676638,2829,0.022220026023432492
full_sample,pearson,present_tense_share,ai_lm_positive_share,-0.0538713763016103,1660,0.028175992826523253
full_sample,pearson,present_tense_share,ai_lm_negative_share,-0.004757995492857257,1660,0.8464025345933089
full_sample,pearson,present_tense_share,ai_lm_uncertainty_share,0.006662633120588695,1660,0.7861950363410041
full_sample,pearson,present_tense_share,ai_passive_voice_sentence_share,-0.007990951180810373,1660,0.7449267496632235
full_sample,pearson,present_tense_share,ai_fog_index,-0.09614627060167337,1660,8.729413452793891e-05
full_sample,pearson,present_tense_share,log_report_word_count,-0.12920538396311215,2829,5.269708259896441e-12
full_sample,pearson,present_tense_share,report_word_count,-0.1121617940568049,2829,2.2048556089509764e-09
full_sample,pearson,present_tense_share,numeric_token_share,-0.5183950494396641,2829,2.1487885961720663e-194
full_sample,pearson,present_tense_share,average_word_length,0.11509070495099474,2829,8.294427521479561e-10
full_sample,pearson,present_tense_share,lexical_density,-0.028530113000960127,2829,0.1292395073111167
full_sample,pearson,present_tense_share,root_type_token_ratio,0.19060230359632496,2829,1.4973469649044302e-24
full_sample,pearson,future_tense_share,future_tense_share,1.0,2829,0.0
full_sample,pearson,future_tense_share,ai_past_tense_share,-0.019028295500321497,1593,0.4478899010208764
full_sample,pearson,future_tense_share,ai_present_tense_share,-0.015311204567411325,1593,0.5414226530797911
full_sample,pearson,future_tense_share,ai_future_tense_share,0.06267821643601847,1593,0.012344684374283661
full_sample,pearson,future_tense_share,lm_positive_share,0.03537374153226692,2829,0.059940912982661465
full_sample,pearson,future_tense_share,lm_negative_share,0.004466322589250804,2829,0.8123057626395002
full_sample,pearson,future_tense_share,lm_uncertainty_share,0.07261625892316603,2829,0.00011075478011964787
full_sample,pearson,future_tense_share,passive_voice_sentence_share,-0.017647792726048873,2829,0.3480824938707347
full_sample,pearson,future_tense_share,fog_index,0.16769236058376555,2829,2.732667499472397e-19
full_sample,pearson,future_tense_share,ai_lm_positive_share,-0.011489449664512187,1660,0.639942933799207
full_sample,pearson,future_tense_share,ai_lm_negative_share,-0.01860860962261641,1660,0.4486504263819889
full_sample,pearson,future_tense_share,ai_lm_uncertainty_share,-0.03146308711704961,1660,0.20010404327343406
