variable,ai_sentence_count,log1p_ai_sentence_count,ai_concreteness,ai_past_tense_share,ai_present_tense_share,ai_future_tense_share,ai_lm_positive_share,ai_lm_negative_share,ai_lm_uncertainty_share,ai_passive_voice_sentence_share,ai_fog_index,log_report_word_count
ai_sentence_count,0.9999999999999999,0.9999999999999999,-0.12925324218634535,0.2870631586012438,-0.26731757509565396,0.43692815726519557,0.06762705150094869,0.293093823424447,0.20213166275576483,0.3980014384780851,-0.19593363191430238,0.08363134409089482
log1p_ai_sentence_count,0.9999999999999999,0.9999999999999999,-0.12925324218634535,0.2870631586012438,-0.26731757509565396,0.43692815726519557,0.06762705150094869,0.293093823424447,0.20213166275576483,0.3980014384780851,-0.19593363191430238,0.08363134409089482
ai_concreteness,-0.12925324218634535,-0.12925324218634535,1.0,0.18888954181696638,-0.12931619915767628,-0.09677245459673327,0.10751268977151048,-0.5597956217438445,-0.6349428051737633,-0.09043727119163525,0.0073073370474336765,-0.11258471722421914
ai_past_tense_share,0.2870631586012438,0.2870631586012438,0.1888895418169664,1.0,-0.8031962564509249,0.10415631396915198,0.12362723830347098,-0.1169484124461296,-0.17287237654234575,0.07519074245403012,-0.08187081254612077,0.04214793315514931
ai_present_tense_share,-0.26731757509565396,-0.26731757509565396,-0.12931619915767628,-0.8031962564509249,1.0,-0.5405356398510739,-0.1262007786080545,0.1266286204522683,0.1533591788985868,-0.06409451772072398,0.1124612015946743,-0.028685639307831086
ai_future_tense_share,0.4369281572651956,0.4369281572651956,-0.09677245459673327,0.10415631396915197,-0.5405356398510739,1.0,0.04903394393415558,0.06212935812645177,0.05547116789045862,0.15779828482951663,-0.13428997603190296,0.00498312859486843
ai_lm_positive_share,0.06762705150094869,0.06762705150094869,0.10751268977151049,0.12362723830347098,-0.1262007786080545,0.049033943934155576,1.0,-0.15171988062011943,-0.16491351659691977,-0.059790065099227754,0.015852794417198304,-0.10185314830335626
ai_lm_negative_share,0.293093823424447,0.293093823424447,-0.5597956217438445,-0.1169484124461296,0.1266286204522683,0.062129358126451775,-0.1517198806201194,0.9999999999999999,0.5417221494812098,0.23758363039358865,0.06804068246916942,0.02373588637796615
ai_lm_uncertainty_share,0.2021316627557648,0.2021316627557648,-0.6349428051737633,-0.17287237654234575,0.15335917889858677,0.05547116789045862,-0.16491351659691977,0.5417221494812098,1.0,0.08604832198221996,-0.1061384140261451,0.06789944087449545
ai_passive_voice_sentence_share,0.39800143847808506,0.39800143847808506,-0.09043727119163525,0.07519074245403014,-0.06409451772072398,0.15779828482951663,-0.059790065099227754,0.23758363039358865,0.08604832198221996,1.0,0.08695077924617935,0.05105197792364272
ai_fog_index,-0.19593363191430235,-0.19593363191430235,0.007307337047433676,-0.08187081254612077,0.11246120159467432,-0.13428997603190299,0.015852794417198307,0.06804068246916942,-0.1061384140261451,0.08695077924617935,1.0,0.01936896716150939
log_report_word_count,0.08363134409089482,0.08363134409089482,-0.11258471722421916,0.0421479331551493,-0.028685639307831086,0.00498312859486843,-0.10185314830335626,0.023735886377966146,0.06789944087449545,0.05105197792364272,0.019368967161509393,1.0
