pilot_id,sample_year,snapshot_date,_company_key,cik,symbol,security,gics_sector,gics_sub_industry,sampling_seed,sector_population_n,sector_target_n,within_sector_random_order,selection_status,replacement_for,selection_reason,replacement_status,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,reserve_order,analysis_included,final_sample_status,final_sample_id,accession_number,report_date,filing_date,primary_document,form,identity_status
P2025-041,2025,2026-01-01,cik:0001035267,0001035267,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,20250729,58,12,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-041,,,1,included,P2025-041,0001035267-26-000010,2025-12-31,2026-02-03,isrg-20251231.htm,10-K,verified_by_cik
P2025-042,2025,2026-01-01,cik:0000313616,0000313616,DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,20250729,58,12,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-042,,,1,included,P2025-042,0000313616-26-000062,2025-12-31,2026-02-24,dhr-20251231.htm,10-K,verified_by_cik
P2025-043,2025,2026-01-01,cik:0000860730,0000860730,HCA,HCA Healthcare,Health Care,Health Care Facilities,20250729,58,12,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-043,,,1,included,P2025-043,0001193125-26-044769,2025-12-31,2026-02-10,hca-20251231.htm,10-K,verified_by_cik
P2025-044,2025,2026-01-01,cik:0000872589,0000872589,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,20250729,58,12,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-044,,,1,included,P2025-044,0000872589-26-000008,2025-12-31,2026-02-04,regn-20251231.htm,10-K,verified_by_cik
P2025-045,2025,2026-01-01,cik:0001071739,0001071739,CNC,Centene Corporation,Health Care,Managed Health Care,20250729,58,12,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-045,,,1,included,P2025-045,0001071739-26-000049,2025-12-31,2026-02-17,cnc-20251231.htm,10-K,verified_by_cik
P2025-046,2025,2026-01-01,cik:0001000228,0001000228,HSIC,Henry Schein,Health Care,Health Care Distributors,20250729,58,12,6,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-046,,,1,included,P2025-046,0001000228-26-000013,2025-12-27,2026-02-24,hsic-20251227.htm,10-K,verified_by_cik
P2025-047,2025,2026-01-01,cik:0001000697,0001000697,WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,20250729,58,12,7,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-047,,,1,included,P2025-047,0001193125-26-062604,2025-12-31,2026-02-23,d778470d10k.htm,10-K,verified_by_cik
P2025-048,2025,2026-01-01,cik:0000731766,0000731766,UNH,UnitedHealth Group,Health Care,Managed Health Care,20250729,58,12,8,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-048,,,1,included,P2025-048,0000731766-26-000062,2025-12-31,2026-03-02,unh-20251231.htm,10-K,verified_by_cik
P2025-049,2025,2026-01-01,cik:0001555280,0001555280,ZTS,Zoetis,Health Care,Pharmaceuticals,20250729,58,12,9,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-049,,,1,included,P2025-049,0001555280-26-000011,2025-12-31,2026-02-12,zts-20251231.htm,10-K,verified_by_cik
P2025-050,2025,2026-01-01,cik:0000010456,0000010456,BAX,Baxter International,Health Care,Health Care Equipment,20250729,58,12,10,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-050,,,1,included,P2025-050,0001628280-26-007733,2025-12-31,2026-02-12,bax-20251231.htm,10-K,verified_by_cik
