pilot_id,sample_year,snapshot_date,_company_key,cik,symbol,security,gics_sector,gics_sub_industry,sampling_seed,sector_population_n,sector_target_n,within_sector_random_order,selection_status,replacement_for,selection_reason,replacement_status,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,reserve_order,analysis_included,final_sample_status,final_sample_id,accession_number,report_date,filing_date,primary_document,form,identity_status
P2025-074,2025,2026-01-01,cik:0001645590,0001645590,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",20250729,69,14,6,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-074,,,1,included,P2025-074,0001645590-25-000130,2025-10-31,2025-12-18,hpe-20251031.htm,10-K,verified_by_cik
P2025-075,2025,2026-01-01,cik:0000319201,0000319201,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,20250729,69,14,7,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-075,,,1,included,P2025-075,0000319201-25-000024,2025-06-30,2025-08-08,klac-20250630.htm,10-K,verified_by_cik
P2025-076,2025,2026-01-01,cik:0000068505,0000068505,MSI,Motorola Solutions,Information Technology,Communications Equipment,20250729,69,14,8,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-076,,,1,included,P2025-076,0000068505-26-000010,2025-12-31,2026-02-12,msi-20251231.htm,10-K,verified_by_cik
P2025-077,2025,2026-01-01,cik:0001045810,0001045810,NVDA,Nvidia,Information Technology,Semiconductors,20250729,69,14,9,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-077,,,1,included,P2025-077,0001045810-25-000023,2025-01-26,2025-02-26,nvda-20250126.htm,10-K,verified_by_cik
P2025-078,2025,2026-01-01,cik:0001601046,0001601046,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,20250729,69,14,10,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-078,,,1,included,P2025-078,0001601046-25-000127,2025-10-31,2025-12-17,keys-20251031.htm,10-K,verified_by_cik
P2025-079,2025,2026-01-01,cik:0001327811,0001327811,WDAY,"Workday, Inc.",Information Technology,Application Software,20250729,69,14,11,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-079,,,1,included,P2025-079,0001327811-25-000056,2025-01-31,2025-03-11,wday-20250131.htm,10-K,verified_by_cik
P2025-080,2025,2026-01-01,cik:0001137789,0001137789,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",20250729,69,14,12,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-080,,,1,included,P2025-080,0001137789-25-000157,2025-06-27,2025-08-01,stx-20250627.htm,10-K,verified_by_cik
P2025-081,2025,2026-01-01,cik:0001262039,0001262039,FTNT,Fortinet,Information Technology,Systems Software,20250729,69,14,13,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-081,,,1,included,P2025-081,0001262039-26-000007,2025-12-31,2026-02-25,ftnt-20251231.htm,10-K,verified_by_cik
P2025-082,2025,2026-01-01,cik:0001467373,0001467373,ACN,Accenture,Information Technology,IT Consulting & Other Services,20250729,69,14,14,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-082,,,1,included,P2025-082,0001467373-25-000217,2025-08-31,2025-10-10,acn-20250831.htm,10-K,verified_by_cik
P2025-083,2025,2026-01-01,cik:0000916076,0000916076,MLM,Martin Marietta Materials,Materials,Construction Materials,20250729,26,5,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-083,,,1,included,P2025-083,0001193125-26-059193,2025-12-31,2026-02-19,mlm-20251231.htm,10-K,verified_by_cik
P2025-084,2025,2026-01-01,cik:0000079879,0000079879,PPG,PPG Industries,Materials,Specialty Chemicals,20250729,26,5,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-084,,,1,included,P2025-084,0000079879-26-000046,2025-12-31,2026-02-19,ppg-20251231.htm,10-K,verified_by_cik
P2025-085,2025,2026-01-01,cik:0001396009,0001396009,VMC,Vulcan Materials Company,Materials,Construction Materials,20250729,26,5,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-085,,,1,included,P2025-085,0001628280-26-009546,2025-12-31,2026-02-19,vmc-20251231.htm,10-K,verified_by_cik
P2025-086,2025,2026-01-01,cik:0000009389,0000009389,BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",20250729,26,5,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-086,,,1,included,P2025-086,0001104659-26-017410,2025-12-31,2026-02-19,ball-20251231x10k.htm,10-K,verified_by_cik
P2025-087,2025,2026-01-01,cik:0000849395,0000849395,CRH,CRH plc,Materials,Construction Materials,20250729,26,5,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-087,,,1,included,P2025-087,0001628280-26-009043,2025-12-31,2026-02-18,crh-20251231.htm,10-K,verified_by_cik
P2025-088,2025,2026-01-01,cik:0000034903,0000034903,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,20250729,31,7,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-088,,,1,included,P2025-088,0000034903-26-000017,2025-12-31,2026-02-12,frt-20251231.htm,10-K,verified_by_cik
P2025-089,2025,2026-01-01,cik:0001289490,0001289490,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,20250729,31,7,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-089,,,1,included,P2025-089,0001289490-26-000011,2025-12-31,2026-02-20,exr-20251231.htm,10-K,verified_by_cik
P2025-090,2025,2026-01-01,cik:0001297996,0001297996,DLR,Digital Realty,Real Estate,Data Center REITs,20250729,31,7,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-090,,,1,included,P2025-090,0001104659-26-015365,2025-12-31,2026-02-13,dlr-20251231x10k.htm,10-K,verified_by_cik
P2025-091,2025,2026-01-01,cik:0000920522,0000920522,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,20250729,31,7,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-091,,,1,included,P2025-091,0000920522-26-000003,2025-12-31,2026-02-20,ess-20251231.htm,10-K,verified_by_cik
P2025-092,2025,2026-01-01,cik:0001705696,0001705696,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,20250729,31,7,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-092,,,1,included,P2025-092,0001705696-26-000034,2025-12-31,2026-02-25,vici-20251231.htm,10-K,verified_by_cik
P2025-093,2025,2026-01-01,cik:0000074208,0000074208,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,20250729,31,7,6,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-093,,,1,included,P2025-093,0000074208-26-000013,2025-12-31,2026-02-17,udr-20251231x10k.htm,10-K,verified_by_cik
P2025-094,2025,2026-01-01,cik:0001687229,0001687229,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,20250729,31,7,7,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-094,,,1,included,P2025-094,0001687229-26-000016,2025-12-31,2026-02-19,invh-20251231.htm,10-K,verified_by_cik
P2025-095,2025,2026-01-01,cik:0001004980,0001004980,PCG,PG&E Corporation,Utilities,Multi-Utilities,20250729,31,6,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-095,,,1,included,P2025-095,0001004980-26-000009,2025-12-31,2026-02-12,pcg-20251231.htm,10-K,verified_by_cik
P2025-096,2025,2026-01-01,cik:0000715957,0000715957,D,Dominion Energy,Utilities,Multi-Utilities,20250729,31,6,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-096,,,1,included,P2025-096,0001193125-26-063120,2025-12-31,2026-02-23,d-20251231.htm,10-K,verified_by_cik
P2025-097,2025,2026-01-01,cik:0000764622,0000764622,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,20250729,31,6,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-097,,,1,included,P2025-097,0000764622-26-000011,2025-12-31,2026-02-25,pnw-20251231.htm,10-K,verified_by_cik
P2025-098,2025,2026-01-01,cik:0000065984,0000065984,ETR,Entergy,Utilities,Electric Utilities,20250729,31,6,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-098,,,1,included,P2025-098,0000065984-26-000174,2025-12-31,2026-02-19,etr-20251231.htm,10-K,verified_by_cik
P2025-099,2025,2026-01-01,cik:0001013871,0001013871,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,20250729,31,6,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-099,,,1,included,P2025-099,0001013871-26-000004,2025-12-31,2026-02-24,nrg-20251231.htm,10-K,verified_by_cik
P2025-100,2025,2026-01-01,cik:0000788784,0000788784,PEG,Public Service Enterprise Group,Utilities,Electric Utilities,20250729,31,6,6,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-100,,,1,included,P2025-100,0001193125-26-077446,2025-12-31,2026-02-26,peg-20251231.htm,10-K,verified_by_cik
P2025-R001,2025,2026-01-01,cik:0000049826,0000049826,ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,20250729,78,16,17,selected_replacement,P2025-059,first_eligible_same_sector_deterministic_reserve_no_text_outcome_used,replacement,,no_eligible_2025_report_date_10k,P2025-059,P2025-R001,1,1,included,P2025-R001,0000049826-26-000008,2025-12-31,2026-02-13,itw-20251231.htm,10-K,verified_by_cik_and_ticker
