gics_sector,sector_population_n,exact_quota,sector_target_n
Communication Services,19,3.9014373716632442,4
Consumer Discretionary,47,9.650924024640657,10
Consumer Staples,33,6.776180698151951,7
Energy,21,4.312114989733059,4
Financials,74,15.195071868583161,15
Health Care,58,11.90965092402464,12
Industrials,78,16.016427104722794,16
Information Technology,69,14.168377823408624,14
Materials,26,5.338809034907597,5
Real Estate,31,6.365503080082136,7
Utilities,31,6.365503080082136,6
