company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,report_positive_count,report_negative_count,report_net_tone,report_uncertainty_count,report_uncertainty_ratio,report_weak_modal_count,report_weak_modal_ratio,report_strong_modal_count,report_strong_modal_ratio,report_litigious_count,report_litigious_ratio,report_constraining_count,report_constraining_ratio,report_positive_ratio,report_negative_ratio,report_net_tone_by_words,report_sentiment_word_coverage,report_total_lm_matched_word_count,report_total_eligible_word_count,lm_report_status
S2023-001,0000066740,MMM,3M,0000066740-24-000016,2023,2024-02-07,1.0.3,0.3.0,250,1737,-0.7483643683945647,884,0.014736526247353594,318,0.005301148582192808,103,0.0017170386917165386,1552,0.02587227232567056,431,0.007184890059512895,0.0041675696400886855,0.02895627385933619,-0.024788704219247504,0.033123843499424876,4375,59987,success
S2023-002,0000091142,AOS,A. O. Smith,0000091142-24-000041,2023,2024-02-13,1.0.3,0.3.0,137,415,-0.5036231884057971,457,0.018070383550810597,153,0.006049822064056939,51,0.0020166073546856464,206,0.008145512060102807,166,0.0065638592328983785,0.005417160933175168,0.01640964808224595,-0.010992487149070779,0.021826809015421115,1356,25290,success
S2023-003,0000874761,AES,AES Corporation,0000874761-24-000011,2023,2024-02-26,1.0.3,0.3.0,508,1692,-0.5381818181818182,1651,0.016418058870326175,616,0.006125696101829754,268,0.0026650755767700877,1389,0.013812649164677804,946,0.009407319013524264,0.005051710421638823,0.016825775656324583,-0.011774065234685759,0.021877486077963405,6003,100560,success
S2023-004,0001841666,APA,APA Corporation,0001784031-24-000003,2023,2024-02-22,1.0.3,0.3.0,246,1022,-0.61198738170347,917,0.015941172380223908,369,0.0064147138585633826,124,0.0021556220012516514,556,0.00966553090883805,507,0.008813712537375704,0.004276475905708921,0.017766497461928935,-0.013490021556220012,0.022042973367637855,3201,57524,success
S2023-005,0000732717,T,AT&T,0000732717-24-000009,2023,2024-02-23,1.0.3,0.3.0,233,651,-0.47285067873303166,561,0.013234253361641897,239,0.005638122198631753,98,0.002311866006133522,432,0.01019108280254777,353,0.008327435715970747,0.0054965793819297,0.015357395612172682,-0.009860816230242982,0.02085397499410238,2223,42390,success
S2023-006,0001551152,ABBV,AbbVie,0001551152-24-000011,2023,2024-02-20,1.0.3,0.3.0,382,917,-0.41185527328714394,809,0.01809802912686517,357,0.007986398514574618,140,0.003131920986107693,621,0.013892306659806269,383,0.008568040983423189,0.008545670119236706,0.020514082459005392,-0.011968412339768685,0.029059752578242098,3037,44701,success
S2023-007,0000001800,ABT,Abbott Laboratories,0001628280-24-005348,2023,2024-02-16,1.0.3,0.3.0,187,699,-0.5778781038374717,600,0.01698994761432819,214,0.006059747982443721,88,0.002491858983434801,431,0.012204445702959083,265,0.007503893529661617,0.005295200339798952,0.01979328897069234,-0.014498088630893389,0.02508848931049129,2117,35315,success
S2023-008,0001467373,ACN,Accenture,0001467373-23-000324,2023,2023-10-12,1.0.3,0.3.0,398,830,-0.3517915309446254,830,0.021277141172549925,443,0.011356353661975441,92,0.002358430105873004,577,0.014791458381399164,289,0.007408546745622805,0.010202773718885385,0.021277141172549925,-0.011074367453664538,0.03147991489143531,2885,39009,success
S2023-009,0000796343,ADBE,Adobe Inc.,0000796343-24-000006,2023,2024-01-17,1.0.3,0.3.0,519,874,-0.2548456568557071,719,0.01600302699815264,367,0.008168443544258719,86,0.001914131184758174,488,0.010861581606534755,310,0.006899775200872487,0.011551559126622004,0.019452914598588885,-0.007901355471966881,0.03100447372521089,2848,44929,success
S2023-010,0000002488,AMD,Advanced Micro Devices,0000002488-24-000012,2023,2024-01-31,1.0.3,0.3.0,335,1095,-0.5314685314685315,1036,0.02148976332220125,593,0.01230060777033334,127,0.0026343628783007324,380,0.007882345620112427,398,0.00825571988632828,0.006948909954572797,0.02271360119479765,-0.015764691240224855,0.02966251114937045,3182,48209,success
