company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,report_concreteness_mean,report_concreteness_median,report_concreteness_standard_deviation,report_concreteness_min,report_concreteness_max,report_concreteness_matched_token_count,report_concreteness_eligible_token_count,report_concreteness_unmatched_token_count,report_concreteness_coverage,report_concreteness_unique_dictionary_entries,report_concreteness_stem_collision_count,report_concreteness_status
S2023-001,0000066740,MMM,3M,0000066740-24-000016,2023,2024-02-07,1.0.3,0.3.0,2.9447815710703016,2.85,0.8337172214890864,1.19,5.0,24722,34480,9758,0.7169953596287703,2333,6320,warning_stem_collisions
S2023-002,0000091142,AOS,A. O. Smith,0000091142-24-000041,2023,2024-02-13,1.0.3,0.3.0,2.9716006266126063,2.89,0.8591198648810869,1.26,5.0,10852,13985,3133,0.7759742581337147,1596,2325,warning_stem_collisions
S2023-003,0000874761,AES,AES Corporation,0000874761-24-000011,2023,2024-02-26,1.0.3,0.3.0,2.91084880832329,2.83,0.8117889284921789,1.19,5.0,40657,57089,16432,0.7121687190176742,2759,9825,warning_stem_collisions
S2023-004,0001841666,APA,APA Corporation,0001784031-24-000003,2023,2024-02-22,1.0.3,0.3.0,2.9489649166459317,2.82,0.8428070523402582,1.25,5.0,24114,33513,9399,0.7195416703965626,2251,5755,warning_stem_collisions
S2023-005,0000732717,T,AT&T,0000732717-24-000009,2023,2024-02-23,1.0.3,0.3.0,2.905845756880734,2.82,0.8061849477734,1.26,5.0,17440,23636,6196,0.7378575055000847,2042,4552,warning_stem_collisions
S2023-006,0001551152,ABBV,AbbVie,0001551152-24-000011,2023,2024-02-20,1.0.3,0.3.0,2.8800248339901744,2.75,0.8119208200631113,1.19,5.0,18523,26204,7681,0.7068768127003511,2281,4746,warning_stem_collisions
S2023-007,0000001800,ABT,Abbott Laboratories,0001628280-24-005348,2023,2024-02-16,1.0.3,0.3.0,2.9006254990684055,2.8,0.7859020271599814,1.29,5.0,15028,21130,6102,0.7112162801703739,1903,3847,warning_stem_collisions
S2023-008,0001467373,ACN,Accenture,0001467373-23-000324,2023,2023-10-12,1.0.3,0.3.0,2.8429679787368687,2.74,0.8101782748073594,1.19,5.0,15802,20797,4995,0.7598211280473145,2006,3844,warning_stem_collisions
S2023-009,0000796343,ADBE,Adobe Inc.,0000796343-24-000006,2023,2024-01-17,1.0.3,0.3.0,2.92083112565581,2.82,0.8337316081764379,1.23,5.0,19251,25522,6271,0.75429041611159,2285,4943,warning_stem_collisions
S2023-010,0000002488,AMD,Advanced Micro Devices,0000002488-24-000012,2023,2024-01-31,1.0.3,0.3.0,2.9109516890664726,2.85,0.8331619262743638,1.19,5.0,19271,26964,7693,0.7146936656282451,2170,4969,warning_stem_collisions
S2023-011,0000004977,AFL,Aflac,0000004977-24-000053,2023,2024-02-22,1.0.3,0.3.0,2.917835451216886,2.79,0.8391601155421567,1.19,5.0,32501,44440,11939,0.7313456345634564,2205,7812,warning_stem_collisions
S2023-012,0001090872,A,Agilent Technologies,0001090872-23-000020,2023,2023-12-20,1.0.3,0.3.0,2.8935329961863703,2.81,0.7815185100235913,1.04,5.0,24124,31934,7810,0.7554330807290036,2126,5852,warning_stem_collisions
