company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,total_analysis_word_count,total_analysis_sentence_count,ai_sentence_count,ai_sentence_ratio,ai_detection_status,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status,report_concreteness_mean,report_concreteness_median,report_concreteness_standard_deviation,report_concreteness_min,report_concreteness_max,report_concreteness_matched_token_count,report_concreteness_eligible_token_count,report_concreteness_unmatched_token_count,report_concreteness_coverage,report_concreteness_unique_dictionary_entries,report_concreteness_stem_collision_count,report_concreteness_status,report_word_count,log_report_word_count,report_sentence_count,report_paragraph_count,report_mean_sentence_length,report_fog_index,report_numeric_token_ratio,report_ai_term_count,report_ai_terms_per_1000_words,report_table_text_word_count,report_table_text_ratio,source_html_bytes,analysis_text_bytes,analysis_text_to_html_ratio,report_control_status,report_positive_count,report_negative_count,report_net_tone,report_uncertainty_count,report_uncertainty_ratio,report_weak_modal_count,report_weak_modal_ratio,report_strong_modal_count,report_strong_modal_ratio,report_litigious_count,report_litigious_ratio,report_constraining_count,report_constraining_ratio,report_forward_looking_count,report_forward_looking_ratio,report_positive_ratio,report_negative_ratio,report_net_tone_by_words,report_sentiment_word_coverage,report_total_lm_matched_word_count,report_total_eligible_word_count,concreteness_status,lm_ai_status,lm_report_status,matching_strategy_version,concreteness_preprocessing_version
S2023-247,0000728535,JBHT,J.B. Hunt,0001437749-24-005368,2023,2024-02-23,1.0.3,0.3.0,0,0,0.00000000,23986,1305,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.94061712,2.89000000,0.81210499,1.19000000,5.00000000,9593,12723,3130,0.75398884,1482,2334,warning_stem_collisions,23916,10.08230297,1305,447,18.32643678,19.56247674,0.04808496,0,0.00000000,4174,0.14859381,1494195,160572,0.10746389,success,92,450,-0.66051661,327,0.01460343,132,0.00589496,29,0.00129511,288,0.01286174,158,0.00705609,,,0.00410861,0.02009646,-0.01598785,0.02420507,1217,22392,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-248,0000091419,SJM,J.M. Smucker Company (The),0000091419-23-000072,2023,2023-06-20,1.0.3,0.3.0,0,0,0.00000000,44014,1973,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.92814762,2.80000000,0.87451456,1.19000000,5.00000000,17572,22984,5412,0.76453185,2068,4052,warning_stem_collisions,43868,10.68894040,1973,695,22.23416118,20.73908208,0.03519650,0,0.00000000,8888,0.16847373,3579169,291260,0.08137643,success,300,1034,-0.55022489,794,0.01899385,331,0.00791809,68,0.00162668,338,0.00808554,308,0.00736789,,,0.00717652,0.02473507,-0.01755855,0.03191159,2656,41803,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-249,0000019617,JPM,JPMorgan Chase,0000019617-24-000225,2023,2024-02-16,1.0.3,0.3.0,1,5,0.03457886,144597,7586,2,0.00026364,success,2,0.02898551,0,0.00000000,1,0.01449275,0,0.00000000,0,0.00000000,69,success,1,1,0.01449275,0.01449275,0.00000000,0.02898551,0.00000000,4,success,2.72838710,2.63000000,0.72141481,1.63000000,4.57000000,31,39,8,0.79487179,24,7,warning_stem_collisions,2.86430188,2.74000000,0.80185495,1.19000000,5.00000000,57189,78925,21736,0.72459930,2851,13820,warning_stem_collisions,144041,11.87785326,7586,4073,18.98774057,20.14402148,0.02979013,5,0.03471234,43243,0.23089532,13211658,977174,0.07396301,success,500,3010,-0.71509972,2892,0.02119287,775,0.00567928,182,0.00133371,1380,0.01011278,1166,0.00854457,,,0.00366405,0.02205758,-0.01839353,0.02572163,8751,136461,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-250,0000898293,JBL,Jabil,0001193125-23-259599,2023,2023-10-20,1.0.3,0.3.0,0,0,0.00000000,40475,2073,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.88788422,2.82000000,0.80534012,1.19000000,5.00000000,16117,21341,5224,0.75521297,2007,3978,warning_stem_collisions,40332,10.60490048,2073,911,19.45586107,20.03506163,0.03042249,0,0.00000000,8017,0.16581522,2688505,272562,0.10138051,success,247,740,-0.49949341,724,0.01875745,341,0.00883465,93,0.00240945,358,0.00927509,336,0.00870511,,,0.00639930,0.01917198,-0.01277268,0.02557127,2386,38598,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-251,0000779152,JKHY,Jack Henry & Associates,0000779152-23-000062,2023,2023-08-24,1.0.3,0.3.0,1,8,0.25519969,31348,1529,4,0.00261609,success,1,0.00833333,0,0.00000000,0,0.00000000,0,0.00000000,0,0.00000000,120,success,3,1,0.02500000,0.00833333,0.50000000,0.03333333,0.01666667,5,success,2.98859649,2.93000000,0.84946720,1.61000000,4.54000000,57,80,23,0.71250000,40,11,warning_stem_collisions,2.86991029,2.75000000,0.79755892,1.19000000,5.00000000,12708,16763,4055,0.75809819,1737,3100,warning_stem_collisions,31124,10.34573450,1529,659,20.35578810,20.06307680,0.04446729,8,0.25703637,3251,0.09457455,1412544,211051,0.14941198,success,189,484,-0.43833581,438,0.01494625,212,0.00723426,49,0.00167207,304,0.01037366,251,0.00856509,,,0.00644941,0.01651595,-0.01006654,0.02296536,1634,29305,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-252,0000052988,J,Jacobs Solutions,0000052988-23-000084,2023,2023-11-21,1.0.3,0.3.0,1,8,0.12447487,64270,3025,7,0.00231405,success,2,0.00735294,0,0.00000000,1,0.00367647,0,0.00000000,0,0.00000000,272,success,6,4,0.02205882,0.01470588,0.20000000,0.03676471,0.00735294,12,success,3.09798507,3.07000000,0.86836162,1.63000000,4.82000000,134,152,18,0.88157895,71,14,warning_stem_collisions,2.86317177,2.75000000,0.80596214,1.26000000,5.00000000,25068,33345,8277,0.75177688,2486,6113,warning_stem_collisions,64227,11.07017896,3025,1284,21.23206612,20.95527171,0.03708721,8,0.12455821,13299,0.17154245,3391843,428771,0.12641240,success,470,1334,-0.47893570,1225,0.02005796,603,0.00987343,126,0.00206310,836,0.01368854,534,0.00874363,,,0.00769571,0.02184271,-0.01414700,0.02953842,4250,61073,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-253,0000833444,JCI,Johnson Controls,0000833444-23-000048,2023,2023-12-14,1.0.3,0.3.0,1,7,0.12341979,56717,2453,4,0.00163066,success,19,0.03264605,13,0.02233677,3,0.00515464,0,0.00000000,3,0.00515464,582,success,8,35,0.01374570,0.06013746,-0.62790698,0.07388316,-0.04639175,73,success,2.67007220,2.52000000,0.73662563,1.47000000,4.89000000,277,366,89,0.75683060,184,68,warning_stem_collisions,2.89900843,2.79000000,0.82273425,1.26000000,5.00000000,22409,30821,8412,0.72706921,2274,6010,warning_stem_collisions,56837,10.94794280,2453,1045,23.17040359,22.14007251,0.02565230,7,0.12315921,10058,0.15035503,3218777,385078,0.11963488,success,325,1455,-0.63483146,1039,0.01906422,476,0.00873394,121,0.00222018,870,0.01596330,476,0.00873394,,,0.00596330,0.02669725,-0.02073394,0.03266055,3932,54500,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-254,0000319201,KLAC,KLA Corporation,0000319201-23-000031,2023,2023-08-04,1.0.3,0.3.0,1,18,0.29580451,60851,2595,12,0.00462428,success,11,0.02606635,6,0.01421801,9,0.02132701,1,0.00236967,4,0.00947867,422,success,7,11,0.01658768,0.02606635,-0.22222222,0.04265403,-0.00947867,40,success,2.79602339,2.62000000,0.77570302,1.40000000,4.93000000,171,244,73,0.70081967,132,47,warning_stem_collisions,2.85350912,2.75000000,0.79691320,1.04000000,5.00000000,23456,31150,7694,0.75300161,2289,5965,warning_stem_collisions,60770,11.01485153,2595,1034,23.41811175,21.06647532,0.02593385,18,0.29619878,9924,0.14037966,3206968,402816,0.12560649,success,374,1181,-0.51897106,1177,0.02008704,574,0.00979606,148,0.00252581,552,0.00942060,565,0.00964246,,,0.00638280,0.02015530,-0.01377251,0.02653810,3784,58595,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-255,0001944048,KVUE,Kenvue,0001944048-24-000057,2023,2024-03-01,1.0.3,0.3.0,1,3,0.03601786,83292,3224,1,0.00031017,success,0,0.00000000,0,0.00000000,0,0.00000000,1,0.02380952,2,0.04761905,42,success,1,0,0.02380952,0.00000000,1.00000000,0.02380952,0.02380952,4,success,2.82115385,2.61500000,0.81874823,1.67000000,4.48000000,26,30,4,0.86666667,22,4,warning_stem_collisions,2.83780787,2.74000000,0.80775183,1.19000000,5.00000000,32343,43246,10903,0.74788420,2587,8137,warning_stem_collisions,83441,11.33189507,3224,1424,25.88120347,21.97955258,0.02521542,3,0.03595355,8030,0.08778739,3327563,556425,0.16721697,success,503,2053,-0.60641628,1588,0.01979334,916,0.01141732,205,0.00255519,1242,0.01548069,639,0.00796470,,,0.00626955,0.02558925,-0.01931970,0.03185880,5849,80229,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-256,0001418135,KDP,Keurig Dr Pepper,0001418135-24-000007,2023,2024-02-22,1.0.3,0.3.0,1,1,0.02183740,45793,2409,1,0.00041511,success,0,0.00000000,0,0.00000000,0,0.00000000,0,0.00000000,0,0.00000000,32,success,0,0,0.00000000,0.00000000,,0.00000000,0.00000000,0,success,3.02333333,2.93000000,0.57147373,2.24000000,4.14000000,15,17,2,0.88235294,14,2,warning_stem_collisions,2.91437688,2.82000000,0.83341680,1.26000000,5.00000000,18239,24411,6172,0.74716316,2143,4430,warning_stem_collisions,45843,10.73297779,2409,1168,19.02988792,20.07164095,0.03402919,1,0.02181358,10873,0.19170957,2981961,306379,0.10274413,success,284,923,-0.52941176,779,0.01786615,339,0.00777487,67,0.00153663,400,0.00917389,331,0.00759139,,,0.00651346,0.02116875,-0.01465529,0.02768222,2590,43602,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
