company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,report_positive_count,report_negative_count,report_net_tone,report_uncertainty_count,report_uncertainty_ratio,report_weak_modal_count,report_weak_modal_ratio,report_strong_modal_count,report_strong_modal_ratio,report_litigious_count,report_litigious_ratio,report_constraining_count,report_constraining_ratio,report_positive_ratio,report_negative_ratio,report_net_tone_by_words,report_sentiment_word_coverage,report_total_lm_matched_word_count,report_total_eligible_word_count,lm_report_status
S2021-001,0000066740,MMM,3M,0000066740-22-000010,2021,2022-02-09,1.0.3,0.3.0,270,1595,-0.710455764075067,818,0.013965955848457428,251,0.0042853972102234895,90,0.0015365966092434824,1440,0.024585545747895718,339,0.0057878472281504495,0.004609789827730447,0.02723190657492616,-0.022622116747195713,0.031841696402656605,3979,58571,success
S2021-002,0000091142,AOS,A. O. Smith,0000091142-22-000028,2021,2022-02-11,1.0.3,0.3.0,106,384,-0.5673469387755102,463,0.018851023981108262,155,0.006310817963437971,62,0.002524327185375188,202,0.008224420829770774,150,0.0061072431904238425,0.004315785187899515,0.015634542567485036,-0.011318757379585521,0.019950327755384554,1293,24561,success
S2021-003,0000874761,AES,AES Corporation,0000874761-22-000022,2021,2022-02-28,1.0.3,0.3.0,551,1694,-0.5091314031180401,1546,0.01546541289451308,594,0.005942079727904766,281,0.002810983844345521,1401,0.014014905216825888,894,0.008943130095533436,0.005511929175211324,0.016945931075876556,-0.011434001900665233,0.02245786025108788,5952,99965,success
S2021-004,0001841666,APA,APA Corporation,0001784031-22-000009,2021,2022-02-22,1.0.3,0.3.0,252,1044,-0.6111111111111112,1000,0.01646253127880943,397,0.006535624917687344,144,0.002370604504148558,544,0.00895561701567233,589,0.009696430923218754,0.004148557882259977,0.017186882655077045,-0.013038324772817068,0.02133544053733702,3337,60744,success
S2021-005,0000732717,T,AT&T,0000732717-22-000015,2021,2022-02-16,1.0.3,0.3.0,281,725,-0.441351888667992,704,0.013178831501900074,314,0.005878058368745203,159,0.0029764690465939087,584,0.010932439768621651,428,0.008012130515359704,0.005260300642093637,0.013571950055223797,-0.00831164941313016,0.018832250697317435,2736,53419,success
S2021-006,0001551152,ABBV,AbbVie,0001551152-22-000007,2021,2022-02-18,1.0.3,0.3.0,377,878,-0.399203187250996,792,0.017516698367762196,353,0.007807316317954616,132,0.002919449727960366,657,0.014530897509620914,348,0.00769673110098642,0.008338125359401954,0.019418764099615165,-0.011080638740213209,0.02775688945901712,2968,45214,success
S2021-007,0000001800,ABT,Abbott Laboratories,0001104659-22-025141,2021,2022-02-18,1.0.3,0.3.0,192,613,-0.5229813664596273,632,0.01726775956284153,192,0.005245901639344262,85,0.0023224043715846993,424,0.011584699453551913,305,0.008333333333333333,0.005245901639344262,0.01674863387978142,-0.011502732240437158,0.021994535519125682,2085,36600,success
S2021-008,0001467373,ACN,Accenture,0001467373-21-000229,2021,2021-10-15,1.0.3,0.3.0,404,833,-0.3468067906224737,808,0.021760792868492633,447,0.012038458430960653,78,0.0021006705986911208,520,0.014004470657940804,282,0.007594732164498667,0.010880396434246317,0.02243408472704748,-0.011553688292801163,0.0333144811612938,2802,37131,success
S2021-009,0000796343,ADBE,Adobe Inc.,0000796343-22-000032,2021,2022-01-21,1.0.3,0.3.0,575,871,-0.20470262793914246,817,0.017377802356744798,414,0.00880588760794657,91,0.0019355936529544392,434,0.009231292806398094,317,0.0067426723954566725,0.012230399455481347,0.018526396392563916,-0.006295996937082571,0.030756795848045262,2959,47014,success
S2021-010,0001158449,AAP,Advance Auto Parts,0001158449-21-000036,2021,2021-02-22,1.0.3,0.3.0,168,514,-0.5073313782991202,478,0.01782916822081313,263,0.009809772472957851,51,0.0019022752704214846,241,0.008989183140619172,200,0.007459903021260724,0.006266318537859008,0.01917195076464006,-0.012905632226781052,0.025438269302499067,1531,26810,success
