company_id,cik,ticker,company_name,accession_number,report_year,filing_date,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,ai_sentence_count,ai_sentence_ratio,total_analysis_word_count,total_analysis_sentence_count,ai_detection_status
S2021-001,0000066740,MMM,3M,0000066740-22-000010,2021,2022-02-09,1,3,0.04833097048588736,3,0.000999333777481679,62072,3002,success
S2021-002,0000091142,AOS,A. O. Smith,0000091142-22-000028,2021,2022-02-11,0,0,0.0,0,0.0,26143,1522,success
S2021-003,0000874761,AES,AES Corporation,0000874761-22-000022,2021,2022-02-28,0,0,0.0,0,0.0,106434,5021,success
S2021-004,0001841666,APA,APA Corporation,0001784031-22-000009,2021,2022-02-22,0,0,0.0,0,0.0,64765,3052,success
S2021-005,0000732717,T,AT&T,0000732717-22-000015,2021,2022-02-16,0,0,0.0,0,0.0,56579,2938,success
S2021-006,0001551152,ABBV,AbbVie,0001551152-22-000007,2021,2022-02-18,0,0,0.0,0,0.0,47842,2509,success
S2021-007,0000001800,ABT,Abbott Laboratories,0001104659-22-025141,2021,2022-02-18,0,0,0.0,0,0.0,39587,2215,success
S2021-008,0001467373,ACN,Accenture,0001467373-21-000229,2021,2021-10-15,1,7,0.181295485742405,7,0.003519356460532931,38611,1989,success
S2021-009,0000796343,ADBE,Adobe Inc.,0000796343-22-000032,2021,2022-01-21,1,43,0.8778376612771517,30,0.012412081092263137,48984,2417,success
S2021-010,0001158449,AAP,Advance Auto Parts,0001158449-21-000036,2021,2021-02-22,1,2,0.0699741095794556,2,0.00138217000691085,28582,1447,success
S2021-011,0000002488,AMD,Advanced Micro Devices,0000002488-22-000016,2021,2022-02-03,1,17,0.3660716208359353,13,0.006240998559769563,46439,2083,success
S2021-012,0000004977,AFL,Aflac,0000004977-22-000058,2021,2022-02-23,0,0,0.0,0,0.0,79168,4044,success
S2021-013,0001090872,A,Agilent Technologies,0001090872-21-000027,2021,2021-12-17,1,3,0.048446482785349784,2,0.0006633499170812604,61924,3015,success
S2021-014,0000002969,APD,Air Products,0000002969-21-000055,2021,2021-11-18,0,0,0.0,0,0.0,48091,2534,success
S2021-015,0001086222,AKAM,Akamai Technologies,0001086222-22-000058,2021,2022-02-28,0,0,0.0,0,0.0,46281,2115,success
S2021-016,0000766421,ALK,Alaska Air Group,0000766421-22-000009,2021,2022-02-11,1,3,0.07920582954905481,1,0.0004985044865403788,37876,2006,success
S2021-017,0000915913,ALB,Albemarle Corporation,0000915913-22-000027,2021,2022-02-22,0,0,0.0,0,0.0,69236,3218,success
S2021-018,0001035443,ARE,Alexandria Real Estate Equities,0001035443-22-000040,2021,2022-01-31,0,0,0.0,0,0.0,97927,4202,success
S2021-019,0001097149,ALGN,Align Technology,0001097149-22-000011,2021,2022-02-25,1,1,0.018615734018392345,1,0.00043252595155709344,53718,2312,success
S2021-020,0001579241,ALLE,Allegion,0001579241-22-000019,2021,2022-02-15,1,2,0.04805612955932529,1,0.0004945598417408506,41618,2022,success
S2021-021,0000352541,LNT,Alliant Energy,0000352541-22-000020,2021,2022-02-18,0,0,0.0,0,0.0,51285,2477,success
S2021-022,0000899051,ALL,Allstate,0000899051-22-000015,2021,2022-02-18,0,0,0.0,0,0.0,107360,5321,success
S2021-023,0001652044,GOOGL|GOOG,Alphabet Inc. (Class A)|Alphabet Inc. (Class C),0001652044-22-000019,2021,2022-02-02,1,13,0.30442826030958015,10,0.004557885141294439,42703,2194,success
S2021-024,0000764180,MO,Altria,0000764180-22-000019,2021,2022-02-25,0,0,0.0,0,0.0,67952,3050,success
S2021-025,0001018724,AMZN,Amazon,0001018724-22-000005,2021,2022-02-04,1,7,0.2219967017632881,6,0.003757044458359424,31532,1597,success
