company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,lm_ai_status
S2021-095,0001306830,CE,Celanese,0001306830-22-000017,2021,2022-02-10,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-096,0001071739,CNC,Centene Corporation,0001071739-22-000071,2021,2022-02-22,1.0.3,0.3.0,3,0.02727272727272727,0,0.0,0,0.0,0,0.0,0,0.0,110,success,2,1,0.01818181818181818,0.00909090909090909,0.3333333333333333,0.02727272727272727,0.00909090909090909,6,success,success
S2021-097,0001130310,CNP,CenterPoint Energy,0001130310-22-000023,2021,2022-02-22,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-098,0001100682,CRL,Charles River Laboratories,0001100682-22-000007,2021,2022-02-16,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,117,success,1,1,0.008547008547008548,0.008547008547008548,0.0,0.017094017094017096,0.0,2,success,success
S2021-099,0000316709,SCHW,Charles Schwab Corporation,0000316709-22-000009,2021,2022-02-24,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-100,0001091667,CHTR,Charter Communications,0001091667-22-000024,2021,2022-01-28,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-101,0000093410,CVX,Chevron Corporation,0000093410-22-000019,2021,2022-02-24,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-102,0001058090,CMG,Chipotle Mexican Grill,0001058090-22-000011,2021,2022-02-11,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-103,0000896159,CB,Chubb Limited,0000896159-22-000005,2021,2022-02-24,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-104,0000313927,CHD,Church & Dwight,0001564590-22-005528,2021,2022-02-17,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
