sample_order,company_id,final_sample_id,ticker,symbol,company_name,security,_company_key,cik,gics_sector,gics_sub_industry,accession_number,primary_document,form,filing_date,report_date,report_year,filing_url,source_manifest,sample_group,batch_id,r2_object_key,universe_order
58,S2024-058,S2024-058,BK,BK,Bank of New York Mellon,Bank of New York Mellon,cik:0001390777,0001390777,,,0001390777-25-000046,bk-20241231.htm,10-K,2025-02-27,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1390777/000139077725000046/bk-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001390777/0001390777-25-000046.html,59
59,S2024-059,S2024-059,BAX,BAX,Baxter International,Baxter International,cik:0000010456,0000010456,Health Care,Health Care Equipment,0001628280-25-007201,bax-20241231.htm,10-K,2025-02-21,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/10456/000162828025007201/bax-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000010456/0001628280-25-007201.html,60
60,S2024-060,S2024-060,BDX,BDX,Becton Dickinson,Becton Dickinson,cik:0000010795,0000010795,Health Care,Health Care Equipment,0000010795-24-000084,bdx-20240930.htm,10-K,2024-11-27,2024-09-30,2024,https://www.sec.gov/Archives/edgar/data/10795/000001079524000084/bdx-20240930.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000010795/0000010795-24-000084.html,61
61,S2024-061,S2024-061,BRK-B,BRK-B,Berkshire Hathaway,Berkshire Hathaway,cik:0001067983,0001067983,Financials,Multi-Sector Holdings,0000950170-25-025210,brka-20241231.htm,10-K,2025-02-24,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1067983/000095017025025210/brka-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001067983/0000950170-25-025210.html,62
62,S2024-062,S2024-062,BBY,BBY,Best Buy,Best Buy,cik:0000764478,0000764478,Consumer Discretionary,Computer & Electronics Retail,0000764478-24-000010,bby-20240203x10k.htm,10-K,2024-03-15,2024-02-03,2024,https://www.sec.gov/Archives/edgar/data/764478/000076447824000010/bby-20240203x10k.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000764478/0000764478-24-000010.html,63
63,S2024-063,S2024-063,TECH,TECH,Bio-Techne,Bio-Techne,cik:0000842023,0000842023,Health Care,Life Sciences Tools & Services,0001558370-24-012430,tech-20240630x10k.htm,10-K,2024-08-22,2024-06-30,2024,https://www.sec.gov/Archives/edgar/data/842023/000155837024012430/tech-20240630x10k.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000842023/0001558370-24-012430.html,64
64,S2024-064,S2024-064,BIIB,BIIB,Biogen,Biogen,cik:0000875045,0000875045,Health Care,Biotechnology,0000875045-25-000009,biib-20241231.htm,10-K,2025-02-12,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/875045/000087504525000009/biib-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000875045/0000875045-25-000009.html,65
65,S2024-065,S2024-065,BLK,BLK,BlackRock,BlackRock,cik:0002012383,0002012383,Financials,Asset Management & Custody Banks,0000950170-25-026584,blk-20241231.htm,10-K,2025-02-25,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/2012383/000095017025026584/blk-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0002012383/0000950170-25-026584.html,66
66,S2024-066,S2024-066,BX,BX,Blackstone Inc.,Blackstone Inc.,cik:0001393818,0001393818,Financials,Asset Management & Custody Banks,0001193125-25-042469,d912273d10k.htm,10-K,2025-02-28,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1393818/000119312525042469/d912273d10k.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001393818/0001193125-25-042469.html,67
67,S2024-067,S2024-067,BA,BA,Boeing,Boeing,cik:0000012927,0000012927,Industrials,Aerospace & Defense,0000012927-25-000015,ba-20241231.htm,10-K,2025-02-03,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/12927/000001292725000015/ba-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000012927/0000012927-25-000015.html,68
68,S2024-068,S2024-068,BKNG,BKNG,Booking Holdings,Booking Holdings,cik:0001075531,0001075531,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001075531-25-000010,bkng-20241231.htm,10-K,2025-02-20,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000010/bkng-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001075531/0001075531-25-000010.html,69
69,S2024-069,S2024-069,BWA,BWA,BorgWarner,BorgWarner,cik:0000908255,0000908255,,,0000908255-25-000007,bwa-20241231.htm,10-K,2025-02-06,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/908255/000090825525000007/bwa-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000908255/0000908255-25-000007.html,70
70,S2024-070,S2024-070,BSX,BSX,Boston Scientific,Boston Scientific,cik:0000885725,0000885725,Health Care,Health Care Equipment,0000885725-25-000011,bsx-20241231.htm,10-K,2025-02-18,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/885725/000088572525000011/bsx-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000885725/0000885725-25-000011.html,71
71,S2024-071,S2024-071,BMY,BMY,Bristol Myers Squibb,Bristol Myers Squibb,cik:0000014272,0000014272,Health Care,Pharmaceuticals,0000014272-25-000039,bmy-20241231.htm,10-K,2025-02-12,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/14272/000001427225000039/bmy-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000014272/0000014272-25-000039.html,72
72,S2024-072,S2024-072,AVGO,AVGO,Broadcom,Broadcom,cik:0001730168,0001730168,Information Technology,Semiconductors,0001730168-24-000139,avgo-20241103.htm,10-K,2024-12-20,2024-11-03,2024,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/avgo-20241103.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001730168/0001730168-24-000139.html,73
73,S2024-073,S2024-073,BR,BR,Broadridge Financial Solutions,Broadridge Financial Solutions,cik:0001383312,0001383312,Industrials,Data Processing & Outsourced Services,0001383312-24-000039,br-20240630.htm,10-K,2024-08-06,2024-06-30,2024,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000039/br-20240630.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001383312/0001383312-24-000039.html,74
