company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,total_analysis_word_count,total_analysis_sentence_count,ai_sentence_count,ai_sentence_ratio,ai_detection_status,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status,report_concreteness_mean,report_concreteness_median,report_concreteness_standard_deviation,report_concreteness_min,report_concreteness_max,report_concreteness_matched_token_count,report_concreteness_eligible_token_count,report_concreteness_unmatched_token_count,report_concreteness_coverage,report_concreteness_unique_dictionary_entries,report_concreteness_stem_collision_count,report_concreteness_status,report_word_count,log_report_word_count,report_sentence_count,report_paragraph_count,report_mean_sentence_length,report_fog_index,report_numeric_token_ratio,report_ai_term_count,report_ai_terms_per_1000_words,report_table_text_word_count,report_table_text_ratio,source_html_bytes,analysis_text_bytes,analysis_text_to_html_ratio,report_control_status,report_positive_count,report_negative_count,report_net_tone,report_uncertainty_count,report_uncertainty_ratio,report_weak_modal_count,report_weak_modal_ratio,report_strong_modal_count,report_strong_modal_ratio,report_litigious_count,report_litigious_ratio,report_constraining_count,report_constraining_ratio,report_forward_looking_count,report_forward_looking_ratio,report_positive_ratio,report_negative_ratio,report_net_tone_by_words,report_sentiment_word_coverage,report_total_lm_matched_word_count,report_total_eligible_word_count,concreteness_status,lm_ai_status,lm_report_status,matching_strategy_version,concreteness_preprocessing_version
P2025-011,0000906163,NVR,"NVR, Inc.",0000906163-26-000018,2025,2026-02-11,1.0.3,0.3.0,1,1,0.03602176,27761,1553,1,0.00064392,success,2,0.08000000,0,0.00000000,1,0.04000000,0,0.00000000,0,0.00000000,25,success,0,1,0.00000000,0.04000000,-1.00000000,0.04000000,-0.04000000,3,success,2.51416667,2.43000000,0.45591407,1.63000000,3.24000000,12,15,3,0.80000000,12,1,warning_stem_collisions,2.89943115,2.85000000,0.80095127,1.19000000,4.96000000,10952,14421,3469,0.75944803,1381,2644,warning_stem_collisions,27699,10.22915159,1553,652,17.83580167,19.07642064,0.04083180,1,0.03610239,5780,0.17264554,1779174,183476,0.10312426,success,105,497,-0.65116279,485,0.01843476,180,0.00684177,56,0.00212855,288,0.01094682,289,0.01098483,,,0.00399103,0.01889087,-0.01489984,0.02288190,1609,26309,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-012,0001792789,DASH,DoorDash,0001792789-26-000013,2025,2026-02-18,1.0.3,0.3.0,1,20,0.28646729,69816,2725,14,0.00513761,success,14,0.02306425,19,0.03130148,12,0.01976936,2,0.00329489,10,0.01647446,607,success,6,29,0.00988468,0.04777595,-0.65714286,0.05766063,-0.03789127,73,success,2.63202479,2.46500000,0.78078978,1.30000000,4.93000000,242,339,97,0.71386431,151,70,warning_stem_collisions,2.84122927,2.74000000,0.81643274,1.19000000,5.00000000,26715,35596,8881,0.75050567,2384,6682,warning_stem_collisions,69652,11.15126669,2725,1174,25.56036697,21.93203412,0.01892264,20,0.28714179,7323,0.09513478,2626599,462903,0.17623665,success,466,1863,-0.59982825,1564,0.02317209,944,0.01398622,182,0.00269650,1019,0.01509741,581,0.00860805,,,0.00690422,0.02760204,-0.02069783,0.03450626,5345,67495,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-013,0001513761,NCLH,Norwegian Cruise Line Holdings,0001104659-26-022067,2025,2026-03-02,1.0.3,0.3.0,1,11,0.17513971,62807,2779,9,0.00323858,success,12,0.05633803,2,0.00938967,10,0.04694836,0,0.00000000,1,0.00469484,213,success,1,14,0.00469484,0.06572770,-0.86666667,0.07042254,-0.06103286,29,success,2.65697674,2.52000000,0.78849292,1.30000000,4.87000000,86,123,37,0.69918699,62,25,warning_stem_collisions,2.90878105,2.81000000,0.82689679,1.19000000,5.00000000,23791,31747,7956,0.74939364,2349,5650,warning_stem_collisions,62852,11.04853804,2779,890,22.61676862,21.59200075,0.04256030,11,0.17501432,18345,0.22593199,3670846,410170,0.11173719,success,343,1074,-0.51587862,1014,0.01705807,530,0.00891595,161,0.00270843,687,0.01155710,570,0.00958886,,,0.00577014,0.01806742,-0.01229729,0.02383756,3658,59444,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-014,0000037996,F,Ford Motor Company,0000037996-26-000015,2025,2026-02-11,1.0.3,0.3.0,1,6,0.07564201,79321,3931,6,0.00152633,success,6,0.02500000,10,0.04166667,5,0.02083333,0,0.00000000,3,0.01250000,240,success,0,9,0.00000000,0.03750000,-1.00000000,0.03750000,-0.03750000,28,success,2.65594340,2.50000000,0.76802832,1.50000000,4.64000000,106,139,33,0.76258993,61,30,warning_stem_collisions,2.94759628,2.82000000,0.84350466,1.26000000,5.00000000,32691,43339,10648,0.75430905,2548,7806,warning_stem_collisions,79148,11.27907480,3931,1611,20.13431697,20.19063754,0.02521858,6,0.07580735,16341,0.17112966,5281502,531086,0.10055586,success,387,1638,-0.61777778,1354,0.01782306,607,0.00799010,148,0.00194816,795,0.01046479,727,0.00956969,,,0.00509418,0.02156143,-0.01646724,0.02665561,4771,75969,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-015,0000313927,CHD,Church & Dwight,0001193125-26-048139,2025,2026-02-12,1.0.3,0.3.0,1,13,0.19320800,67285,2941,8,0.00272016,success,9,0.02564103,5,0.01424501,5,0.01424501,0,0.00000000,0,0.00000000,351,success,3,18,0.00854701,0.05128205,-0.71428571,0.05982906,-0.04273504,32,success,2.76710692,2.63000000,0.80026202,1.30000000,4.93000000,159,199,40,0.79899497,109,25,warning_stem_collisions,2.96698023,2.86000000,0.85172348,1.19000000,5.00000000,26257,35423,9166,0.74124157,2336,6590,warning_stem_collisions,66824,11.10981758,2941,1075,22.72152329,20.76302107,0.03744164,13,0.19454088,6586,0.08971530,4736851,448095,0.09459766,success,336,1270,-0.58156912,1097,0.01727886,500,0.00787550,115,0.00181137,587,0.00924584,551,0.00867881,,,0.00529234,0.02000378,-0.01471144,0.02529612,3718,63488,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-016,0000040704,GIS,General Mills,0001193125-25-147079,2025,2025-06-26,1.0.3,0.3.0,0,0,0.00000000,37381,7010,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.95418580,2.83000000,0.85372017,1.26000000,5.00000000,13197,17408,4211,0.75809972,1252,2856,warning_stem_collisions,33561,10.42111996,7010,6311,4.78758916,12.18653107,0.16227168,0,0.00000000,0,0.00000000,5311598,234141,0.04408108,success,157,496,-0.51914242,573,0.02068966,312,0.01126557,21,0.00075826,184,0.00664380,231,0.00834086,,,0.00566889,0.01790937,-0.01224048,0.02357826,1552,27695,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-017,0000021665,CL,Colgate-Palmolive,0000021665-26-000006,2025,2026-02-23,1.0.3,0.3.0,1,27,0.63686756,42395,2008,22,0.01095618,success,17,0.01546861,8,0.00727934,9,0.00818926,2,0.00181984,3,0.00272975,1099,success,27,18,0.02456779,0.01637853,0.20000000,0.04094631,0.00818926,73,success,2.69546039,2.50000000,0.78570850,1.30000000,4.96000000,467,644,177,0.72515528,227,121,warning_stem_collisions,2.92339955,2.82000000,0.83410624,1.26000000,5.00000000,17064,22784,5720,0.74894663,1845,4100,warning_stem_collisions,42274,10.65192752,2008,937,21.05278884,21.03762730,0.03806122,27,0.63869045,7901,0.15746886,2832052,286184,0.10105182,success,233,753,-0.52738337,714,0.01789294,275,0.00689154,78,0.00195469,431,0.01080092,302,0.00756816,,,0.00583901,0.01887029,-0.01303128,0.02470930,2362,39904,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-018,0000016918,STZ,Constellation Brands,0000016918-25-000022,2025,2025-04-23,1.0.3,0.3.0,1,14,0.29836750,46922,2783,12,0.00431189,success,11,0.03038674,6,0.01657459,7,0.01933702,1,0.00276243,1,0.00276243,362,success,6,13,0.01657459,0.03591160,-0.36842105,0.05248619,-0.01933702,37,success,2.61839161,2.43000000,0.75209791,1.30000000,4.57000000,143,204,61,0.70098039,96,41,warning_stem_collisions,2.91636253,2.76000000,0.85936062,1.04000000,5.00000000,18928,24873,5945,0.76098581,2027,4490,warning_stem_collisions,46976,10.75739211,2783,1036,16.87962630,19.89014237,0.03122871,14,0.29802452,19013,0.28812378,3464720,314620,0.09080676,success,285,1085,-0.58394161,791,0.01757543,345,0.00766564,85,0.00188864,387,0.00859885,412,0.00915433,,,0.00633249,0.02410790,-0.01777541,0.03044039,2818,45006,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-019,0000091419,SJM,J.M. Smucker Company (The),0000091419-25-000056,2025,2025-06-18,1.0.3,0.3.0,1,3,0.06040471,49665,2225,2,0.00089888,success,4,0.05555556,0,0.00000000,3,0.04166667,0,0.00000000,0,0.00000000,72,success,3,2,0.04166667,0.02777778,0.20000000,0.06944444,0.01388889,9,success,2.65594595,2.57000000,0.70444711,1.63000000,4.70000000,37,46,9,0.80434783,34,7,warning_stem_collisions,2.93161339,2.82000000,0.85569401,1.19000000,5.00000000,19927,26110,6183,0.76319418,2098,4681,warning_stem_collisions,49318,10.80604440,2225,755,22.16539326,20.61839881,0.03645728,3,0.06082972,9642,0.16353460,2998212,329255,0.10981712,success,328,1267,-0.58871473,886,0.01886913,347,0.00739005,82,0.00174635,400,0.00851879,374,0.00796507,,,0.00698541,0.02698328,-0.01999787,0.03396869,3085,46955,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-020,0000100493,TSN,Tyson Foods,0000100493-25-000095,2025,2025-11-10,1.0.3,0.3.0,1,2,0.03798238,52656,2598,2,0.00076982,success,15,0.02851711,17,0.03231939,4,0.00760456,0,0.00000000,2,0.00380228,526,success,3,18,0.00570342,0.03422053,-0.71428571,0.03992395,-0.02851711,49,success,2.83296804,2.59000000,0.87132600,1.30000000,4.96000000,219,325,106,0.67384615,157,65,warning_stem_collisions,2.92352911,2.81000000,0.86882565,1.26000000,5.00000000,21674,28194,6520,0.76874512,2140,5045,warning_stem_collisions,52280,10.86436917,2598,982,20.12317167,20.04095873,0.03951798,2,0.03825555,11933,0.18583464,3290079,349594,0.10625702,success,280,1193,-0.61982349,1113,0.02239482,356,0.00716312,90,0.00181090,750,0.01509085,437,0.00879293,,,0.00563392,0.02400451,-0.01837059,0.02963842,3438,49699,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
