universe_order,_company_key,ticker,company_name,cik,reason,candidate_accessions,candidate_filing_dates,candidate_primary_documents
4,cik:0001841666,APA,APA Corporation,0001841666,no_unique_eligible_2020_report_date_10k,,,
8,name:abiomed,ABMD,Abiomed,,cik_missing_in_2020_universe,,,
10,name:activision blizzard,ATVI,Activision Blizzard,,cik_missing_in_2020_universe,,,
12,cik:0001158449,AAP,Advance Auto Parts,0001158449,no_unique_eligible_2020_report_date_10k,,,
21,name:alexion pharmaceuticals,ALXN,Alexion Pharmaceuticals,,cik_missing_in_2020_universe,,,
43,name:ansys,ANSS,Ansys,,cik_missing_in_2020_universe,,,
58,cik:0000008818,AVY,Avery Dennison,0000008818,no_unique_eligible_2020_report_date_10k,,,
70,cik:0002012383,BLK,BlackRock,0002012383,no_unique_eligible_2020_report_date_10k,,,
88,cik:0000813672,CDNS,Cadence Design Systems,0000813672,no_unique_eligible_2020_report_date_10k,,,
95,name:catalent,CTLT,Catalent,,cik_missing_in_2020_universe,,,
101,name:cerner,CERN,Cerner,,cik_missing_in_2020_universe,,,
114,name:citrix systems,CTXS,Citrix Systems,,cik_missing_in_2020_universe,,,
120,name:comerica,CMA,Comerica,,cik_missing_in_2020_universe,,,
122,name:concho resources,CXO,Concho Resources,,cik_missing_in_2020_universe,,,
146,name:discover financial,DFS,Discover Financial,,cik_missing_in_2020_universe,,,
147,"name:discovery, inc.",DISCA|DISCK,"Discovery, Inc.",,cik_missing_in_2020_universe,,,
148,name:dish network,DISH,Dish Network,,cik_missing_in_2020_universe,,,
152,cik:0001286681,DPZ,Domino's,0001286681,no_unique_eligible_2020_report_date_10k,,,
157,name:duke realty,DRE,Duke Realty,,cik_missing_in_2020_universe,,,
173,name:everest re group,RE,Everest Re Group,,cik_missing_in_2020_universe,,,
182,name:fleetcor technologies,FLT,FLEETCOR Technologies,,cik_missing_in_2020_universe,,,
183,name:flir systems,FLIR,FLIR Systems,,cik_missing_in_2020_universe,,,
191,name:first republic bank,FRC,First Republic Bank,,cik_missing_in_2020_universe,,,
198,name:fortune brands home & security,FBHS,Fortune Brands Home & Security,,cik_missing_in_2020_universe,,,
203,name:gap,GPS,Gap,,cik_missing_in_2020_universe,,,
217,name:hanesbrands,HBI,Hanesbrands,,cik_missing_in_2020_universe,,,
223,name:hess corporation,HES,Hess Corporation,,cik_missing_in_2020_universe,,,
226,name:hollyfrontier,HFC,HollyFrontier,,cik_missing_in_2020_universe,,,
227,name:hologic,HOLX,Hologic,,cik_missing_in_2020_universe,,,
238,name:ihs markit,INFO,IHS Markit,,cik_missing_in_2020_universe,,,
243,cik:0001110803,ILMN,"Illumina, Inc.",0001110803,no_unique_eligible_2020_report_date_10k,,,
250,name:interpublic group,IPG,Interpublic Group,,cik_missing_in_2020_universe,,,
260,cik:0000200406,JNJ,Johnson & Johnson,0000200406,no_unique_eligible_2020_report_date_10k,,,
262,name:juniper networks,JNPR,Juniper Networks,,cik_missing_in_2020_universe,,,
264,name:kansas city southern,KSU,Kansas City Southern,,cik_missing_in_2020_universe,,,
265,name:kellanova,K,Kellanova,,cik_missing_in_2020_universe,,,
273,cik:0000202058,LHX,L3Harris,0000202058,no_unique_eligible_2020_report_date_10k,,,
278,cik:0001995807,LB,LandBridge Co LLC,0001995807,no_unique_eligible_2020_report_date_10k,,,
295,name:marathon oil,MRO,Marathon Oil,,cik_missing_in_2020_universe,,,
303,name:maxim integrated,MXIM,Maxim Integrated,,cik_missing_in_2020_universe,,,
333,name:nielsen holdings,NLSN,Nielsen Holdings,,cik_missing_in_2020_universe,,,
361,name:people's united financial,PBCT,People's United Financial,,cik_missing_in_2020_universe,,,
363,cik:0000031791,PKI,PerkinElmer,0000031791,no_unique_eligible_2020_report_date_10k,,,
369,name:pioneer natural resources,PXD,Pioneer Natural Resources,,cik_missing_in_2020_universe,,,
401,name:svb financial group,SIVB,SVB Financial Group,,cik_missing_in_2020_universe,,,
405,name:sealed air,SEE,Sealed Air,,cik_missing_in_2020_universe,,,
411,cik:0000091440,SNA,Snap-on,0000091440,no_unique_eligible_2020_report_date_10k,,,
414,cik:0000093556,SWK,Stanley Black & Decker,0000093556,no_unique_eligible_2020_report_date_10k,,,
430,cik:0001094285,TDY,Teledyne Technologies,0001094285,no_unique_eligible_2020_report_date_10k,,,
437,name:tiffany & co,TIF,Tiffany & Co,,cik_missing_in_2020_universe,,,
443,name:twitter,TWTR,Twitter,,cik_missing_in_2020_universe,,,
459,name:varian medical systems,VAR,Varian Medical Systems,,cik_missing_in_2020_universe,,,
475,name:walgreens boots alliance,WBA,Walgreens Boots Alliance,,cik_missing_in_2020_universe,,,
489,name:willis towers watson,WLTW,Willis Towers Watson,,cik_missing_in_2020_universe,,,
493,name:xilinx,XLNX,Xilinx,,cik_missing_in_2020_universe,,,
