report_year,ai_disclosure,N,whole_report_concreteness,lm_uncertainty_share,passive_voice_sentence_share,fog_index,report_word_count,lm_positive_share,lm_negative_share
2020,0,323,2.907746989102167,0.016705986656346747,0.30124032663410116,20.569879500464396,56841.55108359133,0.005294712136222911,0.018121533808049536
2020,1,123,2.8942850545528453,0.01801580910569106,0.28803853944764524,20.812737107967475,61048.06504065041,0.005981300406504066,0.020214087723577235
2021,0,318,2.9094212226100624,0.016876040503144653,0.2990927757725113,20.63565193716981,56259.556603773584,0.005665285157232705,0.01813075132075472
2021,1,144,2.8889741995833327,0.018433548611111114,0.28947079575510803,20.811982228402776,58521.229166666664,0.006488380347222222,0.02024774472222222
2022,0,304,2.9089021783552633,0.017068579934210525,0.29838478500972687,20.71090775309211,57645.82236842105,0.005693462467105264,0.018214254210526314
2022,1,167,2.890030279041916,0.0181508148502994,0.2921180493475895,20.83575971173653,58671.51497005988,0.006461207365269461,0.02035035898203593
2023,0,152,2.912316567631579,0.016820990789473682,0.3011096184177466,20.607973677434213,52853.03947368421,0.005672909210526315,0.017906591315789474
2023,1,327,2.8924620705810398,0.01820875079510703,0.2923144745654565,20.935492165871562,60611.02140672783,0.0061887800000000005,0.020137302660550457
2024,0,56,2.92159456,0.016473715714285714,0.3056262310803866,20.597310248214285,49388.30357142857,0.0054948675,0.017410783214285713
2024,1,431,2.89300384549884,0.018187802505800463,0.2942525778133915,20.914686558770306,60045.359628770304,0.006094728422273782,0.020168294060324825
2025,0,16,2.931695268125,0.017079612499999997,0.302841938508278,20.427880955,54129.1875,0.00538196,0.018265779375
2025,1,468,2.8906643155128204,0.018343497841880343,0.2946525471648576,20.898059469401712,59198.14102564102,0.006058015705128206,0.02026366641025641
