sample_year,snapshot_date,historical_source_date,symbol,security,gics_sector,gics_sub_industry,headquarters,date_added,cik,founded,metadata_status,membership_source,metadata_source
2019,2020-01-01,2019-12-23,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,0001090872,1999,current_table,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes
2019,2020-01-01,2019-12-23,AAL,American Airlines Group Inc.,,,,,0000006201,,sec_current_ticker_snapshot,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes
2019,2020-01-01,2019-12-23,AAP,ADVANCE AUTO PARTS INC,,,,,0001158449,,sec_current_ticker_snapshot,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes
2019,2020-01-01,2019-12-23,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,0000320193,1977,current_table,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes
2019,2020-01-01,2019-12-23,ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,0001551152,2013 (1888),current_table,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes
2019,2020-01-01,2019-12-23,ABC,AmerisourceBergen,,,,,0001140859,,curated_legacy_ticker_map,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes
2019,2020-01-01,2019-12-23,ABMD,,,,,,,,historical_membership_only,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,
2019,2020-01-01,2019-12-23,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,0000001800,1888,current_table,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes
2019,2020-01-01,2019-12-23,ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,1989,current_table,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes
2019,2020-01-01,2019-12-23,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,0000796343,1982,current_table,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes
2019,2020-01-01,2019-12-23,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,0000006281,1965,current_table,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes
2019,2020-01-01,2019-12-23,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,0000007084,1902,current_table,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes
2019,2020-01-01,2019-12-23,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",1981-03-31,0000008670,1949,current_table,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes
2019,2020-01-01,2019-12-23,ADS,,,,,,,,historical_membership_only,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,
2019,2020-01-01,2019-12-23,ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",1989-12-01,0000769397,1982,current_table,https://raw.githubusercontent.com/fja05680/sp500/master/S%26P%20500%20Historical%20Components%20%26%20Changes%20(Updated).csv,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes
