universe_order,_company_key,ticker,company_name,cik,reason,candidate_accessions,candidate_filing_dates,candidate_primary_documents
8,name:abiomed,ABMD,Abiomed,,cik_missing_in_2021_universe,,,
10,name:activision blizzard,ATVI,Activision Blizzard,,cik_missing_in_2021_universe,,,
42,name:ansys,ANSS,Ansys,,cik_missing_in_2021_universe,,,
71,cik:0002012383,BLK,BlackRock,0002012383,no_unique_eligible_2021_report_date_10k,,,
97,name:catalent,CTLT,Catalent,,cik_missing_in_2021_universe,,,
103,name:ceridian,CDAY,Ceridian,,cik_missing_in_2021_universe,,,
104,name:cerner,CERN,Cerner,,cik_missing_in_2021_universe,,,
118,name:citrix systems,CTXS,Citrix Systems,,cik_missing_in_2021_universe,,,
124,name:comerica,CMA,Comerica,,cik_missing_in_2021_universe,,,
134,name:coterra energy,CTRA,Coterra Energy,,cik_missing_in_2021_universe,,,
150,name:discover financial,DFS,Discover Financial,,cik_missing_in_2021_universe,,,
151,"name:discovery, inc.",DISCA|DISCK,"Discovery, Inc.",,cik_missing_in_2021_universe,,,
152,name:dish network,DISH,Dish Network,,cik_missing_in_2021_universe,,,
161,name:duke realty,DRE,Duke Realty,,cik_missing_in_2021_universe,,,
179,name:everest re group,RE,Everest Re Group,,cik_missing_in_2021_universe,,,
188,name:fleetcor technologies,FLT,FLEETCOR Technologies,,cik_missing_in_2021_universe,,,
197,name:first republic bank,FRC,First Republic Bank,,cik_missing_in_2021_universe,,,
203,name:fortune brands home & security,FBHS,Fortune Brands Home & Security,,cik_missing_in_2021_universe,,,
208,name:gap,GPS,Gap,,cik_missing_in_2021_universe,,,
228,name:hess corporation,HES,Hess Corporation,,cik_missing_in_2021_universe,,,
231,name:hologic,HOLX,Hologic,,cik_missing_in_2021_universe,,,
242,name:ihs markit,INFO,IHS Markit,,cik_missing_in_2021_universe,,,
254,name:interpublic group,IPG,Interpublic Group,,cik_missing_in_2021_universe,,,
266,name:juniper networks,JNPR,Juniper Networks,,cik_missing_in_2021_universe,,,
268,name:kellanova,K,Kellanova,,cik_missing_in_2021_universe,,,
276,cik:0000202058,LHX,L3Harris,0000202058,ambiguous_multiple_eligible_2021_report_date_10k,0000202058-22-000015|0000202058-21-000008,2022-02-25|2021-03-01,hrs-20211231.htm|hrs-20210101.htm
282,cik:0001336920,LDOS,Leidos,0001336920,ambiguous_multiple_eligible_2021_report_date_10k,0001336920-22-000007|0001336920-21-000010,2022-02-15|2021-02-23,ldos-20211231.htm|ldos-20210101.htm
296,name:marathon oil,MRO,Marathon Oil,,cik_missing_in_2021_universe,,,
337,name:nielsen holdings,NLSN,Nielsen Holdings,,cik_missing_in_2021_universe,,,
367,name:people's united financial,PBCT,People's United Financial,,cik_missing_in_2021_universe,,,
374,name:pioneer natural resources,PXD,Pioneer Natural Resources,,cik_missing_in_2021_universe,,,
405,name:svb financial group,SIVB,SVB Financial Group,,cik_missing_in_2021_universe,,,
409,name:sealed air,SEE,Sealed Air,,cik_missing_in_2021_universe,,,
413,name:signature bank,SBNY,Signature Bank,,cik_missing_in_2021_universe,,,
446,cik:0000864749,TRMB,Trimble Inc.,0000864749,ambiguous_multiple_eligible_2021_report_date_10k,0000864749-22-000044|0000864749-21-000029,2022-02-23|2021-02-26,trmb-20211231.htm|trmb-20210101.htm
448,name:twitter,TWTR,Twitter,,cik_missing_in_2021_universe,,,
477,name:walgreens boots alliance,WBA,Walgreens Boots Alliance,,cik_missing_in_2021_universe,,,
490,name:willis towers watson,WLTW,Willis Towers Watson,,cik_missing_in_2021_universe,,,
493,name:xilinx,XLNX,Xilinx,,cik_missing_in_2021_universe,,,
