company_id,cik,ticker,company_name,accession_number,report_year,filing_date,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,ai_sentence_count,ai_sentence_ratio,total_analysis_word_count,total_analysis_sentence_count,ai_detection_status
P2025-036,0000036270,MTB,M&T Bank,0000036270-26-000010,2025,2026-02-18,1,21,0.3190858948839895,17,0.005581089954038083,65813,3046,success
P2025-037,0001512673,XYZ,"Block, Inc.",0001628280-26-012254,2025,2026-02-26,1,62,0.8186980060742111,45,0.014634146341463415,75730,3075,success
P2025-038,0002012383,BLK,BlackRock,0001193125-26-071966,2025,2026-02-25,1,40,0.35541339019947576,26,0.00549566687803847,112545,4731,success
P2025-039,0000072971,WFC,Wells Fargo,0000072971-26-000133,2025,2026-02-24,1,1,0.1076773985140519,1,0.0013812154696132596,9287,724,success
P2025-040,0000315293,AON,Aon plc,0001628280-26-008116,2025,2026-02-13,1,16,0.2953173738902527,14,0.005403319181783096,54179,2591,success
P2025-041,0001035267,ISRG,Intuitive Surgical,0001035267-26-000010,2025,2026-02-03,1,67,0.8149265349810256,40,0.011614401858304297,82216,3444,success
P2025-042,0000313616,DHR,Danaher Corporation,0000313616-26-000062,2025,2026-02-24,1,26,0.41280980582061827,18,0.007159904534606206,62983,2514,success
P2025-043,0000860730,HCA,HCA Healthcare,0001193125-26-044769,2025,2026-02-10,1,60,0.793860809738026,44,0.013181545835829839,75580,3338,success
P2025-044,0000872589,REGN,Regeneron Pharmaceuticals,0000872589-26-000008,2025,2026-02-04,1,9,0.12466237274049449,7,0.002398903358464702,72195,2918,success
P2025-045,0001071739,CNC,Centene Corporation,0001071739-26-000049,2025,2026-02-17,1,30,0.4890453834115806,20,0.007388252678241596,61344,2707,success
P2025-046,0001000228,HSIC,Henry Schein,0001000228-26-000013,2025,2026-02-24,1,1,0.021196320318792657,1,0.0001721763085399449,47178,5808,success
P2025-047,0001000697,WAT,Waters Corporation,0001193125-26-062604,2025,2026-02-23,1,23,0.41145637667936813,16,0.005979073243647235,55899,2676,success
P2025-048,0000731766,UNH,UnitedHealth Group,0000731766-26-000062,2025,2026-03-02,1,18,0.4611955212790489,15,0.008365867261572783,39029,1793,success
P2025-049,0001555280,ZTS,Zoetis,0001555280-26-000011,2025,2026-02-12,1,44,0.6780601316053073,31,0.009964641594342655,64891,3111,success
P2025-050,0000010456,BAX,Baxter International,0001628280-26-007733,2025,2026-02-12,1,34,0.5714477797573028,23,0.008735282947208508,59498,2633,success
P2025-051,0000842023,TECH,Bio-Techne,0001558370-25-011716,2025,2025-08-22,0,0,0.0,0,0.0,48962,2267,success
P2025-052,0001093557,DXCM,Dexcom,0001093557-26-000027,2025,2026-02-12,1,33,0.4478645006310818,20,0.006287331027978623,73683,3181,success
P2025-053,0000936468,LMT,Lockheed Martin,0001628280-26-004195,2025,2026-01-29,1,6,0.10589107338251386,6,0.0024630541871921183,56662,2436,success
P2025-054,0000702165,NSC,Norfolk Southern,0001628280-26-006268,2025,2026-02-09,1,2,0.05644615037254459,1,0.0005128205128205128,35432,1950,success
P2025-055,0000052988,J,Jacobs Solutions,0001628280-25-053316,2025,2025-11-20,1,34,0.5487057000839197,25,0.008722958827634334,61964,2866,success
P2025-056,0000105634,EME,Emcor,0000105634-26-000025,2025,2026-02-26,1,9,0.1901743264659271,6,0.0028873917228103944,47325,2078,success
P2025-057,0000076334,PH,Parker Hannifin,0000076334-25-000035,2025,2025-08-22,1,1,0.03305566574110803,1,0.0006172839506172839,30252,1620,success
P2025-058,0000900075,CPRT,Copart,0001628280-25-042946,2025,2025-09-26,1,11,0.2713771155079686,5,0.002702702702702703,40534,1850,success
P2025-060,0001090727,UPS,United Parcel Service,0001628280-26-008432,2025,2026-02-17,1,9,0.1687605475342209,7,0.002308707124010554,53330,3032,success
P2025-061,0001048911,FDX,FedEx,0001048911-25-000011,2025,2025-07-21,1,26,0.39626293569871823,17,0.005043013942450311,65613,3371,success
P2025-062,0001067701,URI,United Rentals,0001067701-26-000007,2025,2026-01-28,1,18,0.3659503527354789,12,0.005244755244755245,49187,2288,success
P2025-063,0001316835,BLDR,Builders FirstSource,0001193125-26-054643,2025,2026-02-17,1,14,0.25593682016782143,10,0.004210526315789474,54701,2375,success
P2025-064,0000040545,GE,GE Aerospace,0000040545-26-000008,2025,2026-01-29,1,5,0.10784926986044305,4,0.0019704433497536944,46361,2030,success
P2025-065,0001035983,FIX,Comfort Systems USA,0001104659-26-017530,2025,2026-02-19,1,4,0.07670035090410539,4,0.0017985611510791368,52151,2224,success
P2025-066,0000062996,MAS,Masco,0000062996-26-000005,2025,2026-02-10,1,2,0.07052434853133044,2,0.0012836970474967907,28359,1558,success
P2025-067,0001474735,GNRC,Generac,0001437749-26-004568,2025,2026-02-18,1,10,0.2000800320128051,8,0.0034737299174989146,49980,2303,success
P2025-068,0000092380,LUV,Southwest Airlines,0000092380-26-000004,2025,2026-02-05,1,29,0.40613971206094895,20,0.006544502617801047,71404,3056,success
P2025-069,0001535527,CRWD,CrowdStrike,0001535527-25-000009,2025,2025-03-10,1,105,1.552014662843291,66,0.023036649214659685,67654,2865,success
P2025-070,0000864749,TRMB,Trimble Inc.,0000864749-25-000090,2025,2025-04-25,1,41,1.0348308934881374,27,0.01337295690936107,39620,2019,success
P2025-071,0000050863,INTC,Intel,0000050863-26-000011,2025,2026-01-23,1,113,1.7802284363922805,86,0.028956228956228958,63475,2970,success
P2025-072,0001561550,DDOG,Datadog,0001628280-26-008819,2025,2026-02-18,1,65,1.2331391929578266,40,0.017368649587494574,52711,2303,success
P2025-073,0000820313,APH,Amphenol,0001104659-26-013549,2025,2026-02-11,1,16,0.22811845050542495,13,0.004883546205860256,70139,2662,success
P2025-074,0001645590,HPE,Hewlett Packard Enterprise,0001645590-25-000130,2025,2025-12-18,1,168,2.0453383330492585,119,0.033314669652855546,82138,3572,success
P2025-075,0000319201,KLAC,KLA Corporation,0000319201-25-000024,2025,2025-08-08,1,30,0.5095454854269991,23,0.009414654113794515,58876,2443,success
P2025-076,0000068505,MSI,Motorola Solutions,0000068505-26-000010,2025,2026-02-12,1,70,1.2495537308104248,52,0.020225593154414623,56020,2571,success
P2025-077,0001045810,NVDA,Nvidia,0001045810-25-000023,2025,2025-02-26,1,178,3.82705166519748,137,0.06465313827277018,46511,2119,success
P2025-078,0001601046,KEYS,Keysight Technologies,0001601046-25-000127,2025,2025-12-17,1,26,0.4461757589278053,19,0.006949524506217996,58273,2734,success
P2025-079,0001327811,WDAY,"Workday, Inc.",0001327811-25-000056,2025,2025-03-11,1,65,1.4051015996541287,48,0.023346303501945526,46260,2056,success
P2025-080,0001137789,STX,Seagate Technology,0001137789-25-000157,2025,2025-08-01,1,27,0.5576553689819691,18,0.00789127575624726,48417,2281,success
P2025-081,0001262039,FTNT,Fortinet,0001262039-26-000007,2025,2026-02-25,1,90,1.3142331449599158,57,0.02025586353944563,68481,2814,success
P2025-082,0001467373,ACN,Accenture,0001467373-25-000217,2025,2025-10-10,1,81,1.9172505207347093,65,0.03107074569789675,42248,2092,success
P2025-083,0000916076,MLM,Martin Marietta Materials,0001193125-26-059193,2025,2026-02-19,1,2,0.027174282259269825,2,0.0005752085130859936,73599,3477,success
P2025-084,0000079879,PPG,PPG Industries,0000079879-26-000046,2025,2026-02-19,1,7,0.18640321678694113,6,0.0030596634370219276,37553,1961,success
P2025-085,0001396009,VMC,Vulcan Materials Company,0001628280-26-009546,2025,2026-02-19,1,5,0.09529436429129581,3,0.0009819967266775777,52469,3055,success
P2025-086,0000009389,BALL,Ball Corporation,0001104659-26-017410,2025,2026-02-19,1,2,0.04345747685889357,2,0.000856898029134533,46022,2334,success
P2025-087,0000849395,CRH,CRH plc,0001628280-26-009043,2025,2026-02-18,1,6,0.1262015438655533,4,0.0016286644951140066,47543,2456,success
P2025-088,0000034903,FRT,Federal Realty Investment Trust,0000034903-26-000017,2025,2026-02-12,1,3,0.0698909700866648,2,0.000931098696461825,42924,2148,success
P2025-089,0001289490,EXR,Extra Space Storage,0001289490-26-000011,2025,2026-02-20,1,22,0.6032355360570332,15,0.00823271130625686,36470,1822,success
P2025-090,0001297996,DLR,Digital Realty,0001104659-26-015365,2025,2026-02-13,1,16,0.19769683190826867,12,0.002628696604600219,80932,4565,success
P2025-091,0000920522,ESS,Essex Property Trust,0000920522-26-000003,2025,2026-02-20,1,9,0.1703771013175829,9,0.003572846367606193,52824,2519,success
P2025-092,0001705696,VICI,Vici Properties,0001705696-26-000034,2025,2026-02-25,1,4,0.06226843924157041,2,0.0007680491551459293,64238,2604,success
P2025-093,0000074208,UDR,"UDR, Inc.",0000074208-26-000013,2025,2026-02-17,1,1,0.014056987025400976,1,0.000293513354857646,71139,3407,success
P2025-094,0001687229,INVH,Invitation Homes,0001687229-26-000016,2025,2026-02-19,1,12,0.16927156801895843,11,0.003749147920927062,70892,2934,success
P2025-095,0001004980,PCG,PG&E Corporation,0001004980-26-000009,2025,2026-02-12,1,3,0.03998933617701946,2,0.0005955926146515784,75020,3358,success
P2025-096,0000715957,D,Dominion Energy,0001193125-26-063120,2025,2026-02-23,1,3,0.017793699844008564,3,0.00043731778425655976,168599,6860,success
P2025-097,0000764622,PNW,Pinnacle West Capital,0000764622-26-000011,2025,2026-02-25,1,15,0.19489378288832587,10,0.00255885363357216,76965,3908,success
P2025-098,0000065984,ETR,Entergy,0000065984-26-000174,2025,2026-02-19,1,12,0.050515680909282254,7,0.0006527415143603133,237550,10724,success
P2025-099,0001013871,NRG,NRG Energy,0001013871-26-000004,2025,2026-02-24,1,22,0.29704841889227945,15,0.004200504060487258,74062,3571,success
P2025-100,0000788784,PEG,Public Service Enterprise Group,0001193125-26-077446,2025,2026-02-26,1,25,0.22562565995505537,13,0.0024579315560597464,110803,5289,success
P2025-R001,0000049826,ITW,Illinois Tool Works,0000049826-26-000008,2025,2026-02-13,1,5,0.14539532990200355,4,0.00211864406779661,34389,1888,success
