company_id,cik,accession_number,object_key,sha256,file_size,upload_status
S2023-001,0000066740,0000066740-24-000016,2023/sample_500/html/raw/0000066740/0000066740-24-000016.html,52ec7cb1c85bc9a0495460b8c4f043f344f33dd8d9175788226fffe52849184a,4286095,uploaded
S2023-002,0000091142,0000091142-24-000041,2023/sample_500/html/raw/0000091142/0000091142-24-000041.html,38c1cff5d98058fd655ac8b9e48aef77e835d43746ec23c0e5e448ef0fe467e7,1914385,uploaded
S2023-003,0000874761,0000874761-24-000011,2023/sample_500/html/raw/0000874761/0000874761-24-000011.html,af741879d88dbb654959ade26f6e7a5f14aeb1b22c242db4ad1df6e96f8fd650,6410940,uploaded
S2023-004,0001841666,0001784031-24-000003,2023/sample_500/html/raw/0001841666/0001784031-24-000003.html,f5147d8f094c96cb5d932d9fee8ac4ce59d756e3f71040b1eafd3bcf63c8ce85,4359100,uploaded
S2023-005,0000732717,0000732717-24-000009,2023/sample_500/html/raw/0000732717/0000732717-24-000009.html,980359e976c1831854aaedf5177a146922af4a2309d28c6417ef53f774d094e9,4360250,uploaded
S2023-006,0001551152,0001551152-24-000011,2023/sample_500/html/raw/0001551152/0001551152-24-000011.html,c554dd1cd2158b715990315e78cc168afa617c00bfa753e8a9f27a651cf95dc7,3701766,uploaded
S2023-007,0000001800,0001628280-24-005348,2023/sample_500/html/raw/0000001800/0001628280-24-005348.html,e9bc6cc293af9a87f2208597fbe5f032139c757fab95c0080d0cf00f4830a9ce,2675005,uploaded
S2023-008,0001467373,0001467373-23-000324,2023/sample_500/html/raw/0001467373/0001467373-23-000324.html,8bfd82832110f07b3fa5f8469627f0a971aca773be3169b96dbfc270fbbd6440,2767778,uploaded
S2023-009,0000796343,0000796343-24-000006,2023/sample_500/html/raw/0000796343/0000796343-24-000006.html,da9bf4e7bc6d928d686eaf1728be427e551a3f8eb95bf78c69f179d73fcfea84,2451373,uploaded
S2023-010,0000002488,0000002488-24-000012,2023/sample_500/html/raw/0000002488/0000002488-24-000012.html,0e9d83bd98b81b70050a88635171e721488f783eada9686fe21d6919ee1b668e,2130305,uploaded
S2023-011,0000004977,0000004977-24-000053,2023/sample_500/html/raw/0000004977/0000004977-24-000053.html,4ecf36785e07bdb19dd1f59e4a335da15fcb61ff071243406834d05b3102d7b6,9368701,uploaded
S2023-012,0001090872,0001090872-23-000020,2023/sample_500/html/raw/0001090872/0001090872-23-000020.html,af3a8bc0b2261e3ab9d951f116680304c6339e179e782818b39fc0cb49acdbaa,3542153,uploaded
S2023-013,0000002969,0000002969-23-000047,2023/sample_500/html/raw/0000002969/0000002969-23-000047.html,b16bc5e2d6b1cef0b6180f26e6541f3891d54497dcba19fc931ec942321fb16e,3798411,uploaded
S2023-014,0001559720,0001559720-24-000006,2023/sample_500/html/raw/0001559720/0001559720-24-000006.html,b434c9931e87ae03b06e26fdc4cf9d73704b804c3719dfb76fa627dbbdc9cbbd,2482453,uploaded
S2023-015,0001086222,0001086222-24-000040,2023/sample_500/html/raw/0001086222/0001086222-24-000040.html,179c67ce8db136258079b8a26f959dd038d4af66f8fe3a26e593f66492e67efe,2457483,uploaded
S2023-016,0000915913,0000915913-24-000016,2023/sample_500/html/raw/0000915913/0000915913-24-000016.html,85deca20b624fffe014de0809ac89b302fb1917cca9addca54ae0933b5dec276,3742974,uploaded
S2023-017,0001035443,0001035443-24-000072,2023/sample_500/html/raw/0001035443/0001035443-24-000072.html,3995e0069dc08f596ba707b778110daf581b8e2536b580030c7cd88970b57a95,6495560,uploaded
S2023-018,0001097149,0001097149-24-000011,2023/sample_500/html/raw/0001097149/0001097149-24-000011.html,ae4041f5eb80bd341e7b09c84b3fdc8e3753f2fef3e2018e25fd0d6f33a9bfc4,2493729,uploaded
S2023-019,0001579241,0001579241-24-000006,2023/sample_500/html/raw/0001579241/0001579241-24-000006.html,dbc5cad944fa907c21f52a10250de1573e2e387323ee248781d9ad7ff10f499a,2529043,uploaded
S2023-020,0000352541,0000352541-24-000014,2023/sample_500/html/raw/0000352541/0000352541-24-000014.html,6daad4e9c1f9dc2166ebdc558a206d6c5a7516f1fd3721b064d51d253e7f9154,5648864,uploaded
S2023-021,0000899051,0000899051-24-000013,2023/sample_500/html/raw/0000899051/0000899051-24-000013.html,40dfab55046739af3cde509abea9d60f94913cd574fe12b14d03042a5425427e,9393475,uploaded
S2023-022,0001652044,0001652044-24-000022,2023/sample_500/html/raw/0001652044/0001652044-24-000022.html,787dd59d770312b204d144b4c78b8de23db1e1d53aae4bf37a52d6d874e903b2,2410403,uploaded
