company_id,cik,ticker,accession_number,detected_section_count,item_1_status,item_1a_status,item_7_status,item_8_status,not_present_count,section_warning_count,section_detection_status
P2025-001,0001754301,FOXA|FOX,0001628280-25-038077,10,detected,detected,detected,detected,0,3,pass
P2025-002,0001973266,TKO,0001193125-26-071651,7,not_present,detected,detected,detected,3,0,pass
P2025-003,0001335258,LYV,0001335258-26-000009,10,detected,detected,detected,detected,0,4,pass
P2025-004,0001744489,DIS,0001744489-25-000155,9,not_present,detected,detected,detected,1,1,pass
P2025-005,0001065088,EBAY,0001065088-26-000027,10,detected,detected,detected,detected,0,2,pass
P2025-006,0000815097,CCL,0000815097-26-000007,10,detected,detected,detected,detected,0,1,pass
P2025-007,0001121788,GRMN,0001193125-26-056028,10,detected,detected,detected,detected,0,1,pass
P2025-008,0001403568,ULTA,0001558370-25-003810,10,detected,detected,detected,detected,0,1,pass
P2025-009,0001286681,DPZ,0001193125-26-062321,10,detected,detected,detected,detected,0,0,pass
P2025-010,0000109198,TJX,0000109198-25-000010,10,detected,detected,detected,detected,0,3,pass
P2025-011,0000906163,NVR,0000906163-26-000018,10,detected,detected,detected,detected,0,1,pass
P2025-012,0001792789,DASH,0001792789-26-000013,10,detected,detected,detected,detected,0,1,pass
P2025-013,0001513761,NCLH,0001104659-26-022067,10,detected,detected,detected,detected,0,1,pass
P2025-014,0000037996,F,0000037996-26-000015,10,detected,detected,detected,detected,0,0,pass
P2025-015,0000313927,CHD,0001193125-26-048139,2,not_present,not_present,not_present,not_present,8,0,warning
P2025-016,0000040704,GIS,0001193125-25-147079,0,not_present,not_present,not_present,not_present,10,0,warning
P2025-017,0000021665,CL,0000021665-26-000006,9,detected,not_present,detected,detected,1,3,pass
P2025-018,0000016918,STZ,0000016918-25-000022,9,detected,detected,detected,detected,1,2,pass
P2025-019,0000091419,SJM,0000091419-25-000056,10,detected,detected,detected,detected,0,2,pass
P2025-020,0000100493,TSN,0000100493-25-000095,10,detected,detected,detected,detected,0,1,pass
P2025-021,0000104169,WMT,0000104169-25-000021,0,not_present,not_present,not_present,not_present,10,0,warning
P2025-022,0000034088,XOM,0000034088-26-000045,0,not_present,not_present,not_present,not_present,10,0,warning
P2025-023,0001539838,FANG,0001539838-26-000010,8,not_present,detected,detected,detected,2,1,pass
P2025-024,0000045012,HAL,0000045012-26-000015,5,not_present,not_present,detected,detected,5,0,pass
P2025-025,0000093410,CVX,0000093410-26-000078,10,detected,detected,detected,detected,0,2,pass
P2025-026,0001140536,WTW,0001193125-26-069307,10,detected,detected,detected,detected,0,0,pass
P2025-027,0001141391,MA,0001141391-26-000013,10,detected,detected,detected,detected,0,0,pass
P2025-028,0000093751,STT,0000093751-26-000124,10,detected,detected,detected,detected,0,3,pass
P2025-029,0000070858,BAC,0000070858-26-000157,8,detected,detected,not_present,not_present,2,3,warning
P2025-030,0000038777,BEN,0000038777-25-000238,10,detected,detected,detected,detected,0,1,pass
P2025-031,0001393818,BX,0001193125-26-082531,1,not_present,not_present,not_present,not_present,9,0,warning
P2025-032,0001281761,RF,0001281761-26-000019,10,detected,detected,detected,detected,0,2,pass
P2025-033,0000895421,MS,0000895421-26-000086,0,not_present,not_present,not_present,not_present,10,0,warning
P2025-034,0000004977,AFL,0001628280-26-011402,10,detected,detected,detected,detected,0,1,pass
P2025-035,0001136893,FIS,0001136893-26-000013,10,detected,detected,detected,detected,0,2,pass
P2025-036,0000036270,MTB,0000036270-26-000010,10,detected,detected,detected,detected,0,2,pass
P2025-037,0001512673,XYZ,0001628280-26-012254,10,detected,detected,detected,detected,0,2,pass
P2025-038,0002012383,BLK,0001193125-26-071966,10,detected,detected,detected,detected,0,1,pass
P2025-039,0000072971,WFC,0000072971-26-000133,0,not_present,not_present,not_present,not_present,10,0,warning
P2025-040,0000315293,AON,0001628280-26-008116,9,not_present,detected,detected,detected,1,1,pass
P2025-041,0001035267,ISRG,0001035267-26-000010,10,detected,detected,detected,detected,0,2,pass
P2025-042,0000313616,DHR,0000313616-26-000062,10,detected,detected,detected,detected,0,3,pass
P2025-043,0000860730,HCA,0001193125-26-044769,10,detected,detected,detected,detected,0,2,pass
P2025-044,0000872589,REGN,0000872589-26-000008,10,detected,detected,detected,detected,0,3,pass
P2025-045,0001071739,CNC,0001071739-26-000049,10,detected,detected,detected,detected,0,1,pass
P2025-046,0001000228,HSIC,0001000228-26-000013,1,detected,not_present,not_present,not_present,9,0,warning
P2025-047,0001000697,WAT,0001193125-26-062604,9,detected,detected,detected,detected,1,1,pass
P2025-048,0000731766,UNH,0000731766-26-000062,9,detected,detected,detected,not_present,1,2,pass
P2025-049,0001555280,ZTS,0001555280-26-000011,9,not_present,detected,detected,detected,1,1,pass
P2025-050,0000010456,BAX,0001628280-26-007733,10,detected,detected,detected,detected,0,2,pass
P2025-051,0000842023,TECH,0001558370-25-011716,10,detected,detected,detected,detected,0,1,pass
P2025-052,0001093557,DXCM,0001093557-26-000027,0,not_present,not_present,not_present,not_present,10,0,warning
P2025-053,0000936468,LMT,0001628280-26-004195,10,detected,detected,detected,detected,0,2,pass
P2025-054,0000702165,NSC,0001628280-26-006268,8,not_present,detected,detected,detected,2,2,pass
