company_id,cik,ticker,accession_number,html_file_bytes,analysis_text_bytes,structure_preserved_text_bytes,table_text_bytes,analysis_to_html_size_ratio,word_count,paragraph_count,sentence_count,detected_section_count,item_1_detected,item_1a_detected,item_7_detected,item_8_detected,html_tag_residual_count,javascript_residual_count,css_residual_count,xbrl_namespace_residual_count,broken_character_count,numeric_token_ratio,very_short_sentence_ratio,very_long_sentence_ratio,table_marker_contamination,warning_count,quality_status
P2025-001,0001754301,FOXA|FOX,0001628280-25-038077,2510532,305043,310363,62040,0.121505,44869,922,1917,10,1,1,1,1,0,0,0,0,0,0.025318,0.1444966092853417,0.005216484089723527,0,1,warning
P2025-002,0001973266,TKO,0001193125-26-071651,6707328,780261,783581,59067,0.11633,117571,1472,4296,7,0,1,1,1,0,0,0,0,0,0.033962,0.07960893854748603,0.008147113594040968,0,0,pass
P2025-003,0001335258,LYV,0001335258-26-000009,2849635,322155,325435,60472,0.113051,49011,938,2004,10,1,1,1,1,0,0,0,0,0,0.030197,0.09081836327345309,0.003493013972055888,0,1,warning
P2025-004,0001744489,DIS,0001744489-25-000155,4202853,362033,367913,82898,0.08614,53637,1440,2468,9,0,1,1,1,0,0,0,0,0,0.030986,0.10777957860615883,0.003646677471636953,0,0,pass
P2025-005,0001065088,EBAY,0001065088-26-000027,2723024,335678,339318,52344,0.123274,49973,1065,2083,10,1,1,1,1,0,0,0,0,0,0.026154,0.08833413346135381,0.003360537686029765,0,1,warning
P2025-006,0000815097,CCL,0000815097-26-000007,2101715,259798,262718,43913,0.123612,39114,1015,1910,10,1,1,1,1,0,0,0,0,0,0.03137,0.13979057591623037,0.0015706806282722514,0,0,pass
P2025-007,0001121788,GRMN,0001193125-26-056028,4964710,351595,353995,50124,0.070819,52287,798,2163,10,1,1,1,1,0,0,0,0,0,0.03651,0.08552935737401757,0.0004623208506703652,0,1,warning
P2025-008,0001403568,ULTA,0001558370-25-003810,2914231,239511,246951,55552,0.082187,35849,678,1599,10,1,1,1,1,0,0,0,0,0,0.027421,0.13320825515947468,0.0025015634771732333,0,0,pass
P2025-009,0001286681,DPZ,0001193125-26-062321,4923021,436575,439215,60539,0.08868,65823,981,2583,10,1,1,1,1,0,0,0,0,0,0.048873,0.0770421989934185,0.0038714672861014324,0,0,pass
P2025-010,0000109198,TJX,0000109198-25-000010,2338219,234180,237420,52422,0.100153,35288,692,1480,10,1,1,1,1,0,0,0,0,0,0.029812,0.14121621621621622,0.006081081081081081,0,1,warning
P2025-011,0000906163,NVR,0000906163-26-000018,1779174,183476,186316,40341,0.103124,27761,652,1343,10,1,1,1,1,0,0,0,0,0,0.039912,0.14296351451973194,0.0014892032762472078,0,0,pass
P2025-012,0001792789,DASH,0001792789-26-000013,2626599,462903,466743,49276,0.176237,69816,1174,2552,10,1,1,1,1,0,0,0,0,0,0.018363,0.0865987460815047,0.0054858934169279,0,0,pass
P2025-013,0001513761,NCLH,0001104659-26-022067,3670846,410170,419010,121936,0.111737,62807,890,2433,10,1,1,1,1,0,0,0,0,0,0.042113,0.08877928483353884,0.007809288943690916,0,0,pass
P2025-014,0000037996,F,0000037996-26-000015,5281502,531086,537006,104821,0.100556,79321,1611,3712,10,1,1,1,1,0,0,0,0,0,0.024735,0.1392780172413793,0.0018857758620689656,0,0,pass
P2025-015,0000313927,CHD,0001193125-26-048139,4736851,448095,450815,43607,0.094598,67285,1075,2782,2,0,0,0,0,0,0,0,0,0,0.036501,0.08914450035945364,0.006110711718188354,0,1,warning
P2025-016,0000040704,GIS,0001193125-25-147079,5311598,234141,234141,0,0.044081,37381,6311,7010,0,0,0,0,0,0,0,0,0,0,0.145421,0.7691868758915834,0.003138373751783167,0,1,warning
P2025-017,0000021665,CL,0000021665-26-000006,2832052,286184,290704,53034,0.101052,42395,937,1832,9,1,0,1,1,0,0,0,0,0,0.037575,0.10480349344978165,0.0027292576419213972,0,0,pass
P2025-018,0000016918,STZ,0000016918-25-000022,3464720,314620,329620,127501,0.090807,46922,1036,2029,9,1,1,1,1,0,0,0,0,0,0.030625,0.11976343026121242,0.0049285362247412515,0,1,warning
P2025-019,0000091419,SJM,0000091419-25-000056,2998212,329255,332975,66877,0.109817,49665,755,1953,10,1,1,1,1,0,0,0,0,0,0.035337,0.06093189964157706,0.0005120327700972862,0,0,pass
P2025-020,0000100493,TSN,0000100493-25-000095,3290079,349594,353794,78397,0.106257,52656,982,2286,10,1,1,1,1,0,0,0,0,0,0.038913,0.1111111111111111,0.0017497812773403325,0,0,pass
P2025-021,0000104169,WMT,0000104169-25-000021,2335078,316542,320942,57225,0.135559,47109,768,1790,0,0,0,0,0,0,0,0,0,0,0.028105,0.09106145251396648,0.0111731843575419,0,1,warning
P2025-022,0000034088,XOM,0000034088-26-000045,5591068,283021,295341,150245,0.05062,41037,814,1825,0,0,0,0,0,0,0,0,0,0,0.030217,0.08657534246575342,0.006027397260273973,0,1,warning
P2025-023,0001539838,FANG,0001539838-26-000010,3465123,460543,464743,88846,0.132908,69312,1304,2720,8,0,1,1,1,0,0,0,0,0,0.03754,0.08933823529411765,0.0058823529411764705,0,0,pass
P2025-024,0000045012,HAL,0000045012-26-000015,4561045,218171,224811,67649,0.047834,33239,2183,2919,5,0,0,1,1,0,0,0,0,0,0.041397,0.17403220280918122,0.0,0,0,pass
P2025-025,0000093410,CVX,0000093410-26-000078,6061316,346800,358400,150669,0.057215,51908,998,2342,10,1,1,1,1,0,0,0,0,0,0.047777,0.09735269000853972,0.0029888983774551663,0,1,warning
P2025-026,0001140536,WTW,0001193125-26-069307,9532413,713639,718479,76597,0.074864,107790,1464,4083,10,1,1,1,1,0,0,0,0,0,0.034196,0.05143277002204261,0.0029390154298310064,0,0,pass
P2025-027,0001141391,MA,0001141391-26-000013,3067677,359018,363858,95711,0.117033,52630,1374,2700,10,1,1,1,1,0,0,0,0,0,0.028216,0.18037037037037038,0.0014814814814814814,0,0,pass
P2025-028,0000093751,STT,0000093751-26-000124,7694408,686034,691914,141661,0.08916,101817,2348,4232,10,1,1,1,1,0,0,0,0,0,0.030781,0.0883742911153119,0.0033081285444234404,0,1,warning
P2025-029,0000070858,BAC,0000070858-26-000157,12819060,713240,727560,214719,0.055639,104965,1992,4320,8,1,1,0,0,0,0,0,0,0,0.035336,0.07685185185185185,0.003703703703703704,0,1,warning
P2025-030,0000038777,BEN,0000038777-25-000238,2802766,310625,314185,59289,0.110828,45567,818,1819,10,1,1,1,1,0,0,0,0,0,0.022736,0.09840571742715779,0.006597031335898846,0,0,pass
P2025-031,0001393818,BX,0001193125-26-082531,9097644,473296,498336,329630,0.052024,69216,2151,3660,1,0,0,0,0,0,0,0,0,0,0.022249,0.2972677595628415,0.004098360655737705,0,1,warning
P2025-032,0001281761,RF,0001281761-26-000019,7576810,566416,572096,130952,0.074757,83890,1667,3693,10,1,1,1,1,0,0,0,0,0,0.025462,0.08529650690495533,0.002166260492824262,0,0,pass
P2025-033,0000895421,MS,0000895421-26-000086,9714712,626710,652030,194192,0.064511,91316,2265,4461,0,0,0,0,0,0,0,0,0,0,0.017949,0.15601882985877605,0.0022416498542927594,0,1,warning
P2025-034,0000004977,AFL,0001628280-26-011402,8903397,533574,542014,165538,0.059929,79154,1899,3774,10,1,1,1,1,0,0,0,0,0,0.031357,0.13778484366719662,0.0018547959724430313,0,0,pass
P2025-035,0001136893,FIS,0001136893-26-000013,3006076,377912,381072,59256,0.125716,55509,1041,2309,10,1,1,1,1,0,0,0,0,0,0.029275,0.09311390212213079,0.0034647033347769596,0,1,warning
P2025-036,0000036270,MTB,0000036270-26-000010,7743791,448595,454715,137836,0.05793,65813,1279,2680,10,1,1,1,1,0,0,0,0,0,0.031377,0.11492537313432835,0.002238805970149254,0,0,pass
P2025-037,0001512673,XYZ,0001628280-26-012254,3098527,498278,502158,60364,0.160811,75730,1206,2866,10,1,1,1,1,0,0,0,0,0,0.025419,0.0732728541521284,0.005582693649685973,0,1,warning
P2025-038,0002012383,BLK,0001193125-26-071966,12551314,765123,770283,94383,0.06096,112545,1620,4547,10,1,1,1,1,0,0,0,0,0,0.041859,0.08928964152188255,0.0019793270288102046,0,0,pass
P2025-039,0000072971,WFC,0000072971-26-000133,359609,62326,63926,25825,0.173316,9287,229,431,0,0,0,0,0,0,0,0,0,0,0.026812,0.16473317865429235,0.01160092807424594,0,1,warning
P2025-040,0000315293,AON,0001628280-26-008116,3792932,362540,367780,101171,0.095583,54179,1057,2209,9,0,1,1,1,0,0,0,0,0,0.033094,0.09642372114078769,0.0018107741059302852,0,0,pass
P2025-041,0001035267,ISRG,0001035267-26-000010,2789282,555512,558672,43075,0.199159,82216,1300,3290,10,1,1,1,1,0,0,0,0,0,0.021468,0.08632218844984803,0.00303951367781155,0,0,pass
P2025-042,0000313616,DHR,0000313616-26-000062,2936061,428016,431336,61136,0.145779,62983,1032,2342,10,1,1,1,1,0,0,0,0,0,0.028246,0.09521776259607173,0.007258753202391118,0,1,warning
P2025-043,0000860730,HCA,0001193125-26-044769,5498741,511088,513848,77593,0.092946,75580,1118,3069,10,1,1,1,1,0,0,0,0,0,0.036795,0.07559465623981754,0.002280873248615184,0,0,pass
P2025-044,0000872589,REGN,0000872589-26-000008,3119136,484979,489139,100188,0.155485,72195,1133,2637,10,1,1,1,1,0,0,0,0,0,0.0196,0.1149032992036405,0.007963594994311717,0,1,warning
P2025-045,0001071739,CNC,0001071739-26-000049,3196200,412747,415667,59309,0.129137,61344,1116,2550,10,1,1,1,1,0,0,0,0,0,0.029278,0.09372549019607843,0.005098039215686275,0,0,pass
P2025-046,0001000228,HSIC,0001000228-26-000013,4769583,307055,307055,0,0.064378,47178,5106,5808,1,1,0,0,0,0,0,0,0,0,0.108165,0.5569903581267218,0.0032713498622589533,0,1,warning
P2025-047,0001000697,WAT,0001193125-26-062604,3024698,377594,386754,94332,0.124837,55899,1063,2356,9,1,1,1,1,0,0,0,0,0,0.038498,0.11375212224108659,0.0038200339558573855,0,0,pass
P2025-048,0000731766,UNH,0000731766-26-000062,2870606,268445,271365,59331,0.093515,39029,762,1649,9,1,1,1,0,0,0,0,0,0,0.026596,0.13583990297149787,0.0036385688295936932,0,1,warning
P2025-049,0001555280,ZTS,0001555280-26-000011,3307949,437098,440938,68761,0.132136,64891,1404,2935,9,0,1,1,1,0,0,0,0,0,0.026691,0.15468483816013628,0.004770017035775128,0,0,pass
P2025-050,0000010456,BAX,0001628280-26-007733,3388596,396315,401595,85841,0.116956,59498,1025,2332,10,1,1,1,1,0,0,0,0,0,0.032287,0.08533447684391081,0.0047169811320754715,0,0,pass
P2025-051,0000842023,TECH,0001558370-25-011716,3861666,330731,336731,63728,0.085645,48962,721,2056,10,1,1,1,1,0,0,0,0,0,0.03276,0.07490272373540856,0.0019455252918287938,0,0,pass
P2025-052,0001093557,DXCM,0001093557-26-000027,2525851,490035,498275,62184,0.194008,73683,1265,2837,0,0,0,0,0,0,0,0,0,0,0.018878,0.05921748325696158,0.0010574550581600281,0,1,warning
P2025-053,0000936468,LMT,0001628280-26-004195,2909179,380486,383406,53438,0.130788,56662,849,2247,10,1,1,1,1,0,0,0,0,0,0.030197,0.07432131731197152,0.0008900756564307966,0,1,warning
P2025-054,0000702165,NSC,0001628280-26-006268,2364467,235979,239619,75196,0.099802,35432,834,1641,8,0,1,1,1,0,0,0,0,0,0.037452,0.1663619744058501,0.002437538086532602,0,0,pass
