company_id,cik,ticker,company_name,accession_number,report_year,filing_date,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,ai_sentence_count,ai_sentence_ratio,total_analysis_word_count,total_analysis_sentence_count,ai_detection_status
S2022-117,0001047862,ED,Consolidated Edison,0001047862-23-000038,2022,2023-02-16,0,0,0.0,0,0.0,86511,4503,success
S2022-118,0000016918,STZ,Constellation Brands,0000016918-22-000069,2022,2022-04-21,0,0,0.0,0,0.0,48371,3024,success
S2022-119,0001868275,CEG,Constellation Energy,0001868275-23-000014,2022,2023-02-16,0,0,0.0,0,0.0,81302,4262,success
S2022-120,0000711404,COO,Cooper Companies (The),0000711404-22-000053,2022,2022-12-09,0,0,0.0,0,0.0,57039,2646,success
S2022-121,0000900075,CPRT,Copart,0000900075-22-000050,2022,2022-09-27,1,1,0.023864639763262772,1,0.0005296610169491525,41903,1888,success
S2022-122,0000024741,GLW,Corning Inc.,0001437749-23-003123,2022,2023-02-13,0,0,0.0,0,0.0,37125,2308,success
S2022-123,0001755672,CTVA,Corteva,0001755672-23-000005,2022,2023-02-09,0,0,0.0,0,0.0,68939,3543,success
S2022-124,0000909832,COST,Costco,0000909832-22-000021,2022,2022-10-05,0,0,0.0,0,0.0,25985,1424,success
S2022-125,0001051470,CCI,Crown Castle,0001051470-23-000041,2022,2023-02-24,0,0,0.0,0,0.0,47249,2167,success
S2022-126,0000026172,CMI,Cummins,0000026172-23-000005,2022,2023-02-14,0,0,0.0,0,0.0,54703,2852,success
S2022-127,0000882184,DHI,D. R. Horton,0000882184-22-000184,2022,2022-11-18,0,0,0.0,0,0.0,47845,2531,success
S2022-128,0000936340,DTE,DTE Energy,0000936340-23-000073,2022,2023-02-23,0,0,0.0,0,0.0,59016,3222,success
S2022-129,0001688568,DXC,DXC Technology,0001688568-22-000027,2022,2022-05-26,1,2,0.035559348552734515,2,0.0007627765064836003,56244,2622,success
S2022-130,0000927066,DVA,DaVita,0000927066-23-000011,2022,2023-02-22,1,2,0.026219536176405038,1,0.00033433634236041456,76279,2991,success
S2022-131,0000313616,DHR,Danaher Corporation,0000313616-23-000087,2022,2023-02-22,1,1,0.014793993638582735,1,0.0003749531308586427,67595,2667,success
S2022-132,0000940944,DRI,Darden Restaurants,0000940944-22-000042,2022,2022-07-22,0,0,0.0,0,0.0,39340,1872,success
S2022-133,0000315189,DE,Deere & Company,0001558370-22-018703,2022,2022-12-15,1,1,0.01631481058504911,1,0.0003372681281618887,61294,2965,success
S2022-134,0000027904,DAL,Delta Air Lines,0000027904-23-000003,2022,2023-02-10,0,0,0.0,0,0.0,54618,2807,success
S2022-135,0000818479,XRAY,Dentsply Sirona,0000818479-23-000017,2022,2023-03-01,1,3,0.05231949773282177,2,0.0007803355442840422,57340,2563,success
S2022-136,0001090012,DVN,Devon Energy,0000950170-23-002852,2022,2023-02-15,1,1,0.016358580075249467,1,0.0003169572107765452,61130,3155,success
S2022-137,0001093557,DXCM,Dexcom,0001093557-23-000024,2022,2023-02-09,1,1,0.013099979040033537,1,0.00030413625304136254,76336,3288,success
S2022-138,0001539838,FANG,Diamondback Energy,0001539838-23-000022,2022,2023-02-23,0,0,0.0,0,0.0,69045,3041,success
S2022-139,0001297996,DLR,Digital Realty,0001558370-23-002087,2022,2023-02-27,1,1,0.014079945933007617,1,0.000245398773006135,71023,4075,success
S2022-140,0000029534,DG,Dollar General,0001558370-22-003921,2022,2022-03-18,0,0,0.0,0,0.0,36616,1705,success
S2022-141,0000935703,DLTR,Dollar Tree,0000935703-22-000020,2022,2022-03-15,0,0,0.0,0,0.0,37115,1699,success
