company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,total_analysis_word_count,total_analysis_sentence_count,ai_sentence_count,ai_sentence_ratio,ai_detection_status,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status,report_concreteness_mean,report_concreteness_median,report_concreteness_standard_deviation,report_concreteness_min,report_concreteness_max,report_concreteness_matched_token_count,report_concreteness_eligible_token_count,report_concreteness_unmatched_token_count,report_concreteness_coverage,report_concreteness_unique_dictionary_entries,report_concreteness_stem_collision_count,report_concreteness_status,report_word_count,log_report_word_count,report_sentence_count,report_paragraph_count,report_mean_sentence_length,report_fog_index,report_numeric_token_ratio,report_ai_term_count,report_ai_terms_per_1000_words,report_table_text_word_count,report_table_text_ratio,source_html_bytes,analysis_text_bytes,analysis_text_to_html_ratio,report_control_status,report_positive_count,report_negative_count,report_net_tone,report_uncertainty_count,report_uncertainty_ratio,report_weak_modal_count,report_weak_modal_ratio,report_strong_modal_count,report_strong_modal_ratio,report_litigious_count,report_litigious_ratio,report_constraining_count,report_constraining_ratio,report_forward_looking_count,report_forward_looking_ratio,report_positive_ratio,report_negative_ratio,report_net_tone_by_words,report_sentiment_word_coverage,report_total_lm_matched_word_count,report_total_eligible_word_count,concreteness_status,lm_ai_status,lm_report_status,matching_strategy_version,concreteness_preprocessing_version
S2022-001,0000066740,MMM,3M,0000066740-23-000014,2022,2023-02-08,1.0.3,0.3.0,1,1,0.01558021,64184,3033,1,0.00032971,success,0,0.00000000,0,0.00000000,0,0.00000000,0,0.00000000,0,0.00000000,114,success,2,1,0.01754386,0.00877193,0.33333333,0.02631579,0.00877193,3,success,2.86457143,2.86000000,0.71542332,1.81000000,4.50000000,35,60,25,0.58333333,33,18,warning_stem_collisions,2.94574444,2.85000000,0.83104949,1.19000000,5.00000000,25348,34893,9545,0.72644943,2344,6399,warning_stem_collisions,64788,11.07887568,3033,1229,21.36102868,21.04330834,0.04397419,1,0.01543496,12621,0.16304306,6551646,431485,0.06585902,success,380,1674,-0.62999026,863,0.01422051,288,0.00474566,90,0.00148302,1434,0.02362944,446,0.00734919,,,0.00626164,0.02758416,-0.02132252,0.03384580,4285,60687,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2022-002,0000091142,AOS,A. O. Smith,0000091142-23-000025,2022,2023-02-14,1.0.3,0.3.0,0,0,0.00000000,26378,1523,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.96931734,2.89000000,0.85355132,1.26000000,5.00000000,10591,13691,3100,0.77357388,1563,2309,warning_stem_collisions,26367,10.17986851,1523,553,17.31254104,18.74199475,0.04626996,0,0.00000000,6945,0.20848343,2511727,173805,0.06919741,success,132,382,-0.48638132,453,0.01827645,154,0.00621318,51,0.00205761,202,0.00814976,150,0.00605180,,,0.00532559,0.01541193,-0.01008634,0.02073751,1305,24786,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2022-003,0000874761,AES,AES Corporation,0000874761-23-000010,2022,2023-03-01,1.0.3,0.3.0,1,2,0.01858252,107628,5057,1,0.00019775,success,0,0.00000000,0,0.00000000,0,0.00000000,0,0.00000000,0,0.00000000,23,success,2,0,0.08695652,0.00000000,1.00000000,0.08695652,0.08695652,2,success,3.18888889,3.14000000,0.44033938,2.24000000,3.78000000,9,16,7,0.56250000,8,5,warning_stem_collisions,2.90527551,2.82000000,0.80797475,1.19000000,5.00000000,40834,57423,16589,0.71110879,2708,9645,warning_stem_collisions,106896,11.57961168,5057,2009,21.13822424,21.11114075,0.03935601,2,0.01870977,23266,0.17874649,8350877,706887,0.08464824,success,541,1740,-0.52564665,1556,0.01536654,594,0.00586615,274,0.00270593,1412,0.01394444,928,0.00916462,,,0.00534273,0.01718366,-0.01184092,0.02252639,6004,101259,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2022-004,0001841666,APA,APA Corporation,0001784031-23-000007,2022,2023-02-23,1.0.3,0.3.0,0,0,0.00000000,62568,2916,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.95445951,2.83000000,0.84613295,1.26000000,5.00000000,24635,33995,9360,0.72466539,2285,5868,warning_stem_collisions,62584,11.04426493,2916,1309,21.46227709,21.45390636,0.04279049,0,0.00000000,13182,0.17398305,5919645,418334,0.07066876,success,239,1008,-0.61668003,948,0.01616175,393,0.00669997,106,0.00180712,530,0.00903558,553,0.00942769,,,0.00407454,0.01718465,-0.01311011,0.02125918,3172,58657,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2022-005,0000732717,T,AT&T,0000732717-23-000011,2022,2023-02-13,1.0.3,0.3.0,0,0,0.00000000,45915,2502,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.91046038,2.81000000,0.80871780,1.26000000,5.00000000,17616,23991,6375,0.73427535,1958,4647,warning_stem_collisions,45885,10.73389355,2502,944,18.33932854,20.20043134,0.04631143,0,0.00000000,15355,0.25073481,5874903,305363,0.05197754,success,219,642,-0.49128920,582,0.01345509,241,0.00557161,94,0.00217316,431,0.00996417,361,0.00834586,,,0.00506300,0.01484221,-0.00977922,0.01990521,2215,43255,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2022-006,0001551152,ABBV,AbbVie,0001551152-23-000011,2022,2023-02-17,1.0.3,0.3.0,0,0,0.00000000,46930,2483,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.87736388,2.75000000,0.80896112,1.19000000,5.00000000,18330,26065,7735,0.70324190,2234,4740,warning_stem_collisions,46926,10.75632717,2483,909,18.89891261,20.55995714,0.03271108,0,0.00000000,12975,0.21660740,4840548,320288,0.06616771,success,387,896,-0.39672642,794,0.01787966,355,0.00799406,134,0.00301747,632,0.01423167,356,0.00801657,,,0.00871465,0.02017654,-0.01146190,0.02889119,2986,44408,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2022-007,0000001800,ABT,Abbott Laboratories,0001628280-23-004026,2022,2023-02-17,1.0.3,0.3.0,0,0,0.00000000,36480,1977,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.91774536,2.82000000,0.79143980,1.29000000,5.00000000,14326,20183,5857,0.70980528,1865,3724,warning_stem_collisions,36195,10.49667627,1977,869,18.30804249,19.88111885,0.04743749,0,0.00000000,10296,0.22146222,3412193,249203,0.07303309,success,175,623,-0.56140351,547,0.01618247,207,0.00612390,85,0.00251464,411,0.01215904,256,0.00757352,,,0.00517721,0.01843086,-0.01325365,0.02360807,1948,33802,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2022-008,0001467373,ACN,Accenture,0001467373-22-000295,2022,2022-10-12,1.0.3,0.3.0,1,12,0.31080031,38610,2016,11,0.00545635,success,2,0.00496278,3,0.00744417,1,0.00248139,1,0.00248139,2,0.00496278,403,success,6,0,0.01488834,0.00000000,1.00000000,0.01488834,0.01488834,14,success,2.92477612,2.89000000,0.75369938,1.56000000,4.64000000,201,254,53,0.79133858,122,40,warning_stem_collisions,2.83820281,2.74000000,0.80676427,1.19000000,5.00000000,15029,19735,4706,0.76154041,1950,3637,warning_stem_collisions,38631,10.56181034,2016,778,19.16220238,20.61167378,0.02904403,12,0.31063136,12653,0.24672412,3381988,257815,0.07623179,success,376,790,-0.35506003,806,0.02169700,432,0.01162916,78,0.00209971,555,0.01494024,286,0.00769893,,,0.01012168,0.02126629,-0.01114461,0.03138796,2769,37148,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2022-009,0000796343,ADBE,Adobe Inc.,0000796343-23-000007,2022,2023-01-17,1.0.3,0.3.0,1,56,1.17299596,47741,2320,35,0.01508621,success,18,0.01310998,5,0.00364166,12,0.00873999,4,0.00291333,2,0.00145666,1373,success,36,12,0.02621996,0.00873999,0.50000000,0.03495994,0.01747997,74,success,3.06580699,2.93000000,0.87505306,1.30000000,5.00000000,601,863,262,0.69640788,263,175,warning_stem_collisions,2.92684251,2.83000000,0.83338938,1.19000000,5.00000000,19449,25929,6480,0.75008678,2298,5124,warning_stem_collisions,47715,10.77300109,2320,1113,20.56681034,20.51813712,0.02571518,56,1.17363513,7283,0.13242300,2990674,324929,0.10864742,success,542,856,-0.22460658,781,0.01704980,394,0.00860131,82,0.00179012,444,0.00969284,303,0.00661471,,,0.01183225,0.01868710,-0.00685485,0.03051935,2868,45807,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2022-010,0000002488,AMD,Advanced Micro Devices,0000002488-23-000047,2022,2023-02-27,1.0.3,0.3.0,1,17,0.33616104,50571,2300,13,0.00565217,success,1,0.00264550,1,0.00264550,1,0.00264550,0,0.00000000,1,0.00264550,378,success,7,1,0.01851852,0.00264550,0.75000000,0.02116402,0.01587302,11,success,3.10205882,3.04000000,0.88469396,1.33000000,4.90000000,170,263,93,0.64638783,115,33,warning_stem_collisions,2.90973700,2.83000000,0.83102366,1.19000000,5.00000000,19392,26894,7502,0.72105302,2133,4902,warning_stem_collisions,50572,10.83115334,2300,922,21.98782609,20.91905565,0.03003638,17,0.33615439,9010,0.15122017,2648242,336983,0.12724781,success,334,1121,-0.54089347,994,0.02059634,556,0.01152069,140,0.00290089,366,0.00758376,390,0.00808106,,,0.00692070,0.02322787,-0.01630716,0.03014857,3131,48261,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
