company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,lm_ai_status
S2022-001,0000066740,MMM,3M,0000066740-23-000014,2022,2023-02-08,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,114,success,2,1,0.017543859649122806,0.008771929824561403,0.3333333333333333,0.02631578947368421,0.008771929824561403,3,success,success
S2022-002,0000091142,AOS,A. O. Smith,0000091142-23-000025,2022,2023-02-14,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2022-003,0000874761,AES,AES Corporation,0000874761-23-000010,2022,2023-03-01,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,success,2,0,0.08695652173913043,0.0,1.0,0.08695652173913043,0.08695652173913043,2,success,success
S2022-004,0001841666,APA,APA Corporation,0001784031-23-000007,2022,2023-02-23,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2022-005,0000732717,T,AT&T,0000732717-23-000011,2022,2023-02-13,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2022-006,0001551152,ABBV,AbbVie,0001551152-23-000011,2022,2023-02-17,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2022-007,0000001800,ABT,Abbott Laboratories,0001628280-23-004026,2022,2023-02-17,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2022-008,0001467373,ACN,Accenture,0001467373-22-000295,2022,2022-10-12,1.0.3,0.3.0,2,0.004962779156327543,3,0.007444168734491315,1,0.0024813895781637717,1,0.0024813895781637717,2,0.004962779156327543,403,success,6,0,0.01488833746898263,0.0,1.0,0.01488833746898263,0.01488833746898263,14,success,success
S2022-009,0000796343,ADBE,Adobe Inc.,0000796343-23-000007,2022,2023-01-17,1.0.3,0.3.0,18,0.013109978150036417,5,0.003641660597232338,12,0.00873998543335761,4,0.0029133284777858705,2,0.0014566642388929353,1373,success,36,12,0.026219956300072834,0.00873998543335761,0.5,0.03495994173343044,0.01747997086671522,74,success,success
S2022-010,0000002488,AMD,Advanced Micro Devices,0000002488-23-000047,2022,2023-02-27,1.0.3,0.3.0,1,0.0026455026455026454,1,0.0026455026455026454,1,0.0026455026455026454,0,0.0,1,0.0026455026455026454,378,success,7,1,0.018518518518518517,0.0026455026455026454,0.75,0.021164021164021163,0.015873015873015872,11,success,success
