company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status
S2022-071,0001730168,AVGO,Broadcom,0001730168-22-000118,2022,2022-12-16,1.0.3,0.3.0,3.0154736842105265,2.86,0.8178080696478627,1.5,4.96,95,129,34,0.7364341085271318,71,21,warning_stem_collisions
S2022-072,0001383312,BR,Broadridge Financial Solutions,0001383312-22-000037,2022,2022-08-12,1.0.3,0.3.0,3.2158333333333338,3.3200000000000003,0.8267855257293487,1.64,4.54,12,17,5,0.7058823529411765,11,3,warning_stem_collisions
S2022-073,0000079282,BRO,Brown & Brown,0000950170-23-004717,2022,2023-02-27,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-074,0000014693,BF-B,Brown–Forman,0000014693-22-000069,2022,2022-06-17,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-075,0001043277,CHRW,C.H. Robinson,0001043277-23-000005,2022,2023-02-17,1.0.3,0.3.0,2.8576923076923078,2.93,0.756938711533339,1.82,4.55,13,20,7,0.65,13,4,warning_stem_collisions
S2022-076,0001138118,CBRE,CBRE Group,0001138118-23-000009,2022,2023-02-27,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-077,0001402057,CDW,CDW Corporation,0001402057-23-000052,2022,2023-02-24,1.0.3,0.3.0,2.594615384615385,2.23,0.8794282704349666,1.63,4.62,13,18,5,0.7222222222222222,13,4,warning_stem_collisions
S2022-078,0001324404,CF,CF Industries,0001324404-23-000006,2022,2023-02-23,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-079,0001156375,CME,CME Group,0001156375-23-000020,2022,2023-02-27,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-080,0000811156,CMS,CMS Energy,0000811156-23-000014,2022,2023-02-09,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-081,0000277948,CSX,CSX Corporation,0000277948-23-000006,2022,2023-02-15,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-082,0000064803,CVS,CVS Health,0000064803-23-000009,2022,2023-02-08,1.0.3,0.3.0,2.8531818181818185,2.775,0.7299525910112019,1.8,4.45,22,29,7,0.7586206896551724,19,7,warning_stem_collisions
S2022-083,0001590895,CZR,Caesars Entertainment,0001590895-23-000070,2022,2023-02-22,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-084,0000906345,CPT,Camden Property Trust,0000906345-23-000008,2022,2023-02-23,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-085,0000016732,CPB,Campbell's,0000016732-22-000093,2022,2022-09-22,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
