report_year,ai_disclosure_rate,mean_ai_sentence_count_all,whole_report_concreteness,ai_concreteness,past_tense_share,present_tense_share,future_tense_share,lm_uncertainty_share,passive_voice_sentence_share,fog_index,ai_lm_positive_share,ai_lm_negative_share,ai_lm_uncertainty_share,report_word_count
2006,0.0,0.0,2.9582774883333336,,0.26544051915458383,0.6934276597241239,0.04113182112129215,0.016162266666666668,0.27118867288864495,19.460755196666668,,,,30799.916666666668
2007,0.0,0.0,2.9627187630000003,,0.27932746262298924,0.681246355289513,0.03942618208749764,0.015174433000000001,0.28260257403194333,19.692139059,,,,40728.75
2008,0.0,0.0,2.955034749142857,,0.2761717065901093,0.6847724354391816,0.03905585797070901,0.015511549142857144,0.2913460004849198,19.60708819,,,,46613.25714285715
2009,0.02564102564102564,0.02564102564102564,2.945210168974359,2.98454545,0.27650618186790166,0.6862345870589813,0.03725923107311697,0.015548332307692307,0.2972279955616706,19.74429405923077,0.04545455,0.0,0.0,47685.07692307692
2010,0.021739130434782608,0.021739130434782608,2.9444643782608693,2.71692308,0.27095623805411584,0.692113881888223,0.0369298800576611,0.01572113195652174,0.2997095274504256,19.98794928108696,0.0,0.0,0.0,48296.565217391304
2011,0.0392156862745098,0.0392156862745098,2.93290956372549,2.73703297,0.2675353624258676,0.6947386709208229,0.037725966653309524,0.015856150980392156,0.30011115595750004,20.23292426627451,0.0,0.0,0.0,52855.80392156863
2012,0.028985507246376812,0.043478260869565216,2.9321778830434786,3.222444445,0.2599708695498297,0.7043885650776863,0.035640565372483966,0.016064294782608693,0.30268455344667006,20.371289633188404,0.0,0.0,0.0,55246.188405797104
2013,0.020833333333333332,0.020833333333333332,2.9342402196874997,2.88709091,0.25935223995926454,0.7046777157684057,0.03597004427232971,0.016274338645833334,0.3014478364272556,20.37404459489583,0.0,0.016666665,0.0,52704.145833333336
2014,0.014705882352941176,0.014705882352941176,2.9306813616911764,2.996728395,0.2637469393073668,0.699953168788571,0.03629989190406212,0.016470096617647062,0.30479187699703036,20.410504750735292,0.019900685,0.014285715,0.01168831,51781.64705882353
2015,0.022222222222222223,0.07222222222222222,2.9286414033333332,2.98043464,0.26221334546935776,0.7008654628766945,0.036921191653947624,0.01650507311111111,0.30373889640384805,20.413492156388887,0.0075974025,0.0222943725,0.0068772125,50846.87222222222
2016,0.04032258064516129,0.1774193548387097,2.922362552419355,3.08189497,0.26070039479278423,0.7006236690102758,0.03867593619693998,0.016727092943548384,0.301924249446763,20.407606280403225,0.014571855,0.004542059,0.010036278,49799.93951612903
2017,0.10610932475884244,0.4340836012861736,2.917254283022508,3.057302568787879,0.25824038163552027,0.702132557202036,0.039627061162443654,0.016813856913183278,0.3007325755552487,20.47468838874598,0.017009532424242423,0.005751244545454545,0.006373192727272728,51152.81993569132
2018,0.16666666666666666,0.6953125,2.913220973125,2.993203204375,0.259017223382968,0.703784674208054,0.03719810240897798,0.016782775338541667,0.3002931648596825,20.569500382369792,0.02287735015625,0.00579356984375,0.0070561134375,51611.635416666664
2019,0.22448979591836735,0.9795918367346939,2.9084264399092974,3.0018406392929293,0.24984925351516787,0.7157679742040578,0.03438277228077424,0.01701409986394558,0.30375408237312823,20.56574815632653,0.02071142767676768,0.009024504747474748,0.008360618181818182,51429.179138322
2020,0.2757847533632287,1.3789237668161436,2.9040343928026906,2.9943537375609752,0.24825860026182292,0.7181197356464725,0.03362166409170446,0.01706721571748879,0.29759947501093054,20.636855925852018,0.020005957479674794,0.010114417723577237,0.00975967569105691,58001.64349775785
2021,0.3116883116883117,1.5952380952380953,2.9030481245238096,2.9847157150694446,0.23892981300125474,0.72786505666608,0.033205130332665214,0.017361497575757574,0.29609371706578824,20.690612027943722,0.0204567575,0.010528111666666666,0.009365471944444445,56964.493506493505
2022,0.35456475583864117,1.872611464968153,2.902210867983015,2.9506996165662653,0.23314911759725182,0.7340804672846265,0.03277041511812162,0.01745230229299363,0.29616282140977584,20.755175857324843,0.019176629041916166,0.012212874790419163,0.012284190419161676,58009.49681528663
2023,0.6826722338204593,6.225469728601253,2.8987624537787053,2.792480911284404,0.22306733868478426,0.7448144985729604,0.032118162742255214,0.017768376012526094,0.29510541791733147,20.831561455553235,0.015607392905198775,0.02962390740061162,0.025793060764525994,58149.19832985386
2024,0.8850102669404517,11.706365503080082,2.8962914841273104,2.7411476831322505,0.217387116806511,0.7503539683716884,0.032258914821800516,0.017990700123203286,0.2955604311664751,20.878191541540044,0.013328781160092807,0.0357157935962877,0.02955920800464037,58819.90759753594
2025,0.9669421487603306,17.892561983471076,2.892020710640496,2.7356576442521368,0.21414653606500655,0.7533904280103063,0.032463035924687085,0.018301716508264464,0.2949232708456318,20.88251637801653,0.013919404401709402,0.03719279844017095,0.029731935833333334,59030.57231404959
