company_id,cik,accession_number,object_key,sha256,file_size,upload_status
S2020-001,0000066740,0001558370-21-000737,2020/sample_500/html/raw/0000066740/0001558370-21-000737.html,c7a9bfd5d8d324027d00767e6ed2c5143173c7d54f8e098da7563b3d72528a27,9544083,uploaded
S2020-002,0000091142,0000091142-21-000025,2020/sample_500/html/raw/0000091142/0000091142-21-000025.html,f568ad53089495ff87c0afe060cba901ffb78d72fbe624c7dc5c6bfc7c94e70d,2588670,uploaded
S2020-003,0000874761,0000874761-21-000015,2020/sample_500/html/raw/0000874761/0000874761-21-000015.html,625808ec7c652d4b998ec970088332184da8036c7221b1971561595e922a0945,7999658,uploaded
S2020-004,0000732717,0000732717-21-000012,2020/sample_500/html/raw/0000732717/0000732717-21-000012.html,99c28dc1a49276b1982aa0438b854393df54669af3e0c30eaf053bf62c56b4e2,6678357,uploaded
S2020-005,0001551152,0001551152-21-000008,2020/sample_500/html/raw/0001551152/0001551152-21-000008.html,37bce638ae109a33af84e1eec2381bc7e45e20f5dd8f83ed25cc9fef4930ba78,4917702,uploaded
S2020-006,0000001800,0001104659-21-025751,2020/sample_500/html/raw/0000001800/0001104659-21-025751.html,35bda6fc4c716a0f7c70fbd777207fd8e38bda16923dccca979d17f2bd89b2ef,4280199,uploaded
S2020-007,0001467373,0001467373-20-000376,2020/sample_500/html/raw/0001467373/0001467373-20-000376.html,7fb49a3781e55cdeea771628b38ab72019b114a300623b9a6ee450c896706552,4379363,uploaded
S2020-008,0000796343,0000796343-21-000004,2020/sample_500/html/raw/0000796343/0000796343-21-000004.html,93429e582e35ac090e104121fc58aa1071ba0558c55afae2af5ab3e9a843bdd7,3594607,uploaded
S2020-009,0000002488,0001628280-21-001185,2020/sample_500/html/raw/0000002488/0001628280-21-001185.html,0701e9d39b48a773884521b74118a1540a4eda2241e27290035cafd82d6b4c96,2403831,uploaded
S2020-010,0000004977,0000004977-21-000047,2020/sample_500/html/raw/0000004977/0000004977-21-000047.html,c0cdd36ffbb70a40d8c9a6fbc9babd36e55c40c107f50246edb26b55b8b029d2,9978706,uploaded
S2020-011,0001090872,0001090872-20-000020,2020/sample_500/html/raw/0001090872/0001090872-20-000020.html,5a6e9ac9d70ec338e81bce8e673d711d7911935812de3aee9f938a3b556e419c,4456779,uploaded
S2020-012,0000002969,0000002969-20-000049,2020/sample_500/html/raw/0000002969/0000002969-20-000049.html,45b68f2457c6de4d2f301791e4a0d5453ba21d06e936fdc95725d949db0f17d0,5035850,uploaded
S2020-013,0001086222,0001086222-21-000075,2020/sample_500/html/raw/0001086222/0001086222-21-000075.html,67a51e2b7fa5720b2ff789cda90bbf91d4c821cdb0a25790da00ead28d9182c3,3094300,uploaded
S2020-014,0000766421,0000766421-21-000018,2020/sample_500/html/raw/0000766421/0000766421-21-000018.html,03739c075a6b181c05c45e6a5bbafc230eda6ed53bf72092c2ce6783fa7eeb27,3393971,uploaded
