company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,report_concreteness_mean,report_concreteness_median,report_concreteness_standard_deviation,report_concreteness_min,report_concreteness_max,report_concreteness_matched_token_count,report_concreteness_eligible_token_count,report_concreteness_unmatched_token_count,report_concreteness_coverage,report_concreteness_unique_dictionary_entries,report_concreteness_stem_collision_count,report_concreteness_status
P2025-001,0001754301,FOXA|FOX,Fox Corporation (Class A)|Fox Corporation (Class B),0001628280-25-038077,2025,2025-08-06,1.0.3,0.3.0,2.989241667571382,2.89,0.8797254060437638,1.26,5.0,18422,24747,6325,0.7444134642582939,2086,4265,warning_stem_collisions
P2025-002,0001973266,TKO,TKO Group Holdings,0001193125-26-071651,2025,2026-02-25,1.0.3,0.3.0,2.8693015604854843,2.79,0.7924727298135379,1.19,5.0,44986,62311,17325,0.7219592046348157,2578,10915,warning_stem_collisions
P2025-003,0001335258,LYV,Live Nation Entertainment,0001335258-26-000009,2025,2026-02-19,1.0.3,0.3.0,2.896402291600967,2.82,0.8041924087546111,1.19,5.0,19026,25348,6322,0.750591762663721,2118,4942,warning_stem_collisions
P2025-004,0001744489,DIS,Walt Disney Company (The),0001744489-25-000155,2025,2025-11-13,1.0.3,0.3.0,2.9865191213133264,2.89,0.8506340558404125,1.26,5.0,21259,29686,8427,0.7161288149295965,2159,5644,warning_stem_collisions
P2025-005,0001065088,EBAY,eBay Inc.,0001065088-26-000027,2025,2026-02-19,1.0.3,0.3.0,2.8618023023023023,2.74,0.8226869597778327,1.19,5.0,19980,26297,6317,0.7597824846940716,2189,4925,warning_stem_collisions
P2025-006,0000815097,CCL,Carnival Corporation,0000815097-26-000007,2025,2026-01-27,1.0.3,0.3.0,2.9701923450553718,2.86,0.8626306012550012,1.19,5.0,15441,20670,5229,0.7470246734397678,2164,3720,warning_stem_collisions
P2025-007,0001121788,GRMN,Garmin,0001193125-26-056028,2025,2026-02-18,1.0.3,0.3.0,2.9143742903687615,2.86,0.8279006130533196,1.26,5.0,20257,27894,7637,0.7262135226213523,2029,5216,warning_stem_collisions
P2025-008,0001403568,ULTA,Ulta Beauty,0001558370-25-003810,2025,2025-03-27,1.0.3,0.3.0,2.958506933035421,2.87,0.8531149422287193,1.23,5.0,15217,19666,4449,0.7737719922709244,1922,3294,warning_stem_collisions
P2025-009,0001286681,DPZ,Domino's,0001193125-26-062321,2025,2026-02-23,1.0.3,0.3.0,2.947210227492179,2.87,0.8410117115005868,1.19,5.0,25891,34119,8228,0.7588440458395616,2050,5608,warning_stem_collisions
P2025-010,0000109198,TJX,TJX Companies,0000109198-25-000010,2025,2025-04-02,1.0.3,0.3.0,2.892630225080386,2.82,0.8277307780319507,1.26,5.0,13995,18687,4692,0.7489163589661262,1853,3452,warning_stem_collisions
P2025-011,0000906163,NVR,"NVR, Inc.",0000906163-26-000018,2025,2026-02-11,1.0.3,0.3.0,2.8994311541271,2.85,0.8009512672071063,1.19,4.96,10952,14421,3469,0.759448027182581,1381,2644,warning_stem_collisions
P2025-012,0001792789,DASH,DoorDash,0001792789-26-000013,2025,2026-02-18,1.0.3,0.3.0,2.8412292719446004,2.74,0.8164327447825144,1.19,5.0,26715,35596,8881,0.7505056747949208,2384,6682,warning_stem_collisions
P2025-013,0001513761,NCLH,Norwegian Cruise Line Holdings,0001104659-26-022067,2025,2026-03-02,1.0.3,0.3.0,2.90878105165819,2.81,0.8268967926426737,1.19,5.0,23791,31747,7956,0.7493936434938734,2349,5650,warning_stem_collisions
P2025-014,0000037996,F,Ford Motor Company,0000037996-26-000015,2025,2026-02-11,1.0.3,0.3.0,2.9475962803218008,2.82,0.8435046631290389,1.26,5.0,32691,43339,10648,0.754309051893214,2548,7806,warning_stem_collisions
P2025-015,0000313927,CHD,Church & Dwight,0001193125-26-048139,2025,2026-02-12,1.0.3,0.3.0,2.966980233842404,2.86,0.8517234836884495,1.19,5.0,26257,35423,9166,0.7412415662140417,2336,6590,warning_stem_collisions
