report_year,firm_year_count,unique_company_count,ai_disclosure_count,ai_disclosure_rate
2006,12,12,0,0.0
2007,20,20,0,0.0
2008,35,35,0,0.0
2009,39,39,1,0.02564102564102564
2010,46,46,1,0.021739130434782608
2011,51,51,2,0.0392156862745098
2012,69,69,2,0.028985507246376812
2013,96,96,2,0.020833333333333332
2014,136,136,2,0.014705882352941176
2015,180,180,4,0.022222222222222223
2016,248,248,10,0.04032258064516129
2017,311,311,33,0.10610932475884244
2018,384,384,64,0.16666666666666666
2019,441,441,99,0.22448979591836735
2020,446,446,123,0.2757847533632287
2021,462,462,144,0.3116883116883117
2022,471,471,167,0.35456475583864117
2023,479,479,327,0.6826722338204593
2024,487,487,431,0.8850102669404517
2025,484,484,468,0.9669421487603306
