sample,method,variable_1,variable_2,correlation,pairwise_N,pvalue
full_sample,pearson,ai_disclosure,ai_disclosure,0.9999999999999988,4897,0.0
full_sample,pearson,ai_disclosure,ai_sentence_count,0.4629965135163951,4897,8.771216908498335e-259
full_sample,pearson,ai_disclosure,log1p_ai_sentence_count,0.8255436608416058,4897,0.0
full_sample,pearson,ai_disclosure,whole_report_concreteness,-0.23750269260412693,4897,9.223267103144635e-64
full_sample,pearson,ai_disclosure,ai_concreteness,,1879,
full_sample,pearson,ai_disclosure,past_tense_share,-0.32909816402943987,4897,4.928820881907034e-124
full_sample,pearson,ai_disclosure,present_tense_share,0.35209176241705264,4897,6.708878404202903e-143
full_sample,pearson,ai_disclosure,future_tense_share,-0.12102153217905269,4897,1.9288193681629607e-17
full_sample,pearson,ai_disclosure,ai_past_tense_share,,1808,
full_sample,pearson,ai_disclosure,ai_present_tense_share,,1808,
full_sample,pearson,ai_disclosure,ai_future_tense_share,,1808,
full_sample,pearson,ai_disclosure,lm_positive_share,0.23809448353230525,4897,4.433152290679286e-64
full_sample,pearson,ai_disclosure,lm_negative_share,0.27514127823383927,4897,8.719283026796323e-86
full_sample,pearson,ai_disclosure,lm_uncertainty_share,0.2642483595960711,4897,4.935821123914807e-79
full_sample,pearson,ai_disclosure,passive_voice_sentence_share,-0.13408883433289043,4897,4.361616010036252e-21
full_sample,pearson,ai_disclosure,fog_index,0.16552451241677513,4897,2.0229631103005686e-31
full_sample,pearson,ai_disclosure,ai_lm_positive_share,,1880,
full_sample,pearson,ai_disclosure,ai_lm_negative_share,,1880,
full_sample,pearson,ai_disclosure,ai_lm_uncertainty_share,,1880,
full_sample,pearson,ai_disclosure,ai_passive_voice_sentence_share,,1880,
full_sample,pearson,ai_disclosure,ai_fog_index,,1880,
full_sample,pearson,ai_disclosure,log_report_word_count,0.1573163271240514,4897,1.6590705100142077e-28
full_sample,pearson,ai_disclosure,report_word_count,0.10139013534612931,4897,1.1465751917154828e-12
full_sample,pearson,ai_disclosure,numeric_token_share,-0.31293619236692066,4897,1.0288843658705265e-111
full_sample,pearson,ai_disclosure,average_word_length,0.22104906063167726,4897,2.8914949547331856e-55
full_sample,pearson,ai_disclosure,lexical_density,0.06746435818635386,4897,2.298461585138127e-06
full_sample,pearson,ai_disclosure,root_type_token_ratio,0.20716383311962616,4897,1.2974353101396064e-48
full_sample,pearson,ai_sentence_count,ai_sentence_count,1.0,4897,0.0
full_sample,pearson,ai_sentence_count,log1p_ai_sentence_count,0.8009621065546806,4897,0.0
full_sample,pearson,ai_sentence_count,whole_report_concreteness,-0.18743033767190687,4897,5.875577645401278e-40
full_sample,pearson,ai_sentence_count,ai_concreteness,-0.0431272099043958,1879,0.06161176165203912
full_sample,pearson,ai_sentence_count,past_tense_share,-0.2665515237870557,4897,1.9574227096412458e-80
full_sample,pearson,ai_sentence_count,present_tense_share,0.2743818877142871,4897,2.6391355255401457e-85
full_sample,pearson,ai_sentence_count,future_tense_share,-0.04602095044830997,4897,0.0012758163914282025
full_sample,pearson,ai_sentence_count,ai_past_tense_share,-0.019515897887852986,1808,0.4069163200636508
full_sample,pearson,ai_sentence_count,ai_present_tense_share,0.0130706560809636,1808,0.5786133809320878
full_sample,pearson,ai_sentence_count,ai_future_tense_share,0.008441243858127744,1808,0.7198309219621128
full_sample,pearson,ai_sentence_count,lm_positive_share,0.20267251554444637,4897,1.4616272087825218e-46
full_sample,pearson,ai_sentence_count,lm_negative_share,0.25471212234389506,4897,2.236264508440796e-73
full_sample,pearson,ai_sentence_count,lm_uncertainty_share,0.22366577258800485,4897,1.428182940503292e-56
full_sample,pearson,ai_sentence_count,passive_voice_sentence_share,-0.15906200175502108,4897,4.1022963125534783e-29
full_sample,pearson,ai_sentence_count,fog_index,0.09319191208683042,4897,6.403826865294167e-11
full_sample,pearson,ai_sentence_count,ai_lm_positive_share,-0.059524159565985814,1880,0.009837809083367998
full_sample,pearson,ai_sentence_count,ai_lm_negative_share,0.027233721429024662,1880,0.2378969976063622
full_sample,pearson,ai_sentence_count,ai_lm_uncertainty_share,0.006693206926767649,1880,0.7718003503380396
full_sample,pearson,ai_sentence_count,ai_passive_voice_sentence_share,0.014919946474275815,1880,0.5179431754765563
full_sample,pearson,ai_sentence_count,ai_fog_index,-0.11872206360910383,1880,2.4366063960796186e-07
full_sample,pearson,ai_sentence_count,log_report_word_count,0.09414259328703278,4897,4.08542220369196e-11
full_sample,pearson,ai_sentence_count,report_word_count,0.059532445487267605,4897,3.0643707590577424e-05
full_sample,pearson,ai_sentence_count,numeric_token_share,-0.2635918322580953,4897,1.2312972768859217e-78
full_sample,pearson,ai_sentence_count,average_word_length,0.12300551978436354,4897,5.70186714637485e-18
full_sample,pearson,ai_sentence_count,lexical_density,0.007391062402719305,4897,0.6050926450427777
full_sample,pearson,ai_sentence_count,root_type_token_ratio,0.16244885644796572,4897,2.6053504923310064e-30
full_sample,pearson,log1p_ai_sentence_count,log1p_ai_sentence_count,1.0,4897,0.0
full_sample,pearson,log1p_ai_sentence_count,whole_report_concreteness,-0.25921923772358396,4897,5.0784990018640454e-76
full_sample,pearson,log1p_ai_sentence_count,ai_concreteness,-0.1662174115675488,1879,4.1432586840106615e-13
full_sample,pearson,log1p_ai_sentence_count,past_tense_share,-0.3569058516122135,4897,4.6912782378189484e-147
full_sample,pearson,log1p_ai_sentence_count,present_tense_share,0.3758456316535365,4897,4.055676208542475e-164
full_sample,pearson,log1p_ai_sentence_count,future_tense_share,-0.10235630639642435,4897,6.982234720905079e-13
full_sample,pearson,log1p_ai_sentence_count,ai_past_tense_share,-0.07470576972684023,1808,0.0014789699293298116
full_sample,pearson,log1p_ai_sentence_count,ai_present_tense_share,0.057325407093787396,1808,0.014775769995592488
full_sample,pearson,log1p_ai_sentence_count,ai_future_tense_share,0.018279974477617464,1808,0.4372752883225789
full_sample,pearson,log1p_ai_sentence_count,lm_positive_share,0.2602798780663872,4897,1.1910178044366884e-76
full_sample,pearson,log1p_ai_sentence_count,lm_negative_share,0.3157018319825375,4897,9.077343758934454e-114
full_sample,pearson,log1p_ai_sentence_count,lm_uncertainty_share,0.29058638422345895,4897,6.618506349588831e-96
full_sample,pearson,log1p_ai_sentence_count,passive_voice_sentence_share,-0.15834129751689444,4897,7.318153090500356e-29
full_sample,pearson,log1p_ai_sentence_count,fog_index,0.16538354634373567,4897,2.2768306991323796e-31
full_sample,pearson,log1p_ai_sentence_count,ai_lm_positive_share,-0.0952590260870251,1880,3.5188174923233236e-05
full_sample,pearson,log1p_ai_sentence_count,ai_lm_negative_share,0.13967471164457074,1880,1.1872336029377234e-09
full_sample,pearson,log1p_ai_sentence_count,ai_lm_uncertainty_share,0.10937089976629258,1880,2.0010273693959105e-06
full_sample,pearson,log1p_ai_sentence_count,ai_passive_voice_sentence_share,0.03778066209899336,1880,0.10149981851202139
full_sample,pearson,log1p_ai_sentence_count,ai_fog_index,-0.1528773169652833,1880,2.675682998092319e-11
full_sample,pearson,log1p_ai_sentence_count,log_report_word_count,0.1539412976139002,4897,2.363024941106915e-27
full_sample,pearson,log1p_ai_sentence_count,report_word_count,0.10374124870087813,4897,3.4018063992467366e-13
full_sample,pearson,log1p_ai_sentence_count,numeric_token_share,-0.34111873913178836,4897,1.0715857976047502e-133
full_sample,pearson,log1p_ai_sentence_count,average_word_length,0.21472657570235132,4897,3.533478459401174e-52
full_sample,pearson,log1p_ai_sentence_count,lexical_density,0.049462069709652404,4897,0.000535141145369432
full_sample,pearson,log1p_ai_sentence_count,root_type_token_ratio,0.20915629491334545,4897,1.5393005191345194e-49
full_sample,pearson,whole_report_concreteness,whole_report_concreteness,1.0,4897,0.0
full_sample,pearson,whole_report_concreteness,ai_concreteness,0.1558679051178,1879,1.0941672442719196e-11
full_sample,pearson,whole_report_concreteness,past_tense_share,0.25596607822296463,4897,4.161593917044472e-74
full_sample,pearson,whole_report_concreteness,present_tense_share,-0.2510583600762745,4897,2.8459934123978436e-71
full_sample,pearson,whole_report_concreteness,future_tense_share,-0.015678520084491825,4897,0.2726642501628107
full_sample,pearson,whole_report_concreteness,ai_past_tense_share,0.06452678206181531,1808,0.006057002048883847
full_sample,pearson,whole_report_concreteness,ai_present_tense_share,-0.08073832772457605,1808,0.0005897666391644958
full_sample,pearson,whole_report_concreteness,ai_future_tense_share,0.044300144087735215,1808,0.059661105231304454
full_sample,pearson,whole_report_concreteness,lm_positive_share,-0.09585758128149897,4897,1.7955895926337635e-11
full_sample,pearson,whole_report_concreteness,lm_negative_share,-0.4291117278344519,4897,1.2806545058752388e-218
full_sample,pearson,whole_report_concreteness,lm_uncertainty_share,-0.5296200621534568,4897,0.0
full_sample,pearson,whole_report_concreteness,passive_voice_sentence_share,-0.1318517903399598,4897,1.9522691347737025e-20
full_sample,pearson,whole_report_concreteness,fog_index,-0.3900814266160402,4897,1.0215433682504474e-177
full_sample,pearson,whole_report_concreteness,ai_lm_positive_share,0.07064401159554698,1880,0.0021778377157053966
full_sample,pearson,whole_report_concreteness,ai_lm_negative_share,-0.002158546231178025,1880,0.9254823624566131
full_sample,pearson,whole_report_concreteness,ai_lm_uncertainty_share,-0.0534613118362224,1880,0.02044153077870997
full_sample,pearson,whole_report_concreteness,ai_passive_voice_sentence_share,-0.013072298702670963,1880,0.5710888723877992
