variable,ai_disclosure,ai_sentence_count,log1p_ai_sentence_count,whole_report_concreteness,ai_concreteness,past_tense_share,present_tense_share,future_tense_share,ai_past_tense_share,ai_present_tense_share,ai_future_tense_share,lm_positive_share,lm_negative_share,lm_uncertainty_share,passive_voice_sentence_share,fog_index,ai_lm_positive_share,ai_lm_negative_share,ai_lm_uncertainty_share,ai_passive_voice_sentence_share,ai_fog_index,log_report_word_count,report_word_count,numeric_token_share,average_word_length,lexical_density,root_type_token_ratio
ai_disclosure,0.9999999999999988,0.4629965135163951,0.8255436608416058,-0.23750269260412693,,-0.32909816402943987,0.35209176241705264,-0.12102153217905269,,,,0.23809448353230525,0.27514127823383927,0.2642483595960711,-0.13408883433289043,0.16552451241677513,,,,,,0.1573163271240514,0.10139013534612931,-0.31293619236692066,0.22104906063167726,0.06746435818635386,0.20716383311962616
ai_sentence_count,0.4629965135163951,1.0,0.8009621065546806,-0.18743033767190687,-0.0431272099043958,-0.2665515237870557,0.2743818877142871,-0.04602095044830997,-0.019515897887852986,0.0130706560809636,0.008441243858127744,0.20267251554444637,0.25471212234389506,0.22366577258800485,-0.15906200175502108,0.09319191208683042,-0.059524159565985814,0.027233721429024662,0.006693206926767649,0.014919946474275815,-0.11872206360910383,0.09414259328703278,0.059532445487267605,-0.2635918322580953,0.12300551978436354,0.007391062402719305,0.16244885644796572
log1p_ai_sentence_count,0.8255436608416058,0.8009621065546806,1.0,-0.25921923772358396,-0.1662174115675488,-0.3569058516122135,0.3758456316535365,-0.10235630639642435,-0.07470576972684023,0.057325407093787396,0.018279974477617464,0.2602798780663872,0.3157018319825375,0.29058638422345895,-0.15834129751689444,0.16538354634373567,-0.0952590260870251,0.13967471164457074,0.10937089976629258,0.03778066209899336,-0.1528773169652833,0.1539412976139002,0.10374124870087813,-0.34111873913178836,0.21472657570235132,0.049462069709652404,0.20915629491334545
whole_report_concreteness,-0.23750269260412693,-0.18743033767190687,-0.25921923772358396,1.0,0.1558679051178,0.25596607822296463,-0.2510583600762745,-0.015678520084491825,0.06452678206181531,-0.08073832772457605,0.044300144087735215,-0.09585758128149897,-0.4291117278344519,-0.5296200621534568,-0.1318517903399598,-0.3900814266160402,0.07064401159554698,-0.002158546231178025,-0.0534613118362224,-0.013072298702670963,0.07394617454447325,-0.3105943012888444,-0.24208807148622108,0.3325627310947764,-0.2300692984783116,0.15117839595610066,0.1590000620134595
ai_concreteness,,-0.0431272099043958,-0.1662174115675488,0.1558679051178,1.0,0.047832055836734264,-0.06973905524046424,0.09672921596153107,0.21018985827346953,-0.16936484462621884,-0.03589020803784055,0.1153881409136971,-0.03319494705742528,-0.031860613418857466,-0.11755634705349577,-0.12223673376117013,0.03291903385500522,-0.4677309524955477,-0.5451457204203005,-0.01030924743325876,-0.042858547850838216,-0.14759601443999906,-0.1431199725816533,-0.016032596718996813,-0.10455864772537103,-0.15385051106807052,0.13550516582064218
past_tense_share,-0.32909816402943987,-0.2665515237870557,-0.3569058516122135,0.25596607822296463,0.047832055836734264,1.0,-0.9783399721337461,-0.07323292068234809,0.06984614725564914,-0.07817698872053262,0.03021394758067331,-0.26945865254320395,-0.2038318105465216,-0.4008670341029992,0.04328179786386988,-0.11614586419142989,0.06268449880032549,-0.033526556614804685,-0.04401336086090309,0.003467020924784469,0.13413988516987224,0.14321279250702038,0.11447806033589242,0.6065933637990241,-0.13546901699615904,0.03084951156367324,-0.30588151228152327
present_tense_share,0.35209176241705264,0.2743818877142871,0.3758456316535365,-0.2510583600762745,-0.06973905524046424,-0.9783399721337461,0.9999999999999998,-0.13480205782023608,-0.0726397719034518,0.08739546264231923,-0.04314563240095816,0.2572444026490562,0.21019979429384808,0.3894033458642921,-0.044564720692279215,0.09595506402592663,-0.061060863474087054,0.04609362124374517,0.05802125673233012,-0.011733231862140852,-0.1275112515211472,-0.14755116158675016,-0.11848966295634802,-0.5852217459558471,0.20291972644021153,0.04913072973902965,0.31122944160898514
future_tense_share,-0.12102153217905269,-0.04602095044830997,-0.10235630639642435,-0.015678520084491825,0.09672921596153107,-0.07323292068234809,-0.13480205782023608,1.0,0.011343355001717889,-0.03933314614923428,0.056168833393272125,0.0504603062770531,-0.03702349868592795,0.04275457951836611,0.007527915714145833,0.0936613866090094,-0.007057327131107894,-0.055490285390361556,-0.061863413756944055,0.03646869504971122,-0.029015468811544372,0.025358579259760462,0.02288999961714137,-0.08408685779979172,-0.3291827037718554,-0.38437187527965155,-0.03528499189965339
ai_past_tense_share,,-0.019515897887852986,-0.07470576972684023,0.06452678206181531,0.21018985827346953,0.06984614725564914,-0.0726397719034518,0.011343355001717889,1.0,-0.8552952465292367,-0.07544268741145395,0.09802922468846259,-0.06454340407744966,-0.07687752261293698,0.023314649683912052,-0.054498029304851106,0.09259039289714735,-0.15897892263373664,-0.17321417399554323,-0.0317212159236209,-0.04679739926733355,0.014432202151860196,0.009474871658911267,0.029834100497986557,-0.005838277055326676,0.005276433847816207,-0.005374012352061918
ai_present_tense_share,,0.0130706560809636,0.057325407093787396,-0.08073832772457605,-0.16936484462621884,-0.07817698872053262,0.08739546264231923,-0.03933314614923428,-0.8552952465292367,1.0,-0.4521385460030577,-0.11211584459963705,0.05395720023675347,0.0959555103332094,-0.025775975732638026,0.046629505427245435,-0.13199688261853323,0.1799745258130342,0.18346775659460113,0.053678982815638376,0.06163837645720831,-0.0036883876627655503,0.006535356445959611,-0.04286261506529527,-0.00036730471985547443,-0.012290202328732427,-8.278645667111634e-05
