report_year,firm_year_count,unique_company_count,ai_disclosure_count,ai_disclosure_rate,mean_ai_disclosure_all,mean_ai_disclosure_disclosers,mean_ai_sentence_count_all,mean_ai_sentence_count_disclosers,mean_whole_report_concreteness_all,mean_ai_concreteness_all,mean_ai_concreteness_disclosers,mean_past_tense_share_all,mean_present_tense_share_all,mean_future_tense_share_all,mean_lm_uncertainty_share_all,mean_passive_voice_sentence_share_all,mean_fog_index_all,mean_ai_lm_positive_share_all,mean_ai_lm_positive_share_disclosers,mean_ai_lm_negative_share_all,mean_ai_lm_negative_share_disclosers,mean_ai_lm_uncertainty_share_all,mean_ai_lm_uncertainty_share_disclosers,mean_report_word_count_all
2006,12,12,0,0.0,0.0,,0.0,,2.9582774883333336,,,0.2654405191545839,0.693427659724124,0.04113182112129215,0.016162266666666664,0.271188672888645,19.460755196666668,,,,,,,30799.916666666668
2007,20,20,0,0.0,0.0,,0.0,,2.962718763,,,0.27932746262298924,0.6812463552895132,0.03942618208749764,0.015174432999999998,0.2826025740319434,19.692139059,,,,,,,40728.75
2008,35,35,0,0.0,0.0,,0.0,,2.955034749142857,,,0.27617170659010926,0.6847724354391816,0.03905585797070902,0.01551154914285714,0.2913460004849198,19.607088190000002,,,,,,,46613.25714285715
2009,39,39,1,0.02564102564102564,0.02564102564102564,1.0,0.02564102564102564,1.0,2.945210168974359,2.98454545,2.98454545,0.27650618186790166,0.6862345870589813,0.03725923107311697,0.015548332307692312,0.2972279955616706,19.74429405923077,0.04545455,0.04545455,0.0,0.0,0.0,0.0,47685.07692307692
2010,46,46,1,0.021739130434782608,0.021739130434782608,1.0,0.021739130434782608,1.0,2.94446437826087,2.71692308,2.71692308,0.27095623805411584,0.692113881888223,0.036929880057661096,0.01572113195652174,0.2997095274504256,19.987949281086955,0.0,0.0,0.0,0.0,0.0,0.0,48296.565217391304
2011,51,51,2,0.0392156862745098,0.0392156862745098,1.0,0.0392156862745098,1.0,2.93290956372549,2.73703297,2.73703297,0.2675353624258677,0.6947386709208226,0.03772596665330953,0.015856150980392156,0.30011115595750004,20.232924266274512,0.0,0.0,0.0,0.0,0.0,0.0,52855.80392156863
2012,69,69,2,0.028985507246376812,0.028985507246376812,1.0,0.043478260869565216,1.5,2.9321778830434786,3.222444445,3.222444445,0.2599708695498297,0.7043885650776864,0.035640565372483966,0.016064294782608693,0.30268455344667006,20.371289633188404,0.0,0.0,0.0,0.0,0.0,0.0,55246.188405797104
2013,96,96,2,0.020833333333333332,0.020833333333333332,1.0,0.020833333333333332,1.0,2.9342402196874997,2.88709091,2.88709091,0.25935223995926454,0.7046777157684057,0.0359700442723297,0.016274338645833334,0.30144783642725564,20.37404459489583,0.0,0.0,0.016666665,0.016666665,0.0,0.0,52704.145833333336
2014,136,136,2,0.014705882352941176,0.014705882352941176,1.0,0.014705882352941176,1.0,2.930681361691176,2.996728395,2.996728395,0.2637469393073668,0.699953168788571,0.03629989190406211,0.01647009661764706,0.30479187699703036,20.410504750735296,0.019900685,0.019900685,0.014285715,0.014285715,0.01168831,0.01168831,51781.64705882353
2015,180,180,4,0.022222222222222223,0.022222222222222223,1.0,0.07222222222222222,3.25,2.9286414033333332,2.98043464,2.98043464,0.26221334546935776,0.7008654628766945,0.036921191653947624,0.01650507311111111,0.3037388964038481,20.413492156388887,0.0075974025,0.0075974025,0.0222943725,0.0222943725,0.0068772125,0.0068772125,50846.87222222222
