variable,disclosure_N,disclosure_mean,non_disclosure_N,non_disclosure_mean,mean_difference,standardized_mean_difference,welch_t,welch_pvalue
whole_report_concreteness,1880,2.893490332611702,3017,2.9179428196552863,-0.02445248704358427,-0.5026331458886668,-18.10808053385637,7.051368856293504e-71
past_tense_share,1880,0.2200218482517317,3017,0.25505171774958363,-0.03502986949785192,-0.7164605145039945,-25.351917592383007,1.3309041561482882e-132
present_tense_share,1880,0.7470925249988773,3017,0.7093715056629392,0.03772101933593819,0.7733406702583884,27.339941614910853,2.7187863123943404e-152
future_tense_share,1880,0.03288562674939082,3017,0.03557677658747725,-0.0026911498380864304,-0.25063480022835544,-8.774055889238621,2.4353695243204373e-18
lm_uncertainty_share,1880,0.018163543813829786,3017,0.016646181054027178,0.0015173627598026075,0.5632553187481624,19.391799777142605,3.0030044668101872e-80
passive_voice_sentence_share,1880,0.2923825969765893,3017,0.30188401596786596,-0.009501418991276656,-0.2781680387738022,-9.644747208352022,8.662699376956103e-22
fog_index,1880,20.848002115462766,3017,20.49762470326152,0.3503774122012473,0.3450401546477786,12.033150734571088,7.972561334454121e-33
report_word_count,1880,58601.18191489362,3017,52974.86112031819,5626.320794575426,0.20951462360658551,7.4505756831907535,1.1069058813531061e-13
lm_positive_share,1880,0.006147126744680851,3017,0.005373145495525356,0.0007739812491554948,0.5039607346036374,17.353609388404784,3.5742448700578863e-65
lm_negative_share,1880,0.02009179573404255,3017,0.01756416203513424,0.002527633698908311,0.5883350661427007,20.217788808178547,9.882274587327199e-87
