sample,variable_1,variable_2,pairwise_N
full_sample,ai_disclosure,ai_disclosure,4897
full_sample,ai_disclosure,ai_sentence_count,4897
full_sample,ai_disclosure,log1p_ai_sentence_count,4897
full_sample,ai_disclosure,whole_report_concreteness,4897
full_sample,ai_disclosure,ai_concreteness,1879
full_sample,ai_disclosure,past_tense_share,4897
full_sample,ai_disclosure,present_tense_share,4897
full_sample,ai_disclosure,future_tense_share,4897
full_sample,ai_disclosure,ai_past_tense_share,1808
full_sample,ai_disclosure,ai_present_tense_share,1808
full_sample,ai_disclosure,ai_future_tense_share,1808
full_sample,ai_disclosure,lm_positive_share,4897
full_sample,ai_disclosure,lm_negative_share,4897
full_sample,ai_disclosure,lm_uncertainty_share,4897
full_sample,ai_disclosure,passive_voice_sentence_share,4897
full_sample,ai_disclosure,fog_index,4897
full_sample,ai_disclosure,ai_lm_positive_share,1880
full_sample,ai_disclosure,ai_lm_negative_share,1880
full_sample,ai_disclosure,ai_lm_uncertainty_share,1880
full_sample,ai_disclosure,ai_passive_voice_sentence_share,1880
full_sample,ai_disclosure,ai_fog_index,1880
full_sample,ai_disclosure,log_report_word_count,4897
full_sample,ai_disclosure,report_word_count,4897
full_sample,ai_disclosure,numeric_token_share,4897
full_sample,ai_disclosure,average_word_length,4897
full_sample,ai_disclosure,lexical_density,4897
full_sample,ai_disclosure,root_type_token_ratio,4897
full_sample,ai_sentence_count,ai_sentence_count,4897
full_sample,ai_sentence_count,log1p_ai_sentence_count,4897
full_sample,ai_sentence_count,whole_report_concreteness,4897
full_sample,ai_sentence_count,ai_concreteness,1879
full_sample,ai_sentence_count,past_tense_share,4897
full_sample,ai_sentence_count,present_tense_share,4897
full_sample,ai_sentence_count,future_tense_share,4897
full_sample,ai_sentence_count,ai_past_tense_share,1808
full_sample,ai_sentence_count,ai_present_tense_share,1808
full_sample,ai_sentence_count,ai_future_tense_share,1808
full_sample,ai_sentence_count,lm_positive_share,4897
full_sample,ai_sentence_count,lm_negative_share,4897
full_sample,ai_sentence_count,lm_uncertainty_share,4897
full_sample,ai_sentence_count,passive_voice_sentence_share,4897
full_sample,ai_sentence_count,fog_index,4897
full_sample,ai_sentence_count,ai_lm_positive_share,1880
full_sample,ai_sentence_count,ai_lm_negative_share,1880
full_sample,ai_sentence_count,ai_lm_uncertainty_share,1880
full_sample,ai_sentence_count,ai_passive_voice_sentence_share,1880
full_sample,ai_sentence_count,ai_fog_index,1880
full_sample,ai_sentence_count,log_report_word_count,4897
full_sample,ai_sentence_count,report_word_count,4897
full_sample,ai_sentence_count,numeric_token_share,4897
full_sample,ai_sentence_count,average_word_length,4897
full_sample,ai_sentence_count,lexical_density,4897
full_sample,ai_sentence_count,root_type_token_ratio,4897
full_sample,log1p_ai_sentence_count,log1p_ai_sentence_count,4897
full_sample,log1p_ai_sentence_count,whole_report_concreteness,4897
full_sample,log1p_ai_sentence_count,ai_concreteness,1879
full_sample,log1p_ai_sentence_count,past_tense_share,4897
full_sample,log1p_ai_sentence_count,present_tense_share,4897
full_sample,log1p_ai_sentence_count,future_tense_share,4897
full_sample,log1p_ai_sentence_count,ai_past_tense_share,1808
full_sample,log1p_ai_sentence_count,ai_present_tense_share,1808
full_sample,log1p_ai_sentence_count,ai_future_tense_share,1808
