variable,N,missing_N,mean,standard_deviation,minimum,p25,median,p75,maximum
ai_sentence_count,4897,0,4.181948131509087,11.443371552774913,0.0,0.0,0.0,2.0,137.0
log1p_ai_sentence_count,4897,0,0.7281372374842845,1.117445298860164,0.0,0.0,0.0,1.0986122886681098,4.927253685157205
whole_report_concreteness,4897,0,2.908555301656116,0.050076656338407625,2.77133331,2.87347392,2.9039813,2.93882376,3.16557758
ai_concreteness,1879,3018,2.83371546532198,0.2198906293943448,2.17166667,2.685591465,2.80408163,2.965462965,4.106
past_tense_share,4897,0,0.24160345255539095,0.051771873704293425,0.0837366892545982,0.2061823802163833,0.2394002068252327,0.2730883813306852,0.5170487948265726
present_tense_share,4897,0,0.7238529261962379,0.05210847687031862,0.4520870076425632,0.691464552238806,0.7267080745341615,0.7602251407129456,0.8861788617886179
future_tense_share,4897,0,0.03454362124837117,0.010815735432560187,0.0044052863436123,0.0272994540109197,0.033173608551419,0.0401108033240997,0.2326388888888889
ai_past_tense_share,1808,3089,0.09417131759986863,0.1894408056666274,0.0,0.0,0.0,0.1,1.0
ai_present_tense_share,1808,3089,0.8624573613239824,0.211784751035565,0.0,0.8095238095238095,0.9411764705882352,1.0,1.0
ai_future_tense_share,1808,3089,0.04337132107614899,0.11004797288372122,0.0,0.0,0.0,0.0461538461538461,1.0
lm_positive_share,4897,0,0.005670283487849704,0.0015811094314253401,0.00058928,0.00460636,0.00554357,0.00655509,0.01791517
lm_negative_share,4897,0,0.01853454213600163,0.004468267957308544,0.00034819,0.01545449,0.01809033,0.02113249,0.04035251
lm_uncertainty_share,4897,0,0.017228709538492953,0.0027929164517712488,0.00417827,0.01549419,0.01713855,0.01897114,0.0310219
passive_voice_sentence_share,4897,0,0.2982363403085643,0.03446487261965373,0.1213921901528013,0.2764390896921017,0.298443370907139,0.321247667288723,0.430622009569378
fog_index,4897,0,20.63213757541556,1.0295669824966538,12.01764243,20.05064867,20.68297974,21.29718181,23.61642977
ai_lm_positive_share,1880,3017,0.016121737617021275,0.015724870736797007,0.0,0.0042294525,0.01298701,0.02299954,0.10810811
ai_lm_negative_share,1880,3017,0.026030284218085106,0.026985205709144568,0.0,0.0,0.02143774,0.03921569,0.2173913
ai_lm_uncertainty_share,1880,3017,0.021984191186170215,0.020527499491124476,0.0,0.0034502875,0.02009524,0.0331873075,0.22222222
ai_passive_voice_sentence_share,1880,3017,0.15517643124134714,0.22317406375328916,0.0,0.0,0.0833333333333333,0.2222222222222222,1.0
ai_fog_index,1880,3017,29.44193577660485,13.267954604822442,0.4,24.71054852320676,27.509349593495934,30.989473684210527,223.1689981096408
log_report_word_count,4897,0,10.813789156397792,0.46903533817208687,8.07527155,10.57349404,10.82548199,11.07810363,12.73039577
report_word_count,4897,0,55134.853583826836,26990.41802648275,3214.0,39085.0,50286.0,64738.0,337863.0
numeric_token_share,4897,0,0.038013052820093936,0.009943355798112919,0.01013239,0.03190738,0.03719423,0.04308007,0.17011704
average_word_length,4897,0,5.545516430880536,0.08187022640631891,5.2419225812186125,5.491852550710965,5.548223063449912,5.6005083385356285,5.924164208456244
lexical_density,4897,0,0.6018205093241064,0.013315192368206793,0.5643745524940995,0.5925096926335984,0.6010539908561058,0.6104415182029435,0.6818446319464649
root_type_token_ratio,4897,0,15.288639970414028,1.5333517638691538,7.932760959598354,14.341419974785705,15.380350186306446,16.304479617897137,22.691290067048243
