variable,ai_sentence_count,log1p_ai_sentence_count,ai_concreteness,ai_past_tense_share,ai_present_tense_share,ai_future_tense_share,ai_lm_positive_share,ai_lm_negative_share,ai_lm_uncertainty_share,ai_passive_voice_sentence_share,ai_fog_index,log_report_word_count
ai_sentence_count,1.0,0.9994713593831657,-0.17132921465418754,0.2903475669393015,-0.27295766127640075,0.4342556112551011,0.07320860981498005,0.3599532662993792,0.2817806767023882,0.4105545794865497,-0.16647908462843825,0.09557733940888753
log1p_ai_sentence_count,0.9994713593831658,0.9999999999999998,-0.16836910125846807,0.2900738869279709,-0.2732291739041501,0.4343873666529004,0.07431272270072466,0.3573134520022046,0.2789368386122991,0.40974175642991506,-0.1680232603086698,0.09512599247593895
ai_concreteness,-0.17132921465418752,-0.1683691012584681,1.0,0.1538585851293125,-0.10030399574240435,-0.10284362484586611,0.07870334154746239,-0.5660085615843022,-0.6291243291405294,-0.10075394306684769,-0.051487401619381895,-0.14449045489389853
ai_past_tense_share,0.2903475669393015,0.2900738869279709,0.1538585851293125,1.0,-0.8066741776879608,0.10586500795890064,0.11275502862468825,-0.0822120144265155,-0.13265698959084346,0.08086594460756,-0.07208696709745936,0.042382427482677155
ai_present_tense_share,-0.27295766127640075,-0.27322917390415014,-0.10030399574240435,-0.8066741776879608,0.9999999999999999,-0.5380832826397243,-0.12138852042887358,0.09014379554339008,0.11186867352209981,-0.06725207056958732,0.0854175770303946,-0.03516213442531098
ai_future_tense_share,0.4342556112551011,0.4343873666529004,-0.10284362484586611,0.10586500795890062,-0.5380832826397242,1.0,0.05188991665338102,0.09130432787607111,0.09074384954915309,0.15778365670164396,-0.10089216564650505,0.015173783222541799
ai_lm_positive_share,0.07320860981498005,0.07431272270072466,0.07870334154746239,0.11275502862468825,-0.12138852042887359,0.05188991665338102,1.0,-0.13433854828371683,-0.1406163280506593,-0.07333332769083173,0.021537068785966708,-0.09255800526435407
ai_lm_negative_share,0.3599532662993792,0.35731345200220466,-0.5660085615843022,-0.0822120144265155,0.09014379554339008,0.09130432787607111,-0.13433854828371683,1.0,0.5699846201785813,0.2732427379086463,0.09208387161553784,0.07395383750066932
ai_lm_uncertainty_share,0.2817806767023882,0.2789368386122991,-0.6291243291405294,-0.1326569895908435,0.11186867352209981,0.0907438495491531,-0.1406163280506593,0.5699846201785814,1.0,0.11487924431953908,-0.05018663155560053,0.10346356012040216
ai_passive_voice_sentence_share,0.4105545794865497,0.40974175642991506,-0.10075394306684769,0.08086594460756,-0.06725207056958732,0.157783656701644,-0.07333332769083173,0.2732427379086463,0.11487924431953908,1.0,0.07598480507972567,0.06535463004978498
ai_fog_index,-0.16647908462843825,-0.16802326030866976,-0.05148740161938189,-0.07208696709745936,0.0854175770303946,-0.10089216564650506,0.021537068785966708,0.09208387161553783,-0.050186631555600526,0.07598480507972567,1.0,0.043902920279643876
log_report_word_count,0.09557733940888755,0.09512599247593895,-0.14449045489389853,0.042382427482677155,-0.03516213442531097,0.015173783222541797,-0.09255800526435407,0.07395383750066932,0.10346356012040216,0.06535463004978498,0.043902920279643876,1.0
