company_id,cik,accession_number,object_key,sha256,file_size,upload_status
S2024-001,0000066740,0000066740-25-000006,2024/sample_500/html/raw/0000066740/0000066740-25-000006.html,f6b1e4e25332c5890dae9f226401f69d6ca8ace07535ba3b67ffca8fa3bf21e3,4680101,uploaded
S2024-002,0000091142,0000091142-25-000036,2024/sample_500/html/raw/0000091142/0000091142-25-000036.html,dc10ac03b06e2db35691c4f6f04a7055a9e8eef205604dd0592ffdd8b923c18a,2093704,uploaded
S2024-003,0000874761,0000874761-25-000013,2024/sample_500/html/raw/0000874761/0000874761-25-000013.html,f7e45579440ad22fb20c54ebb47067374de1e750e63e3a2b6c3c0dc7b4126922,7689397,uploaded
S2024-004,0001841666,0002040266-25-000007,2024/sample_500/html/raw/0001841666/0002040266-25-000007.html,d19e70ce3363e8deb81504caac403e663889795b6ab92843323269269704ef63,4481709,uploaded
S2024-005,0000732717,0000732717-25-000013,2024/sample_500/html/raw/0000732717/0000732717-25-000013.html,f203f6039ad778a32be5c5231de8e74078c58207b4e37754eac12cb2c3e59dc1,4064545,uploaded
S2024-006,0001551152,0001551152-25-000020,2024/sample_500/html/raw/0001551152/0001551152-25-000020.html,40a01fcd174bd825461f2f9eab8b4f5bcf3875bb1c572721925fadddc9db72cc,3783439,uploaded
S2024-007,0000001800,0001628280-25-007110,2024/sample_500/html/raw/0000001800/0001628280-25-007110.html,09016178301dab675eceda362b843f1273bb2d8dd57960b69f18caa3cc2e03ce,2662583,uploaded
S2024-008,0001467373,0001467373-24-000278,2024/sample_500/html/raw/0001467373/0001467373-24-000278.html,5abb54eb8a6ff2a482d3e8eac8a7d9f30be890f47cc0604fc54fae2ae2839abd,2789648,uploaded
S2024-009,0000796343,0000796343-25-000004,2024/sample_500/html/raw/0000796343/0000796343-25-000004.html,e8cd4419df5d185538c06eff0d034518487cc1c9a439a7dcde92d284c98c8216,2405027,uploaded
S2024-010,0000002488,0000002488-25-000012,2024/sample_500/html/raw/0000002488/0000002488-25-000012.html,a56e68cfe5f9cbb84451c9bb7ffe95e287c84ea616570e392f052474e0400664,2091174,uploaded
S2024-011,0000004977,0000004977-25-000047,2024/sample_500/html/raw/0000004977/0000004977-25-000047.html,a8666b2fd13cf394825933c1c5de02851b1f4260960d9c7807eb9ca5ef378db8,8724347,uploaded
