report_year,company_id,source_company_id,ticker,company_name,cik,accession_number,form,filing_date,report_date,filing_url,primary_document,r2_object_key,recovery_source,original_exclusion_reason
2020,cik:0001140536,S2020-446,WLTW,Willis Towers Watson,0001140536,0001564590-21-007578,10-K,2021-02-23,2020-12-31,https://www.sec.gov/Archives/edgar/data/1140536/000156459021007578/wltw-10k_20201231.htm,wltw-10k_20201231.htm,2020/sample_500/html/raw/0001140536/0001564590-21-007578.html,unique_panel_cik_match,cik_missing_in_2020_universe
2021,cik:0001140536,S2021-462,WLTW,Willis Towers Watson,0001140536,0000950170-22-001932,10-K,2022-02-24,2021-12-31,https://www.sec.gov/Archives/edgar/data/1140536/000095017022001932/wtw-20211231.htm,wtw-20211231.htm,2021/sample_500/html/raw/0001140536/0000950170-22-001932.html,unique_panel_cik_match,cik_missing_in_2021_universe
