report_year,original_ticker,original_company_name,original_exclusion_reason,matched_panel_company_id,matched_panel_cik,matched_panel_ticker_history,matched_panel_company_name_history,candidate_cik_count,identity_match_method,identity_match_status,sec_lookup_status,eligible_filing_count,selected_accession_number,selected_filing_date,selected_report_date,selected_primary_document,recovery_status,recovery_reason,requires_manual_review
2020,DFS,Discover Financial,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,DISCA|DISCK,"Discovery, Inc.",cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,DISH,Dish Network,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,DPZ,Domino's,no_unique_eligible_2020_report_date_10k,cik:0001286681,0001286681,DPZ,Domino's,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,0
2020,DRE,Duke Realty,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,RE,Everest Re Group,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,FLT,FLEETCOR Technologies,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,FLIR,FLIR Systems,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,FRC,First Republic Bank,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,FBHS,Fortune Brands Home & Security,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,GPS,Gap,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,HBI,Hanesbrands,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,HES,Hess Corporation,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,HFC,HollyFrontier,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,HOLX,Hologic,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,INFO,IHS Markit,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,ILMN,"Illumina, Inc.",no_unique_eligible_2020_report_date_10k,cik:0001110803,0001110803,ILMN,"Illumina, Inc.",1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,0
2020,IPG,Interpublic Group,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,JNJ,Johnson & Johnson,no_unique_eligible_2020_report_date_10k,cik:0000200406,0000200406,JNJ,Johnson & Johnson,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,0
2020,JNPR,Juniper Networks,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,KSU,Kansas City Southern,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,K,Kellanova,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,LHX,L3Harris,no_unique_eligible_2020_report_date_10k,cik:0000202058,0000202058,LHX,L3Harris,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,0
2020,LB,LandBridge Co LLC,no_unique_eligible_2020_report_date_10k,,,,,0,,no_panel_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,0
2020,MRO,Marathon Oil,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,MXIM,Maxim Integrated,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,NLSN,Nielsen Holdings,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,PBCT,People's United Financial,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,PKI,PerkinElmer,no_unique_eligible_2020_report_date_10k,cik:0000031791,0000031791,PKI|RVTY,PerkinElmer|Revvity,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,0
